year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2012,E06000020,141959,35,61387,0.0005701532897844821,80.9383908645153,88201,0.000396820897722248
2012,E06000021,212264,9,95599,9.414324417619433e-05,19.98322158181571,88201,0.00010203965941429235
2012,E07000192,84530,2830,13653,0.2072804511828902,17521.41653848971,88201,0.03208580401582749
2012,E07000194,88259,1981,35707,0.055479317780827285,4896.549108018035,88201,0.02246006281107924
2012,E07000195,108788,8,44576,0.00017946877243359656,19.524048815506106,88201,9.070191947937099e-05
2012,E07000196,96010,3799,31539,0.1204540410285678,11564.792479152795,88201,0.0430720740127663
2012,E07000197,115202,153,18346,0.008339692576038374,960.7492641447728,88201,0.0017346742100429698
2012,E07000198,85699,8,33697,0.00023740985844437193,20.345787458824226,88201,9.070191947937099e-05
2012,E07000199,65608,103,29697,0.003468363807792033,227.5524127016197,88201,0.0011677872132969016
2012,E07000218,54310,8,23697,0.00033759547622061865,18.3348103135418,88201,9.070191947937099e-05
2012,E08000025,896542,867,415962,0.002084325010457686,1868.6849135257546,88201,0.009829820523576829
2012,E08000027,269221,174,122262,0.0014231731854541885,383.1481081611621,88201,0.0019727667486763192
2012,E08000028,259363,5640,128252,0.04397592240276955,11405.727162149518,88201,0.06394485323295654
2012,E08000030,228314,70509,104014,0.6778799007825871,154769.47166727556,88201,0.7994127050713711
2012,E08000031,213285,2077,94220,0.022044151984716626,4701.686956060285,88201,0.02354848584483169
2013,E06000051,271039,8,115139,6.948123572377735e-05,18.83212464933689,94040,8.507018290089324e-05
2013,E07000192,84553,3602,15648,0.23018916155419225,19463.184176891617,94040,0.03830284985112718
2013,E07000194,88738,2171,37749,0.057511457257145876,5103.4516940846115,94040,0.023085920884729903
2013,E07000196,97804,4178,32707,0.127740239092549,12493.506344207664,94040,0.044427903019991485
2013,E07000197,115530,157,20311,0.00772980158534784,893.023977155236,94040,0.00166950233943003
2013,E07000199,65601,70,31895,0.0021947013638501326,143.9746041699326,94040,0.0007443641003828157
2013,E07000234,82620,8,35080,0.00022805017103762827,18.841505131128848,94040,8.507018290089324e-05
2013,E08000025,900459,939,422035,0.00222493395097563,2003.4618005615646,94040,0.009985112717992344
2013,E08000027,269399,179,125409,0.001427329776969755,384.5212145858751,94040,0.0019034453424074864
2013,E08000028,260571,7142,132370,0.053954823600513714,14059.06234040946,94040,0.07594640578477244
2013,E08000030,228834,73343,107483,0.6823683745336472,156149.08461803262,94040,0.7799128030625266
2013,E08000031,213076,2243,94599,0.02371061004873201,5052.161946743623,94040,0.02385155253083794
2014,E06000020,143315,25,65512,0.0003816094761265112,54.69036207107096,99496,0.00025126638256814344
2014,E06000051,272481,19,118527,0.000160301028457651,43.678984535169214,99496,0.00019096245075178898
2014,E07000192,84890,4374,22481,0.1945642987411592,16516.563320137007,99496,0.04396156629412238
2014,E07000194,89080,2502,40055,0.062464111846211465,5564.303083260516,99496,0.0251467395674198
2014,E07000196,98128,4503,35590,0.12652430457993818,12415.576959820175,99496,0.04525810082817401
2014,E07000197,115450,153,27512,0.0055612096539691775,642.0416545507413,99496,0.0015377502613170382
2014,E07000199,65499,30,32931,0.000910995718320124,59.6693085542498,99496,0.0003015196590817721
2014,E07000218,54497,8,25445,0.0003144036156415798,17.134053841619178,99496,8.040524242180591e-05
2014,E08000025,906982,1055,433948,0.002431166867919659,2205.024588199508,99496,0.010603441344375651
2014,E08000027,270025,208,130639,0.0015921738531372714,429.9267446933917,99496,0.0020905363029669537
2014,E08000028,261941,8130,136773,0.05944155644754447,15570.180737426244,99496,0.08171182761116025
2014,E08000029,180484,8,80468,9.941840234627429e-05,17.943430929064967,99496,8.040524242180591e-05
2014,E08000030,230029,76123,111787,0.6809646917799028,156641.62708543928,99496,0.7650860336093913
2014,E08000031,213399,2358,96964,0.024318303700342398,5189.5016913493655,99496,0.023699445203827288
2015,E06000020,144790,17,67715,0.00025105220409067414,36.34984863028871,104024,0.00016342382527109132
2015,E06000051,273999,18,123394,0.00014587419161385482,39.9693826280046,104024,0.0001730369914635084
2015,E07000192,84920,4950,30840,0.1605058365758755,13630.155642023346,104024,0.04758517265246481
2015,E07000194,89577,2635,42387,0.06216528652652936,5568.579871186921,104024,0.02533069291701915
2015,E07000196,98044,4671,39310,0.11882472653268887,11650.05148817095,104024,0.04490309928478044
2015,E07000197,115560,96,37912,0.0025321797847647183,292.61869592741084,104024,0.0009228639544720447
2015,E07000199,65567,18,33633,0.0005351886540005352,35.09071447685309,104024,0.0001730369914635084
2015,E08000025,916045,1137,449228,0.0025310087527936806,2318.517912952888,104024,0.010930169960778282
2015,E08000027,270185,249,136510,0.0018240421947110104,492.8288403779943,104024,0.0023936783819118665
2015,E08000028,263820,8895,140349,0.06337772267704081,16720.310796656908,104024,0.0855091132815504
2015,E08000030,231333,78949,117176,0.6737642520652694,155863.90572301493,104024,0.7589498577251403
2015,E08000031,214270,2389,98709,0.02420245367696968,5185.859749364293,104024,0.02296585403368453
2016,E06000020,146500,10,67534,0.00014807356294607157,21.69277697159949,103486,9.663142840577471e-05
2016,E06000051,275857,22,126584,0.00017379763635214562,47.94329457119383,103486,0.00021258914249270438
2016,E07000192,85083,4784,37582,0.12729498164014688,10830.638922888616,103486,0.04622847534932261
2016,E07000193,99653,10,49104,0.0002036493971977843,20.294273378950802,103486,9.663142840577471e-05
2016,E07000194,89813,2652,44799,0.05919774994977566,5316.7275162392025,103486,0.02562665481321145
2016,E07000196,98426,4534,41783,0.10851303161572888,10680.50364980973,103486,0.04381268963917825
2016,E07000197,116619,108,46678,0.002313723809931873,269.8241569904452,103486,0.0010436194267823668
2016,E07000199,65572,17,34495,0.0004928250471082767,32.31552398898391,103486,0.000164273428289817
2016,E07000218,55042,8,27451,0.0002914283632654548,16.040799970857165,103486,7.730514272461975e-05
2016,E08000025,929063,1139,457525,0.002489481449101142,2312.8851035462544,103486,0.011006319695417738
2016,E08000027,271147,236,139566,0.0016909562500895634,458.49771434303483,103486,0.002280501710376283
2016,E08000028,266233,8716,139994,0.06225981113476293,16575.616297841338,103486,0.08422395299847323
2016,E08000030,233259,78997,119700,0.6599582289055973,153941.1965162907,103486,0.7633592949770983
2016,E08000031,216190,2253,99536,0.02263502652306703,4893.466384021861,103486,0.02177106081982104
2017,E06000020,148072,10,68134,0.0001467696010802243,21.732468371150972,102624,9.74430932335516e-05
2017,E06000051,278621,23,129599,0.00017747050517365106,49.44700962198782,102624,0.0002241191144371687
2017,E07000192,85594,4361,40177,0.1085446897478657,9290.774174278817,102624,0.042494932959151854
2017,E07000193,100127,8,51593,0.00015505979493342118,15.525672087298664,102624,7.795447458684128e-05
2017,E07000194,90373,2640,46234,0.057100834883419126,5160.373750919237,102624,0.025724976613657625
2017,E07000196,99119,4261,42671,0.09985704576878912,9897.730519556608,102624,0.041520502026816335
2017,E07000197,117454,103,50852,0.0020254857232753875,237.90140014158737,102624,0.0010036638603055817
2017,E07000199,65183,35,35266,0.0009924573243350538,64.6913457721318,102624,0.0003410508263174306
2017,E07000218,55811,16,28099,0.0005694152816826223,31.779636285988826,102624,0.00015590894917368256
2017,E08000025,937235,1166,463214,0.002517195076141913,2359.203327187866,102624,0.011361864671032118
2017,E08000027,272593,238,138693,0.0017160202749958544,467.7751148219449,102624,0.0023191456189585284
2017,E08000028,268338,8326,138562,0.060088624586827566,16124.061344380134,102624,0.08113111942625506
2017,E08000030,234795,79263,121672,0.6514481556972845,152956.76971694393,102624,0.7723631898971001
2017,E08000031,217434,2174,98550,0.022059868087265348,4796.565357686453,102624,0.02118412846897412
2018,E06000020,149791,11,69485,0.00015830754839173922,23.713045981147012,101096,0.00010880747012740366
2018,E06000051,281288,25,131591,0.0001899825975940604,53.43982491203806,101096,0.0002472897048350083
