year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2012,E06000031,155523,18,68123,0.0002642279406367893,41.093522011655395,194860,9.237401211125936e-05
2012,E06000032,168608,63640,74717,0.8517472596597829,143611.40195671667,194860,0.32659345170891924
2012,E06000042,208763,2691,89101,0.03020168123814548,6304.993580318964,194860,0.013809914810633277
2012,E06000055,135579,52418,62653,0.8366399055113083,113430.80174931767,194860,0.26900338704711074
2012,E06000056,221430,58975,96230,0.6128546191416399,135704.3983165333,194860,0.30265318690341786
2012,E06000060,433892,842,166677,0.005051686795418685,2191.886487037804,194860,0.004321051010982244
2012,E07000008,108246,77,33750,0.0022814814814814816,246.96124444444442,194860,0.00039515549625372063
2012,E07000009,72528,74,28808,0.002568730908081089,186.3049153013052,194860,0.0003797598275685107
2012,E07000010,83641,31,40858,0.0007587253414264037,63.46054628224583,194860,0.00015908857641383557
2012,E07000011,147155,604,61343,0.009846274228518331,1448.928484097615,194860,0.003099661295288925
2012,E07000012,128451,250,48133,0.005193941786300459,667.1670163920802,194860,0.001282972390434158
2012,E07000072,108575,8,49553,0.00016144330312998202,17.5287066373378,194860,4.105511649389305e-05
2012,E07000095,80326,55,35735,0.0015391073177557016,123.63033440604448,194860,0.0002822539258955147
2012,E07000096,124567,3225,51258,0.06291700807678803,7837.382945101252,194860,0.016550343836600638
2012,E07000098,85396,141,39008,0.0036146431501230523,308.6760664479081,194860,0.0007235964282048652
2012,E07000099,109421,1093,42753,0.025565457394802704,2797.3979135967065,194860,0.0056091552909781385
2012,E07000102,75558,266,33439,0.007954783336822273,601.0475193636172,194860,0.001365082623421944
2012,E07000103,77025,335,33268,0.010069736683900444,775.6214680774318,194860,0.0017191830031817715
2012,E07000143,114875,8,49276,0.00016235084016559786,18.65005276402305,194860,4.105511649389305e-05
2012,E07000152,74954,732,32112,0.022795216741405083,1708.5926756352767,194860,0.0037565431591912147
2012,E07000153,80321,29,35712,0.0008120519713261647,65.2248263888889,194860,0.00014882479729036232
2012,E07000154,180013,88,79325,0.001109360226914592,199.6992625275764,194860,0.0004516062814328236
2012,E07000155,74001,89,28010,0.0031774366297750802,235.1334880399857,194860,0.00045673817099456014
2012,E07000156,64476,164,29694,0.005523001279719809,356.1010305112144,194860,0.0008416298881248075
2012,E07000240,118513,7961,48360,0.16461952026468155,19509.553205128203,194860,0.040854972800985316
2012,E07000241,96020,468,35723,0.013100803403969432,1257.9391428491451,194860,0.0024017243148927434
2012,E07000242,119033,192,43020,0.0044630404463040455,531.2490934449094,194860,0.0009853227958534331
2012,E07000243,71669,386,28800,0.013402777777777777,960.5636805555556,194860,0.00198090937083034
2013,E06000031,156366,8,68194,0.0001173123735225973,18.34366659823445,202544,3.949759064697053e-05
2013,E06000032,169593,68989,79974,0.8626428589291519,146298.19037437165,202544,0.3406124101429813
2013,E06000042,211039,2920,90805,0.03215681955839436,6786.343042783988,202544,0.014416620586144248
2013,E06000055,137120,52813,63809,0.8276732122427871,113490.55086273098,202544,0.2607482818548069
2013,E06000056,224719,60290,98346,0.6130396762450938,137761.66300612126,202544,0.2976637175132317
2013,E06000060,437185,974,172701,0.0056398052124770545,2465.638241816781,202544,0.0048088316612686635
2013,E07000008,108241,69,34467,0.00200191487509792,216.68926799547398,202544,0.00034066671933012085
2013,E07000009,72942,97,29436,0.0032952846854192148,240.36465552384843,202544,0.00047890828659451776
2013,E07000010,84056,17,41832,0.0004063874545802257,34.159303882195445,202544,8.393238012481239e-05
2013,E07000011,147902,682,64313,0.010604387915351484,1568.410181456315,202544,0.0033671696026542387
2013,E07000012,128593,288,48965,0.005881752272031042,756.3521699172877,202544,0.0014219132632909393
2013,E07000073,69653,10,32958,0.0003034164694459615,21.13386734631956,202544,4.9371988308713173e-05
2013,E07000095,80659,34,35748,0.000951102159561374,76.71494908806088,202544,0.00016786476024962475
2013,E07000096,125670,3300,52752,0.06255686988171065,7861.521838034578,202544,0.016292756141875347
2013,E07000098,85723,82,39922,0.0020540053103551927,176.07549721957818,202544,0.000404850304131448
2013,E07000099,110093,1183,43052,0.02747839821611075,3025.179294806281,202544,0.005840706216920768
2013,E07000102,76143,214,34487,0.006205236755879027,472.4853423028968,202544,0.0010565605498064619
2013,E07000103,78202,248,34888,0.0071084613620729185,555.8958954368264,202544,0.0012244253100560866
2013,E07000146,130289,18,69190,0.0002601532013296719,33.895100448041624,202544,8.88695789556837e-05
2013,E07000152,75675,699,33162,0.021078342681382305,1595.1035824136059,202544,0.003451101982779051
2013,E07000153,80935,21,37252,0.0005637281219800281,45.62533555245356,202544,0.00010368117544829764
2013,E07000154,180843,72,81523,0.0008831863400512738,159.71806729389255,202544,0.0003554783158227348
2013,E07000155,74857,81,28944,0.002798507462686567,209.4878731343284,202544,0.00039991310530057664
2013,E07000156,64119,160,30644,0.0052212504894922325,334.7813601357525,202544,0.0007899518129394108
2013,E07000240,119370,8226,49465,0.1662994036187203,19851.159809966644,202544,0.04061339758274745
2013,E07000241,97406,466,36343,0.012822276641994331,1248.9666785901,202544,0.0023007346551860326
2013,E07000242,120315,185,42572,0.004345579253969745,522.8383679413698,202544,0.0009133817837111936
2013,E07000243,72159,390,29445,0.01324503311258278,955.7483443708608,202544,0.0019255075440398133
2013,E07000245,147733,8,64380,0.00012426219322771048,18.35762659210935,202544,3.949759064697053e-05
2014,E06000031,157465,19,68904,0.0002757459654011378,43.42033844189017,210890,9.009436198966285e-05
2014,E06000032,171388,73355,84344,0.869712131271934,149058.22275443422,210890,0.3478353644079852
2014,E06000042,213812,3188,90587,0.035192687692494506,7524.618940907635,210890,0.015116885580160272
2014,E06000055,138834,53875,65400,0.8237767584097859,114368.22247706422,210890,0.2554649343259519
2014,E06000056,227861,62178,101571,0.612162920518652,139488.05523230054,210890,0.2948361705154346
2014,E06000060,441313,1075,183096,0.0058712369467383225,2591.0531906759297,210890,0.005097444165204609
2014,E07000008,108462,44,35528,0.0012384598063499212,134.32582751632515,210890,0.00020863957513395608
2014,E07000009,73809,93,30307,0.0030685980136602106,226.49015079024647,210890,0.0004409881928967709
2014,E07000011,149319,704,66652,0.01056232371121647,1577.1556142351315,210890,0.003338233202143297
2014,E07000012,129856,296,49879,0.0059343611539926615,770.6124020128711,210890,0.0014035753236284318
2014,E07000066,152637,13,67913,0.00019142137735043364,29.217984774638143,210890,6.164351083503248e-05
2014,E07000073,70423,17,33214,0.0005118323598482568,36.04477027759379,210890,8.061074493811941e-05
2014,E07000095,81270,37,37341,0.000990867946760933,80.52783803326102,210890,0.00017544691545355395
2014,E07000096,126725,3595,55045,0.06531020074484513,8276.435189390499,210890,0.01704680165014937
2014,E07000098,86437,87,41778,0.0020824357317248314,179.99949734309925,210890,0.0004125373417421404
2014,E07000099,111250,1169,44971,0.025994529808098552,2891.8914411509636,210890,0.005543174166627153
2014,E07000102,76774,187,36250,0.0051586206896551716,396.0479448275862,210890,0.0008867181943193132
2014,E07000103,79287,190,36505,0.005204766470346528,412.6703191343652,210890,0.0009009436198966287
2014,E07000146,130919,9,70831,0.00012706300913441855,16.634962092868946,210890,4.267627673194556e-05
2014,E07000152,76404,652,33722,0.019334559041575237,1477.237649012514,210890,0.003091659158803168
2014,E07000153,81823,30,38969,0.0007698426954758911,62.99083887192385,210890,0.00014225425577315187
2014,E07000154,182516,89,85087,0.0010459882238179744,190.90958665836143,210890,0.00042202095879368393
2014,E07000155,75767,100,30170,0.003314550878355983,251.13357640039771,210890,0.00047418085257717286
2014,E07000156,64405,182,31556,0.005767524401064774,371.45740905057676,210890,0.0008630091516904548
