year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2012,E06000018,264844,339,92131,0.003679543259055041,974.5049549011734,118847,0.002852406876067549
2012,E07000032,107364,4293,43253,0.09925323098975794,10656.223891984373,118847,0.0361220729172802
2012,E07000033,66393,8779,30676,0.2861846394575564,19000.65676750554,118847,0.07386808249261656
2012,E07000034,90706,114,42672,0.0026715410573678287,242.3248031496063,118847,0.0009592164715979367
2012,E07000035,63176,44,25776,0.0017070142768466788,107.8423339540658,118847,0.000370223901318502
2012,E07000036,97729,58,37290,0.001555376776615715,152.0054170018772,118847,0.00048802241537438887
2012,E07000038,87420,433,39038,0.011091756749833495,969.6413750704442,118847,0.003643339756157076
2012,E07000133,43997,98,14707,0.006663493574488339,293.17372679676345,118847,0.0008245895983912089
2012,E07000137,121632,77,58719,0.001311330233825508,159.4997190006642,118847,0.0006478918273073785
2012,E07000138,82595,964,37254,0.025876415955333656,2137.262575830783,118847,0.008111269110705359
2012,E07000139,95459,2085,43909,0.04748457036142932,4532.829602131682,118847,0.01754356441475174
2012,E07000141,117223,894,53231,0.016794724878360354,1968.728034416036,118847,0.007522276540425927
2012,E07000142,79049,392,35487,0.011046298644574069,873.1988615549354,118847,0.003298358393564836
2012,E07000170,103121,31218,46100,0.6771800433839481,69831.4832537961,118847,0.2626738579854771
2012,E07000171,98683,609,45394,0.013415869938758427,1323.9182931664975,118847,0.0051242353614310825
2012,E07000172,96469,601,32440,0.018526510480887798,1787.2339395807644,118847,0.0050569219248277186
2012,E07000173,98948,2372,34591,0.06857275013731895,6785.136480587436,118847,0.019958433952897425
2012,E07000174,90432,36380,43644,0.8335624599028504,75380.72037393457,118847,0.3061078529537977
2012,E07000175,100376,28373,47688,0.5949714812950847,59720.85740647543,118847,0.23873551709340585
2012,E07000176,96306,724,30344,0.02385974162931716,2297.836277353019,118847,0.0060918660126044405
2013,E06000015,211314,8,87238,9.170315688117564e-05,19.37816089318875,122046,6.554905527424085e-05
2013,E06000018,266056,373,94196,0.003959828442821351,1053.5361161832773,122046,0.00305622470216148
2013,E07000032,108000,4317,42572,0.10140467913182373,10951.705346236962,122046,0.035371908952362224
2013,E07000033,66507,9214,31990,0.2880275085964364,19155.845514223194,122046,0.07549612441210693
2013,E07000034,90867,106,43567,0.002433034177244245,221.0825165836528,122046,0.0008685249823836914
2013,E07000035,63256,41,25604,0.0016013122949539134,101.29261052960474,122046,0.0003359389082804844
2013,E07000036,97934,46,37323,0.0012324839911046807,120.7020871848458,122046,0.00037690706782688495
2013,E07000038,87439,434,39954,0.010862491865645493,949.8054262401764,122046,0.003556036248627567
2013,E07000133,44085,100,15338,0.006519754857217368,287.4233928804277,122046,0.0008193631909280107
