year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E07000207,110154,90884,12506,43038,0.2905804173056369,32008.595287885124,female,12-15,3124,0.0283602955861793,0.0082409465263432,0.1376039786981207,0.003902489509713
2012,E07000207,110154,90884,12506,43038,0.2905804173056369,32008.595287885124,male,12-15,3450,0.031319788659513,0.0091009172586056,0.1376039786981207,0.0043097275315332
2012,E07000208,64680,90884,1544,25221,0.0612188255818563,3959.633638634471,female,12-15,1890,0.0292207792207792,0.0017888617864828,0.0169886888781303,0.0004964227269583
2012,E07000208,64680,90884,1544,25221,0.0612188255818563,3959.633638634471,male,12-15,1973,0.030504019789734,0.0018674202670532,0.0169886888781303,0.0005182233017401
2012,E07000209,120167,90884,66,46936,0.0014061701039713,168.97524288392705,female,12-15,2936,0.0244326645418459,3.435648243910499e-05,0.000726200431319,1.774301152856203e-05
2012,E07000209,120167,90884,66,46936,0.0014061701039713,168.97524288392705,male,12-15,3113,0.0259056146862283,3.642770089677582e-05,0.000726200431319,1.8812668558723972e-05
2012,E07000210,74668,90884,279,29897,0.0093320400040137,696.804763019701,female,12-15,2154,0.0288476991482294,0.000269207882475,0.0030698472778486,8.855803070239019e-05
2012,E07000210,74668,90884,279,29897,0.0093320400040137,696.804763019701,male,12-15,2233,0.0299057159693576,0.0002790813377747,0.0030698472778486,9.18059807606487e-05
2012,E07000211,118668,90884,216,50442,0.0042821458308552,508.1536814559296,female,12-15,3259,0.0274631745710722,0.0001176013184915,0.0023766559570441,6.527051744368209e-05
2012,E07000211,118668,90884,216,50442,0.0042821458308552,508.1536814559296,male,12-15,3396,0.0286176559813934,0.0001225449762495,0.0023766559570441,6.801432256481877e-05
2012,E07000212,70952,90884,102,27590,0.0036969916636462,262.30895251902865,female,12-15,1655,0.023325628593979,8.623465446124903e-05,0.001122309757493,2.617858057068197e-05
2012,E07000212,70952,90884,102,27590,0.0036969916636462,262.30895251902865,male,12-15,1674,0.0235934152666591,8.722465955778301e-05,0.001122309757493,2.647912016635748e-05
2012,E07000213,83173,90884,442,35689,0.0123847684160385,1030.0783434671748,female,12-15,1999,0.0240342418813797,0.0002976585197559,0.0048633422824699,0.0001168867447688
2012,E07000213,83173,90884,442,35689,0.0123847684160385,1030.0783434671748,male,12-15,2206,0.026523030310317,0.0003284815880848,0.0048633422824699,0.0001289905747673
2012,E07000217,83769,90884,84,34407,0.0024413636759961,204.51059377452265,female,12-15,2148,0.0256419439172008,6.2601310461385e-05,0.000924255094406,2.369969729594729e-05
2012,E07000217,83769,90884,84,34407,0.0024413636759961,204.51059377452265,male,12-15,2247,0.0268237653547254,6.548656639047117e-05,0.000924255094406,2.4792001780257703e-05
2012,E09000008,307154,90884,109,140841,0.0007739223663563,237.71335051582992,female,12-15,9199,0.0299491460309812,2.317831396664999e-05,0.0011993310153602,3.591893971850877e-05
2012,E09000008,307154,90884,109,140841,0.0007739223663563,237.71335051582992,male,12-15,9531,0.0310300370498186,2.401483970172204e-05,0.0011993310153602,3.721528584162486e-05
2012,E09000009,285319,90884,11,136941,8.032656399471305e-05,22.91869491240753,female,12-15,7416,0.0259919598764891,2.087844828366817e-06,0.0001210334052198,3.145895412188948e-06
2012,E09000009,285319,90884,11,136941,8.032656399471305e-05,22.91869491240753,male,12-15,7835,0.0274604915901149,2.2058069350396458e-06,0.0001210334052198,3.3236368061624064e-06
2012,E09000013,157933,90884,56,63918,0.0008761225319941,138.36865984542695,female,12-15,2971,0.0188117746132853,1.6481419605494248e-05,0.0006161700629373,1.1591252347431686e-05
2012,E09000013,157933,90884,56,63918,0.0008761225319941,138.36865984542695,male,12-15,2920,0.0184888528679883,1.6198500588368632e-05,0.0006161700629373,1.1392277635308153e-05
2012,E09000018,216463,90884,965,95088,0.0101484940265859,2196.773462476864,female,12-15,5507,0.0254408374641393,0.0002581861870361,0.0106179305488314,0.0002701290452983
2012,E09000018,216463,90884,965,95088,0.0101484940265859,2196.773462476864,male,12-15,5726,0.0264525577119415,0.0002684536239275,0.0106179305488314,0.0002808714206243
2012,E09000021,138782,90884,33942,51929,0.6536232163145834,90711.13720657052,female,12-15,3566,0.0256949748526465,0.0167948321063092,0.3734650763610757,0.0095961757454395
2012,E09000021,138782,90884,33942,51929,0.6536232163145834,90711.13720657052,male,12-15,3388,0.0244123877736305,0.0159565034145192,0.3734650763610757,0.0091171742640351
2012,E09000022,265439,90884,85,108864,0.0007807907113462,207.25230562904173,female,12-15,5725,0.0215680438820218,1.6840128324991344e-05,0.0009352581312442,2.0171688415693168e-05
2012,E09000022,265439,90884,85,108864,0.0007807907113462,207.25230562904173,male,12-15,5908,0.0222574678174646,1.737842412996487e-05,0.0009352581312442,2.081647775719044e-05
2012,E09000024,170245,90884,7082,76118,0.0930397540660553,15839.55293097559,female,12-15,4079,0.0239595876530881,0.0022291941427674,0.077923506887901,0.0018670150935166
2012,E09000024,170245,90884,7082,76118,0.0930397540660553,15839.55293097559,male,12-15,4313,0.0253340773591001,0.002357076326981,0.077923506887901,0.0019741201515904
2012,E09000027,158679,90884,22045,62480,0.3528329065300896,55987.17277528809,female,12-15,3868,0.0243762564674594,0.0086007454197366,0.2425619470973989,0.0059127522316925
2012,E09000027,158679,90884,22045,62480,0.3528329065300896,55987.17277528809,male,12-15,3948,0.0248804189590304,0.008778630537001,0.2425619470973989,0.0060350428673014
2012,E09000029,163930,90884,2132,75521,0.0282305583877332,4627.8354365011055,female,12-15,4596,0.0280363569816385,0.0007914820127494,0.0234584745389727,0.0006576901664193
2012,E09000029,163930,90884,2132,75521,0.0282305583877332,4627.8354365011055,male,12-15,4899,0.0298847068870859,0.0008436619626761,0.0234584745389727,0.0007010496356153
2012,E09000032,266656,90884,9218,105637,0.0872610922309418,23268.69380993402,female,12-15,4751,0.0178169626785071,0.0015547276235644,0.1014259935742264,0.0018071031421424
2012,E09000032,266656,90884,9218,105637,0.0872610922309418,23268.69380993402,male,12-15,4922,0.0184582383295331,0.0016106860372941,0.1014259935742264,0.0018721451622027
2012,E07000207,110154,90884,12506,43038,0.2905804173056369,32008.595287885124,female,16-17,1555,0.0141166003958095,0.0041020076339512,0.1376039786981207,0.0019425003801548
2012,E07000207,110154,90884,12506,43038,0.2905804173056369,32008.595287885124,male,16-17,1638,0.0148700909635601,0.004320957237564,0.1376039786981207,0.0020461836801888
2012,E07000208,64680,90884,1544,25221,0.0612188255818563,3959.633638634471,female,16-17,1015,0.0156926406926406,0.0009606850334815,0.0169886888781303,0.0002665973904035
2012,E07000208,64680,90884,1544,25221,0.0612188255818563,3959.633638634471,male,16-17,986,0.0152442795299938,0.0009332368896677,0.0169886888781303,0.0002589803221063
2012,E07000209,120167,90884,66,46936,0.0014061701039713,168.97524288392705,female,16-17,1514,0.0125991328734178,1.771652398256299e-05,0.000726200431319,9.149495726921972e-06
2012,E07000209,120167,90884,66,46936,0.0014061701039713,168.97524288392705,male,16-17,1487,0.0123744455632578,1.7400575404274222e-05,0.000726200431319,8.986327705371845e-06
2012,E07000210,74668,90884,279,29897,0.0093320400040137,696.804763019701,female,16-17,1033,0.0138345743826003,0.0001291048015769,0.0030698472778486,4.247003050862074e-05
2012,E07000210,74668,90884,279,29897,0.0093320400040137,696.804763019701,male,16-17,1232,0.0164997053624042,0.0001539759104963,0.0030698472778486,5.0651575592082034e-05
2012,E07000211,118668,90884,216,50442,0.0042821458308552,508.1536814559296,female,16-17,1647,0.0138790575386793,5.943214837545573e-05,0.0023766559570441,3.2985744777460695e-05
2012,E07000211,118668,90884,216,50442,0.0042821458308552,508.1536814559296,male,16-17,1645,0.0138622037954629,5.935997818920745e-05,0.0023766559570441,3.2945689228247016e-05
2012,E07000212,70952,90884,102,27590,0.0036969916636462,262.30895251902865,female,16-17,832,0.0117262374563084,4.335180212190888e-05,0.001122309757493,1.3160470715895711e-05
2012,E07000212,70952,90884,102,27590,0.0036969916636462,262.30895251902865,male,16-17,830,0.0116980493855,4.324759105911583e-05,0.001122309757493,1.31288349689825e-05
2012,E07000213,83173,90884,442,35689,0.0123847684160385,1030.0783434671748,female,16-17,1092,0.0131292606975821,0.0001626028532133,0.0048633422824699,6.385208868812233e-05
2012,E07000213,83173,90884,442,35689,0.0123847684160385,1030.0783434671748,male,16-17,1195,0.0143676433457973,0.0001779399355219,0.0048633422824699,6.987476738306427e-05
2012,E07000217,83769,90884,84,34407,0.0024413636759961,204.51059377452265,female,16-17,1121,0.0133820387016676,3.267042319702634e-05,0.000924255094406,1.236841744355536e-05
2012,E07000217,83769,90884,84,34407,0.0024413636759961,204.51059377452265,male,16-17,1160,0.0138476047225107,3.3807039169090595e-05,0.000924255094406,1.2798719210101888e-05
2012,E09000008,307154,90884,109,140841,0.0007739223663563,237.71335051582992,female,16-17,4811,0.0156631526856235,1.2122064191059147e-05,0.0011993310153602,1.8785304814191293e-05
2012,E09000008,307154,90884,109,140841,0.0007739223663563,237.71335051582992,male,16-17,5146,0.0167538107919805,1.2966148893616789e-05,0.0011993310153602,2.0093364908299397e-05
2012,E09000009,285319,90884,11,136941,8.032656399471305e-05,22.91869491240753,female,16-17,3744,0.0131221545007517,1.0540575832531506e-06,0.0001210334052198,1.5882190430468475e-06
2012,E09000009,285319,90884,11,136941,8.032656399471305e-05,22.91869491240753,male,16-17,4072,0.0142717449591509,1.146400234777465e-06,0.0001210334052198,1.72735789083514e-06
