year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000033,149971,229383,10,65002,0.00015384142026399187,23.07175163841113,female,12-15,4006,0.02671183095398444,4.109386011812627e-06,4.359520975835175e-05,1.1645078734685849e-06
2012,E06000033,149971,229383,10,65002,0.00015384142026399187,23.07175163841113,male,12-15,4248,0.028325476258743355,4.357631497299062e-06,4.359520975835175e-05,1.2348550790051292e-06
2012,E06000034,133030,229383,43,54562,0.0007880942780689857,104.84018181151717,female,12-15,3998,0.030053371419980456,2.3684890052768584e-05,0.00018745940196091253,5.633787033298717e-06
2012,E06000034,133030,229383,43,54562,0.0007880942780689857,104.84018181151717,male,12-15,4077,0.030647222431030595,2.415290063660268e-05,0.00018745940196091253,5.745109988684058e-06
2012,E07000009,72528,229383,58,28808,0.0020133296306581506,146.02277145237434,female,12-15,1902,0.026224354731965587,5.27982704267566e-05,0.00025285221659844016,6.630886222841292e-06
2012,E07000009,72528,229383,58,28808,0.0020133296306581506,146.02277145237434,male,12-15,2047,0.02822358261636885,5.682337516486371e-05,0.00025285221659844016,7.136395424898068e-06
2012,E07000012,128451,229383,21,48133,0.00043629111004923855,56.042029376934735,female,12-15,3537,0.027535791858374008,1.2013621195974785e-05,9.154994049253868e-05,2.520900106049072e-06
2012,E07000012,128451,229383,21,48133,0.00043629111004923855,56.042029376934735,male,12-15,3732,0.0290538804680384,1.2675949760638362e-05,9.154994049253868e-05,2.659881027926247e-06
2012,E07000066,149654,229383,16,63209,0.0002531285101805123,37.881694062554395,female,12-15,4310,0.028799764790784083,7.290041555040344e-06,6.975233561336279e-05,2.0088508592726803e-06
2012,E07000066,149654,229383,16,63209,0.0002531285101805123,37.881694062554395,male,12-15,4501,0.030076042070375668,7.613103721400603e-06,6.975233561336279e-05,2.0978741804144628e-06
2012,E07000067,126572,229383,10351,47302,0.2188279565346074,27697.49211449833,female,12-15,3455,0.027296716493379263,0.005973284690350697,0.0451254016208699,0.0012317752946947628
2012,E07000067,126572,229383,10351,47302,0.2188279565346074,27697.49211449833,male,12-15,3714,0.0293429826501912,0.006421064931971778,0.0451254016208699,0.0013241138768440954
2012,E07000068,64362,229383,37,25133,0.001472168065889468,94.75168105677794,female,12-15,1876,0.0291476336969019,4.291021552482276e-05,0.00016130227610590148,4.7015796584113485e-06
2012,E07000068,64362,229383,37,25133,0.001472168065889468,94.75168105677794,male,12-15,1826,0.02837077778813585,4.176655306413984e-05,0.00016130227610590148,4.576271032121067e-06
2012,E07000070,145696,229383,1239,53300,0.023245778611632267,3386.8169606003753,female,12-15,3697,0.025374752910169118,0.000589855888474663,0.005401446489059782,0.00013706037001739248
2012,E07000070,145696,229383,1239,53300,0.023245778611632267,3386.8169606003753,male,12-15,4119,0.028271194816604436,0.0006571859357931125,0.005401446489059782,0.00015270534598367313
2012,E07000071,151484,229383,51174,60713,0.8428837316554939,127683.39920610086,female,12-15,3760,0.02482110321882179,0.0209213041048867,0.22309412641738927,0.005537442339318896
2012,E07000071,151484,229383,51174,60713,0.8428837316554939,127683.39920610086,male,12-15,4066,0.026841118533970584,0.02262394215172056,0.22309412641738927,0.005988095891401764
2012,E07000072,108575,229383,10,49553,0.00020180412891247757,21.91088329667225,female,12-15,2818,0.02595440939442781,5.237706979280328e-06,4.359520975835175e-05,1.1314879217042158e-06
2012,E07000072,108575,229383,10,49553,0.00020180412891247757,21.91088329667225,male,12-15,3028,0.02788855629749021,5.628025810241603e-06,4.359520975835175e-05,1.2158074616466878e-06
2012,E07000073,69476,229383,9,34022,0.00026453471283287283,18.378813708776672,female,12-15,1899,0.027333179803097477,7.230574870021671e-06,3.923568878251658e-05,1.0724361361909002e-06
2012,E07000073,69476,229383,9,34022,0.00026453471283287283,18.378813708776672,male,12-15,2063,0.02969370717945765,7.855016301661246e-06,3.923568878251658e-05,1.1650530536923786e-06
2012,E07000074,54259,229383,1949,20429,0.09540359293161682,5176.503548876597,female,12-15,1432,0.026391934978528903,0.002517885421369271,0.008496706381902756,0.0002242445223628292
2012,E07000074,54259,229383,1949,20429,0.09540359293161682,5176.503548876597,male,12-15,1587,0.029248603918243982,0.002790421902034241,0.008496706381902756,0.00024851679957388963
2012,E07000076,122140,229383,50766,59034,0.8599451163736153,105033.69651387336,female,12-15,3038,0.02487309644670051,0.021389497818430026,0.2213154418592485,0.005504800330509226
2012,E07000076,122140,229383,50766,59034,0.8599451163736153,105033.69651387336,male,12-15,3230,0.026445063042410347,0.02274130281551316,0.2213154418592485,0.005852700812226728
2012,E07000077,69300,229383,101,25250,0.004,277.2,female,12-15,2107,0.030404040404040406,0.00012161616161616162,0.00044031161855935275,1.3387252241046984e-05
2012,E07000077,69300,229383,101,25250,0.004,277.2,male,12-15,2227,0.03213564213564213,0.00012854256854256854,0.00044031161855935275,1.4149696602188724e-05
2012,E07000143,114875,229383,107,49276,0.0021714424872148713,249.44445571880837,female,12-15,2881,0.02507943416757345,5.445854890677732e-05,0.00046646874441436375,1.169877216677068e-05
2012,E07000143,114875,229383,107,49276,0.0021714424872148713,249.44445571880837,male,12-15,3114,0.027107725788900982,5.8862867509789854e-05,0.00046646874441436375,1.2644906812677507e-05
2012,E07000145,84815,229383,8,42042,0.00019028590457161886,16.139098996241852,female,12-15,2208,0.02603313093202853,4.953737868232441e-06,3.4876167806681395e-05,9.079358429187352e-07
2012,E07000145,84815,229383,8,42042,0.00019028590457161886,16.139098996241852,male,12-15,2286,0.026952779579083888,5.1287340429254345e-06,3.4876167806681395e-05,9.400096634566255e-07
