year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E07000111,99237,104922,23,34701,0.0006628051064810813,65.77479035186306,female,12-15,2854,0.02875943448512148,1.9061900036246618e-05,0.0002192104611044395,6.304368894586398e-06
2012,E07000111,99237,104922,23,34701,0.0006628051064810813,65.77479035186306,male,12-15,2843,0.028648588732025356,1.898843090506277e-05,0.0002192104611044395,6.280070345938727e-06
2012,E07000208,64680,104922,25,25221,0.0009912374608461202,64.11323896752705,female,12-15,1890,0.02922077922077922,2.8964730998750263e-05,0.0002382722403309125,6.9625005291500396e-06
2012,E07000208,64680,104922,25,25221,0.0009912374608461202,64.11323896752705,male,12-15,1973,0.03050401978973408,3.0236727121975813e-05,0.0002382722403309125,7.268261134398427e-06
2012,E07000211,118668,104922,566,50442,0.01122080805677808,1331.5508504817412,female,12-15,3259,0.027463174571072238,0.00030815901049179023,0.005394483521091857,0.00014814964266051813
2012,E07000211,118668,104922,566,50442,0.01122080805677808,1331.5508504817412,male,12-15,3396,0.02861765598139347,0.0003211132248021233,0.005394483521091857,0.00015437747360390292
2012,E07000215,71942,104922,1588,29912,0.05308906124632255,3819.333244182937,female,12-15,2208,0.030691390286619775,0.001629377098661146,0.015135052705819562,0.00046451580960286883
2012,E07000215,71942,104922,1588,29912,0.05308906124632255,3819.333244182937,male,12-15,2134,0.029662783909260238,0.0015747693516951476,0.015135052705819562,0.00044894779786799015
2012,E07000226,90631,104922,9,38928,0.00023119605425400743,20.953529593094945,female,12-15,2400,0.02648100539550485,6.1223039601198016e-06,8.577800651912849e-05,2.271487853448692e-06
2012,E07000226,90631,104922,9,38928,0.00023119605425400743,20.953529593094945,male,12-15,2597,0.028654654588385876,6.6248430768463024e-06,8.577800651912849e-05,2.457939148085938e-06
2012,E07000228,121044,104922,21,46583,0.00045080823476375496,54.56763196874396,female,12-15,3372,0.027857638544661445,1.2558452857005565e-05,0.00020014868187796648,5.5756696349468215e-06
