year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000015,211172,408772,18,88927,0.0002024132153339,42.74400350849573,female,12-15,5807,0.0274989108404523,5.566142961396899e-06,4.403432720440735e-05,1.2108960377133024e-06
2012,E06000015,211172,408772,18,88927,0.0002024132153339,42.74400350849573,male,12-15,6122,0.0289905858731271,5.86807770099394e-06,4.403432720440735e-05,1.2765809441847488e-06
2012,E06000016,277918,408772,26,101852,0.0002552723559674,70.94478262577073,female,12-15,7789,0.0280262523478148,7.154327465765871e-06,6.360513929525506e-05,1.7826136845067309e-06
2012,E06000016,277918,408772,26,101852,0.0002552723559674,70.94478262577073,male,12-15,8383,0.0301635734281334,7.699926453397778e-06,6.360513929525506e-05,1.918558289539084e-06
2012,E06000017,32677,408772,11,12517,0.0008788048254374,28.716705280818086,female,12-15,966,0.0295620773020779,2.597929618301966e-05,2.69098666249156e-05,7.955115573543615e-07
2012,E06000017,32677,408772,11,12517,0.0008788048254374,28.716705280818086,male,12-15,1126,0.0344584876212626,3.028228519884072e-05,2.69098666249156e-05,9.272733059844836e-07
2012,E06000018,264844,408772,14,92131,0.000151957538722,40.24504238529919,female,12-15,6304,0.0238026913956895,3.616998399449192e-06,3.424892115898349e-05,8.152165009825857e-07
2012,E06000018,264844,408772,14,92131,0.000151957538722,40.24504238529919,male,12-15,6535,0.0246749029617435,3.749537522271648e-06,3.424892115898349e-05,8.450888061423219e-07
2012,E06000019,162218,408772,2882,63469,0.0454079944539854,7365.994044336606,female,12-15,4194,0.0258540975724025,0.0011739827191804,0.0070503850557278,0.0001822813431537
2012,E06000019,162218,408772,2882,63469,0.0454079944539854,7365.994044336606,male,12-15,4372,0.0269513864059475,0.0012238084044484,0.0070503850557278,0.0001900176519476
2012,E06000020,141959,408772,787,61387,0.0128203039731539,1819.957531724958,female,12-15,4283,0.0301706830845525,0.0003867973282216,0.0019252786394371,5.808697167991664e-05
2012,E06000020,141959,408772,787,61387,0.0128203039731539,1819.957531724958,male,12-15,4349,0.0306356060552694,0.0003927577820303,0.0019252786394371,5.898207794442154e-05
2012,E06000021,212264,408772,311,95599,0.0032531721043107,690.5313235494095,female,12-15,5544,0.0261184185730976,8.496771071071214e-05,0.0007608153200317,1.987129298541331e-05
2012,E06000021,212264,408772,311,95599,0.0032531721043107,690.5313235494095,male,12-15,5879,0.027696641917612,9.010194286945827e-05,0.0007608153200317,2.107202948435152e-05
2012,E06000026,223689,408772,35,92008,0.0003804017041996,85.0916768107121,female,12-15,5415,0.0242077169641779,9.2086567879557e-06,8.562230289745873e-05,2.072720474362794e-06
2012,E06000026,223689,408772,35,92008,0.0003804017041996,85.0916768107121,male,12-15,5674,0.0253655745253454,9.649107777444254e-06,8.562230289745873e-05,2.1718589051771915e-06
2012,E06000036,97231,408772,20,40253,0.0004968573770899,48.30993963182869,female,12-15,2846,0.0292705001491293,1.4543263930206144e-05,4.892703022711928e-05,1.4321186455593532e-06
2012,E06000036,97231,408772,20,40253,0.0004968573770899,48.30993963182869,male,12-15,3096,0.0318416965782517,1.582078184396283e-05,4.892703022711928e-05,1.557919650966886e-06
2012,E06000044,177333,408772,36,67693,0.0005318127428242,94.3079491232476,female,12-15,4279,0.024129744604783,1.2832505661917647e-05,8.806865440881469e-05,2.125074138571603e-06
2012,E06000044,177333,408772,36,67693,0.0005318127428242,94.3079491232476,male,12-15,4465,0.0251786187568021,1.3390310301580343e-05,8.806865440881469e-05,2.21744707378411e-06
2012,E06000049,323740,408772,9,153305,5.870650011415153e-05,19.005642346955412,female,12-15,8561,0.0264440600481868,1.5524382142375094e-06,2.2017163602203676e-05,5.822231963874271e-07
2012,E06000049,323740,408772,9,153305,5.870650011415153e-05,19.005642346955412,male,12-15,8879,0.0274263297708037,1.6101038318204468e-06,2.2017163602203676e-05,6.03849989571775e-07
2012,E06000050,287140,408772,24,137440,0.0001746216530849,50.14086146682189,female,12-15,7373,0.0256773699240788,4.483824783017261e-06,5.8712436272543126e-05,1.5075809453139949e-06
2012,E06000050,287140,408772,24,137440,0.0001746216530849,50.14086146682189,male,12-15,7804,0.0271783798843769,4.745933623581542e-06,5.8712436272543126e-05,1.5957088969524503e-06
2012,E06000051,270408,408772,1700,112511,0.0151096337247024,4085.765836229347,female,12-15,7230,0.0267373746338865,0.0004039919374781,0.0041587975693051,0.000111195328637
2012,E06000051,270408,408772,1700,112511,0.0151096337247024,4085.765836229347,male,12-15,7472,0.0276323185704564,0.0004175142125638,0.0041587975693051,0.000114917219305
2012,E06000054,409372,408772,143,160669,0.0008900285680498,364.3527749596997,female,12-15,11915,0.0291055568040803,2.5904777044629e-05,0.0003498282661239,1.0181946471342208e-05
2012,E06000054,409372,408772,143,160669,0.0008900285680498,364.3527749596997,male,12-15,12065,0.0294719717029987,2.623089677242542e-05,0.0003498282661239,1.0310128760112776e-05
2012,E06000058,335535,408772,11,171527,6.412984544707247e-05,21.51780769208346,female,12-15,7534,0.0224536933553876,1.4399518845969688e-06,2.69098666249156e-05,6.042258934302357e-07
2012,E06000058,335535,408772,11,171527,6.412984544707247e-05,21.51780769208346,male,12-15,7900,0.0235444886524505,1.5099044184120062e-06,2.69098666249156e-05,6.335790493892835e-07
2012,E06000060,433892,408772,30,166677,0.0001799888406918,78.09571806547994,female,12-15,12857,0.0296317977745614,5.333392929059453e-06,7.33905453406789e-05,2.174693798099778e-06
2012,E06000060,433892,408772,30,166677,0.0001799888406918,78.09571806547994,male,12-15,13592,0.0313257677025619,5.638288612567168e-06,7.33905453406789e-05,2.299015174906446e-06
2012,E07000011,147155,408772,8,61343,0.0001304142281922,19.191105749637288,female,12-15,4014,0.0272773606061635,3.5573559305757554e-06,1.957081209084771e-05,5.33840098757519e-07
2012,E07000011,147155,408772,8,61343,0.0001304142281922,19.191105749637288,male,12-15,4358,0.0296150317692229,3.862221511073528e-06,1.957081209084771e-05,5.795902218199472e-07
2012,E07000035,63176,408772,12,25776,0.0004655493482309,29.41154562383613,female,12-15,1663,0.0263232873243003,1.2254789257123077e-05,2.9356218136271563e-05,7.727521647559139e-07
2012,E07000035,63176,408772,12,25776,0.0004655493482309,29.41154562383613,male,12-15,1808,0.0286184627073572,1.332330666078083e-05,2.9356218136271563e-05,8.401298339619316e-07
2012,E07000039,82215,408772,250,34614,0.0072225111226671,593.798751950078,female,12-15,2376,0.0288998357963875,0.0002087293854826,0.0006115878778389,1.767478924460795e-05
2012,E07000039,82215,408772,250,34614,0.0072225111226671,593.798751950078,male,12-15,2662,0.0323785197348415,0.0002338542189203,0.0006115878778389,1.980231017219965e-05
2012,E07000043,81969,408772,12,39267,0.00030560012224,25.04973641989457,female,12-15,2098,0.0255950420280837,7.821847972521595e-06,2.9356218136271563e-05,7.513736369834661e-07
2012,E07000043,81969,408772,12,39267,0.00030560012224,25.04973641989457,male,12-15,2202,0.0268638143688467,8.209584954953552e-06,2.9356218136271563e-05,7.886199945841718e-07
2012,E07000044,74085,408772,8,29658,0.0002697417223008,19.983815496661943,female,12-15,1809,0.0244178983599919,6.5865259585924605e-06,1.957081209084771e-05,4.7787810045682e-07
2012,E07000044,74085,408772,8,29658,0.0002697417223008,19.983815496661943,male,12-15,1948,0.0262941216170614,7.092621651375408e-06,1.957081209084771e-05,5.14597313261407e-07
2012,E07000071,151484,408772,26,60713,0.0004282443628218,64.87216905769769,female,12-15,3760,0.0248211032188217,1.062949753247849e-05,6.360513929525506e-05,1.5787497276950637e-06
2012,E07000071,151484,408772,26,60713,0.0004282443628218,64.87216905769769,male,12-15,4066,0.0268411185339705,1.1494557704004664e-05,6.360513929525506e-05,1.7072330831936512e-06
2012,E07000078,101294,408772,187,37081,0.0050430139424503,510.8270542865618,female,12-15,2580,0.0254704128576223,0.0001284476471609,0.0004574677326235,1.1651892018962604e-05
2012,E07000078,101294,408772,187,37081,0.0050430139424503,510.8270542865618,male,12-15,2597,0.0256382411593973,0.0001292940076267,0.0004574677326235,1.1728668051645692e-05
