date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-01-24,380.0,0.0,33.0,103.0,135.0,223892.0,6504,494
2022-01-23,467.0,0.0,70.0,203.0,183.0,223892.0,5906,817
2022-01-22,381.0,0.0,67.0,235.0,211.0,223892.0,4722,1028
2022-01-21,407.0,0.0,68.0,143.0,182.0,223892.0,5310,958
2022-01-20,539.0,2.0,22.0,39.0,60.0,223892.0,7024,1697
2022-01-19,525.0,1.0,50.0,57.0,105.0,223892.0,7463,2016
2022-01-18,526.0,0.0,38.0,39.0,131.0,223892.0,6908,2398
2022-01-17,561.0,0.0,71.0,79.0,195.0,223892.0,7837,1710
2022-01-16,410.0,0.0,50.0,106.0,163.0,223892.0,6197,1337
2022-01-15,353.0,0.0,117.0,184.0,286.0,223892.0,5161,1765
2022-01-14,386.0,2.0,86.0,101.0,332.0,223892.0,6340,2257
2022-01-13,373.0,1.0,52.0,74.0,137.0,223892.0,7282,2161
2022-01-12,362.0,0.0,85.0,174.0,272.0,223892.0,7841,2776
2022-01-11,455.0,1.0,79.0,92.0,259.0,223892.0,7151,2948
2022-01-10,462.0,0.0,86.0,89.0,374.0,223892.0,8997,3076
2022-01-09,290.0,2.0,119.0,145.0,615.0,223892.0,6937,2237
2022-01-08,335.0,2.0,105.0,129.0,430.0,223892.0,6397,2987
2022-01-07,433.0,1.0,95.0,133.0,603.0,223892.0,7711,2549
2022-01-06,569.0,1.0,72.0,84.0,673.0,223892.0,9970,2747
2022-01-05,612.0,0.0,73.0,103.0,449.0,223892.0,10235,3110
2022-01-04,731.0,1.0,66.0,107.0,393.0,223892.0,10272,4014
2022-01-03,656.0,0.0,71.0,72.0,357.0,223892.0,6891,2401
2022-01-02,471.0,1.0,43.0,51.0,238.0,223892.0,6444,2822
2022-01-01,250.0,3.0,7.0,9.0,54.0,223892.0,4441,1599
2021-12-31,445.0,1.0,51.0,107.0,389.0,223892.0,7497,2417
2021-12-30,549.0,0.0,84.0,118.0,873.0,223892.0,6495,2573
2021-12-29,749.0,0.0,87.0,118.0,886.0,223892.0,6632,2271
2021-12-28,523.0,0.0,77.0,75.0,561.0,223892.0,5777,2349
2021-12-27,448.0,0.0,69.0,44.0,614.0,223892.0,5889,2204
2021-12-26,289.0,1.0,17.0,9.0,52.0,223892.0,5825,2480
2021-12-25,183.0,0.0,2.0,3.0,27.0,223892.0,4755,1824
2021-12-24,309.0,0.0,51.0,39.0,334.0,223892.0,6366,1909
2021-12-23,397.0,0.0,127.0,129.0,1128.0,223892.0,6901,2899
2021-12-22,341.0,0.0,114.0,159.0,1509.0,223892.0,7246,2975
2021-12-21,334.0,2.0,125.0,187.0,2835.0,223892.0,6117,2437
2021-12-20,310.0,0.0,134.0,157.0,3442.0,223892.0,6780,2662
2021-12-19,198.0,0.0,126.0,160.0,2442.0,223892.0,6273,2832
2021-12-18,206.0,0.0,186.0,205.0,3150.0,223892.0,5800,2120
2021-12-17,234.0,0.0,131.0,148.0,3534.0,223892.0,6442,2478
2021-12-16,258.0,1.0,98.0,120.0,2371.0,223892.0,6777,2282
2021-12-15,292.0,1.0,89.0,121.0,1663.0,223892.0,6523,2040
2021-12-14,190.0,0.0,95.0,155.0,2636.0,223892.0,5269,2151
2021-12-13,199.0,1.0,82.0,112.0,1741.0,223892.0,7174,2707
2021-12-12,130.0,0.0,70.0,123.0,2530.0,223892.0,5575,2302
2021-12-11,146.0,0.0,104.0,165.0,2207.0,223892.0,3687,1588
2021-12-10,133.0,0.0,90.0,120.0,1501.0,223892.0,4915,2300
2021-12-09,183.0,0.0,52.0,129.0,1541.0,223892.0,6024,2183
2021-12-08,173.0,1.0,64.0,82.0,1049.0,223892.0,5411,2243
2021-12-07,166.0,0.0,62.0,163.0,1373.0,223892.0,4347,2019
2021-12-06,205.0,0.0,76.0,133.0,1314.0,223892.0,5582,2086
2021-12-05,113.0,2.0,65.0,400.0,965.0,223892.0,4848,2121
2021-12-04,112.0,0.0,118.0,177.0,1620.0,223892.0,3565,2083
2021-12-03,172.0,0.0,84.0,115.0,763.0,223892.0,4839,2742
2021-12-02,142.0,1.0,72.0,104.0,965.0,223892.0,4950,2088
2021-12-01,187.0,0.0,51.0,71.0,642.0,223892.0,5109,2262
2021-11-30,160.0,0.0,77.0,140.0,1011.0,223892.0,4260,2027
2021-11-29,173.0,1.0,68.0,146.0,742.0,223892.0,4845,1535
2021-11-28,143.0,0.0,91.0,131.0,1407.0,223892.0,4353,1637
2021-11-27,104.0,1.0,118.0,179.0,2763.0,223892.0,3346,2025
2021-11-26,130.0,1.0,79.0,108.0,1182.0,223892.0,3536,1783
2021-11-25,125.0,0.0,41.0,75.0,743.0,223892.0,4939,2386
2021-11-24,147.0,0.0,96.0,65.0,471.0,223892.0,4442,1912
2021-11-23,149.0,1.0,74.0,100.0,876.0,223892.0,3793,1999
2021-11-22,152.0,0.0,78.0,81.0,648.0,223892.0,5114,2095
2021-11-21,94.0,0.0,16.0,44.0,1319.0,223892.0,4561,2020
2021-11-20,91.0,0.0,221.0,142.0,2052.0,223892.0,2928,1692
2021-11-19,125.0,0.0,83.0,65.0,977.0,223892.0,3519,1815
2021-11-18,134.0,0.0,32.0,65.0,721.0,223892.0,4416,1709
2021-11-17,122.0,0.0,95.0,71.0,494.0,223892.0,4917,2370
2021-11-16,150.0,1.0,113.0,111.0,970.0,223892.0,3578,1862
2021-11-15,140.0,0.0,177.0,98.0,677.0,223892.0,4887,1744
2021-11-14,122.0,0.0,42.0,76.0,1969.0,223892.0,4373,1874
2021-11-13,93.0,0.0,239.0,151.0,2958.0,223892.0,2349,1178
2021-11-12,119.0,3.0,371.0,100.0,673.0,223892.0,3748,1904
2021-11-11,153.0,0.0,176.0,98.0,762.0,223892.0,4480,1694
2021-11-10,138.0,0.0,296.0,56.0,722.0,223892.0,4562,1974
2021-11-09,146.0,0.0,229.0,103.0,699.0,223892.0,3595,1712
2021-11-08,177.0,0.0,86.0,68.0,698.0,223892.0,5492,2339
2021-11-07,115.0,1.0,66.0,49.0,1091.0,223892.0,3627,1082
2021-11-06,102.0,0.0,151.0,137.0,2506.0,223892.0,2822,1648
2021-11-05,118.0,0.0,82.0,108.0,413.0,223892.0,3741,2153
2021-11-04,136.0,0.0,54.0,76.0,594.0,223892.0,4500,1808
2021-11-03,135.0,0.0,96.0,50.0,828.0,223892.0,4108,1627
2021-11-02,159.0,2.0,240.0,98.0,841.0,223892.0,4071,2140
2021-11-01,196.0,2.0,335.0,89.0,681.0,223892.0,4939,1548
2021-10-31,104.0,0.0,230.0,68.0,1353.0,223892.0,4459,1704
2021-10-30,115.0,1.0,165.0,170.0,1739.0,223892.0,3154,1851
2021-10-29,171.0,0.0,134.0,59.0,897.0,223892.0,3402,1715
2021-10-28,154.0,1.0,146.0,45.0,427.0,223892.0,3953,1889
2021-10-27,150.0,2.0,159.0,72.0,395.0,223892.0,4181,2287
2021-10-26,167.0,1.0,108.0,105.0,598.0,223892.0,3704,1988
