date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-12-21,75.0,10.0,
2021-12-20,71.0,10.0,
2021-12-19,70.0,10.0,12.0
2021-12-18,72.0,9.0,9.0
2021-12-17,75.0,8.0,2.0
2021-12-16,82.0,11.0,5.0
2021-12-15,76.0,10.0,6.0
2021-12-14,80.0,10.0,10.0
2021-12-13,79.0,10.0,7.0
2021-12-12,78.0,10.0,9.0
2021-12-11,74.0,12.0,8.0
2021-12-10,76.0,12.0,8.0
2021-12-09,75.0,11.0,7.0
2021-12-08,70.0,11.0,10.0
2021-12-07,77.0,10.0,8.0
2021-12-06,80.0,12.0,5.0
2021-12-05,75.0,10.0,10.0
2021-12-04,74.0,10.0,9.0
2021-12-03,72.0,12.0,7.0
2021-12-02,65.0,12.0,13.0
2021-12-01,69.0,11.0,9.0
2021-11-30,65.0,11.0,6.0
2021-11-29,66.0,10.0,8.0
2021-11-28,56.0,10.0,7.0
2021-11-27,56.0,8.0,14.0
2021-11-26,57.0,9.0,6.0
2021-11-25,55.0,7.0,6.0
2021-11-24,63.0,9.0,8.0
2021-11-23,67.0,8.0,4.0
2021-11-22,69.0,8.0,6.0
2021-11-21,75.0,7.0,7.0
2021-11-20,72.0,9.0,4.0
2021-11-19,72.0,10.0,4.0
2021-11-18,70.0,11.0,11.0
2021-11-17,72.0,9.0,6.0
2021-11-16,77.0,10.0,6.0
2021-11-15,76.0,8.0,4.0
2021-11-14,77.0,8.0,9.0
2021-11-13,70.0,10.0,11.0
2021-11-12,72.0,10.0,10.0
2021-11-11,74.0,10.0,6.0
2021-11-10,79.0,10.0,7.0
2021-11-09,83.0,9.0,4.0
2021-11-08,82.0,8.0,10.0
2021-11-07,81.0,8.0,10.0
2021-11-06,75.0,7.0,5.0
2021-11-05,85.0,6.0,10.0
2021-11-04,89.0,6.0,5.0
2021-11-03,86.0,6.0,9.0
2021-11-02,96.0,6.0,16.0
2021-11-01,100.0,8.0,9.0
2021-10-31,102.0,6.0,9.0
2021-10-30,104.0,9.0,15.0
2021-10-29,99.0,7.0,8.0
2021-10-28,90.0,8.0,17.0
2021-10-27,94.0,9.0,15.0
2021-10-26,90.0,10.0,5.0
2021-10-25,83.0,10.0,18.0
2021-10-24,76.0,9.0,14.0
2021-10-23,73.0,8.0,8.0
2021-10-22,66.0,8.0,8.0
2021-10-21,65.0,6.0,8.0
2021-10-20,60.0,7.0,8.0
2021-10-19,56.0,8.0,11.0
2021-10-18,55.0,8.0,7.0
2021-10-17,51.0,8.0,8.0
2021-10-16,34.0,7.0,14.0
2021-10-15,35.0,7.0,17.0
2021-10-14,33.0,6.0,4.0
2021-10-13,37.0,6.0,6.0
2021-10-12,38.0,6.0,8.0
2021-10-11,37.0,5.0,2.0
2021-10-10,34.0,5.0,5.0
2021-10-09,33.0,3.0,6.0
2021-10-08,34.0,3.0,6.0
2021-10-07,37.0,3.0,3.0
2021-10-06,44.0,3.0,3.0
2021-10-05,49.0,3.0,1.0
2021-10-04,51.0,4.0,7.0
2021-10-03,46.0,5.0,4.0
2021-10-02,40.0,5.0,7.0
2021-10-01,39.0,6.0,8.0
2021-09-30,42.0,7.0,4.0
2021-09-29,36.0,6.0,4.0
2021-09-28,38.0,6.0,8.0
2021-09-27,42.0,5.0,4.0
2021-09-26,43.0,5.0,2.0
2021-09-25,45.0,6.0,4.0
2021-09-24,48.0,6.0,0.0
2021-09-23,45.0,7.0,11.0
2021-09-22,45.0,7.0,8.0
2021-09-21,47.0,7.0,2.0
2021-09-20,47.0,6.0,3.0
2021-09-19,53.0,5.0,0.0
2021-09-18,44.0,5.0,5.0
2021-09-17,52.0,4.0,3.0
2021-09-16,52.0,4.0,6.0
2021-09-15,49.0,4.0,5.0
2021-09-14,59.0,4.0,7.0
2021-09-13,64.0,2.0,4.0
2021-09-12,53.0,3.0,4.0
2021-09-11,49.0,2.0,12.0
2021-09-10,58.0,5.0,12.0
2021-09-09,71.0,6.0,2.0
2021-09-08,65.0,8.0,5.0
2021-09-07,74.0,8.0,11.0
2021-09-06,79.0,8.0,5.0
2021-09-05,76.0,8.0,6.0
2021-09-04,76.0,9.0,10.0
2021-09-03,79.0,9.0,1.0
