date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2022-01-18,157.0,31.0,
2022-01-17,181.0,25.0,
2022-01-16,158.0,28.0,13.0
2022-01-15,162.0,25.0,9.0
2022-01-14,176.0,32.0,5.0
2022-01-13,184.0,32.0,10.0
2022-01-12,198.0,33.0,10.0
2022-01-11,196.0,29.0,9.0
2022-01-10,197.0,28.0,10.0
2022-01-09,211.0,30.0,6.0
2022-01-08,209.0,30.0,8.0
2022-01-07,213.0,31.0,8.0
2022-01-06,211.0,33.0,5.0
2022-01-05,223.0,33.0,14.0
2022-01-04,201.0,34.0,13.0
2022-01-03,201.0,33.0,24.0
2022-01-02,194.0,33.0,9.0
2022-01-01,180.0,31.0,8.0
2021-12-31,175.0,33.0,5.0
2021-12-30,163.0,34.0,9.0
2021-12-29,162.0,35.0,19.0
2021-12-28,147.0,33.0,7.0
2021-12-27,133.0,30.0,22.0
2021-12-26,118.0,30.0,16.0
2021-12-25,108.0,28.0,18.0
2021-12-24,106.0,28.0,2.0
2021-12-23,106.0,28.0,12.0
2021-12-22,110.0,28.0,16.0
2021-12-21,113.0,24.0,18.0
2021-12-20,105.0,25.0,8.0
2021-12-19,99.0,27.0,10.0
2021-12-18,98.0,28.0,6.0
2021-12-17,96.0,31.0,7.0
2021-12-16,92.0,28.0,12.0
2021-12-15,83.0,27.0,8.0
2021-12-14,75.0,28.0,7.0
2021-12-13,85.0,33.0,8.0
2021-12-12,85.0,34.0,5.0
2021-12-11,75.0,37.0,3.0
2021-12-10,73.0,37.0,12.0
2021-12-09,71.0,36.0,5.0
2021-12-08,65.0,33.0,4.0
2021-12-07,64.0,31.0,5.0
2021-12-06,72.0,31.0,3.0
2021-12-05,71.0,26.0,3.0
2021-12-04,68.0,26.0,3.0
2021-12-03,75.0,28.0,2.0
2021-12-02,72.0,29.0,3.0
2021-12-01,71.0,30.0,5.0
2021-11-30,72.0,30.0,3.0
2021-11-29,69.0,24.0,3.0
2021-11-28,65.0,27.0,1.0
2021-11-27,68.0,28.0,5.0
2021-11-26,74.0,33.0,6.0
2021-11-25,63.0,23.0,1.0
2021-11-24,61.0,29.0,2.0
2021-11-23,68.0,30.0,2.0
2021-11-22,66.0,30.0,0.0
2021-11-21,62.0,27.0,3.0
2021-11-20,58.0,26.0,6.0
2021-11-19,65.0,29.0,1.0
2021-11-18,61.0,28.0,2.0
2021-11-17,62.0,27.0,7.0
2021-11-16,66.0,26.0,1.0
2021-11-15,68.0,29.0,3.0
2021-11-14,61.0,26.0,5.0
2021-11-13,57.0,27.0,6.0
2021-11-12,60.0,27.0,4.0
2021-11-11,62.0,27.0,3.0
2021-11-10,62.0,26.0,2.0
2021-11-09,57.0,25.0,3.0
2021-11-08,64.0,27.0,3.0
2021-11-07,60.0,24.0,1.0
2021-11-06,57.0,26.0,6.0
2021-11-05,56.0,24.0,3.0
2021-11-04,50.0,24.0,0.0
2021-11-03,47.0,23.0,5.0
2021-11-02,50.0,24.0,5.0
2021-11-01,45.0,22.0,4.0
2021-10-31,43.0,16.0,3.0
2021-10-30,41.0,23.0,5.0
2021-10-29,40.0,22.0,2.0
2021-10-28,42.0,22.0,3.0
2021-10-27,40.0,22.0,3.0
2021-10-26,41.0,20.0,0.0
2021-10-25,43.0,20.0,0.0
2021-10-24,41.0,20.0,3.0
2021-10-23,43.0,20.0,1.0
2021-10-22,41.0,19.0,2.0
2021-10-21,45.0,20.0,0.0
2021-10-20,40.0,19.0,0.0
2021-10-19,42.0,20.0,2.0
2021-10-18,44.0,22.0,0.0
2021-10-17,39.0,20.0,5.0
2021-10-16,42.0,20.0,4.0
2021-10-15,43.0,16.0,0.0
2021-10-14,44.0,17.0,1.0
2021-10-13,46.0,21.0,1.0
2021-10-12,53.0,22.0,2.0
2021-10-11,54.0,24.0,4.0
2021-10-10,52.0,22.0,3.0
2021-10-09,52.0,22.0,0.0
2021-10-08,52.0,21.0,1.0
2021-10-07,57.0,22.0,2.0
2021-10-06,63.0,28.0,5.0
2021-10-05,62.0,30.0,4.0
2021-10-04,61.0,29.0,2.0
2021-10-03,60.0,30.0,1.0
2021-10-02,60.0,29.0,1.0
2021-10-01,61.0,32.0,1.0
2021-09-30,66.0,33.0,0.0
2021-09-29,66.0,35.0,3.0
2021-09-28,64.0,35.0,1.0
2021-09-27,68.0,35.0,1.0
2021-09-26,67.0,35.0,1.0
2021-09-25,69.0,37.0,0.0
2021-09-24,67.0,34.0,0.0
2021-09-23,70.0,33.0,1.0
2021-09-22,75.0,35.0,2.0
2021-09-21,74.0,36.0,4.0
2021-09-20,71.0,35.0,2.0
2021-09-19,73.0,37.0,3.0
2021-09-18,72.0,37.0,0.0
2021-09-17,74.0,35.0,2.0
2021-09-16,77.0,32.0,2.0
2021-09-15,77.0,33.0,1.0
2021-09-14,75.0,34.0,2.0
2021-09-13,73.0,34.0,3.0
2021-09-12,72.0,35.0,1.0
2021-09-11,78.0,37.0,1.0
2021-09-10,77.0,37.0,2.0
2021-09-09,78.0,37.0,3.0
2021-09-08,80.0,39.0,1.0
2021-09-07,84.0,38.0,2.0
2021-09-06,86.0,41.0,1.0
2021-09-05,79.0,35.0,7.0
2021-09-04,76.0,35.0,3.0
2021-09-03,74.0,35.0,3.0
2021-09-02,67.0,34.0,4.0
2021-09-01,74.0,32.0,8.0
2021-08-31,73.0,32.0,2.0
2021-08-30,73.0,32.0,5.0
2021-08-29,68.0,32.0,3.0
2021-08-28,65.0,32.0,5.0
2021-08-27,66.0,29.0,8.0
2021-08-26,66.0,27.0,4.0
2021-08-25,69.0,29.0,2.0
2021-08-24,65.0,28.0,4.0
2021-08-23,68.0,27.0,4.0
2021-08-22,66.0,30.0,6.0
2021-08-21,65.0,29.0,3.0
2021-08-20,60.0,26.0,5.0
2021-08-19,56.0,24.0,3.0
2021-08-18,50.0,23.0,3.0
2021-08-17,52.0,22.0,3.0
