date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-12-14,48.0,7.0,
2021-12-13,44.0,8.0,
2021-12-12,40.0,6.0,10.0
2021-12-11,41.0,6.0,2.0
2021-12-10,38.0,8.0,4.0
2021-12-09,39.0,7.0,6.0
2021-12-08,40.0,6.0,4.0
2021-12-07,40.0,6.0,10.0
2021-12-06,41.0,6.0,2.0
2021-12-05,47.0,8.0,7.0
2021-12-04,47.0,7.0,3.0
2021-12-03,47.0,6.0,6.0
2021-12-02,49.0,5.0,6.0
2021-12-01,50.0,6.0,7.0
2021-11-30,47.0,5.0,4.0
2021-11-29,43.0,5.0,13.0
2021-11-28,46.0,5.0,4.0
2021-11-27,50.0,5.0,2.0
2021-11-26,57.0,5.0,0.0
2021-11-25,62.0,6.0,4.0
2021-11-24,63.0,6.0,3.0
2021-11-23,56.0,6.0,4.0
2021-11-22,58.0,6.0,10.0
2021-11-21,60.0,6.0,6.0
2021-11-20,62.0,6.0,1.0
2021-11-19,52.0,5.0,8.0
2021-11-18,50.0,5.0,10.0
2021-11-17,55.0,5.0,4.0
2021-11-16,58.0,6.0,8.0
2021-11-15,57.0,6.0,4.0
2021-11-14,56.0,6.0,3.0
2021-11-13,58.0,5.0,3.0
2021-11-12,58.0,8.0,3.0
2021-11-11,48.0,6.0,5.0
2021-11-10,55.0,6.0,10.0
2021-11-09,48.0,6.0,5.0
2021-11-08,52.0,6.0,9.0
2021-11-07,52.0,6.0,6.0
2021-11-06,54.0,5.0,3.0
2021-11-05,50.0,5.0,5.0
2021-11-04,43.0,5.0,12.0
2021-11-03,43.0,6.0,9.0
2021-11-02,34.0,6.0,5.0
2021-11-01,36.0,7.0,12.0
2021-10-31,40.0,9.0,5.0
2021-10-30,36.0,7.0,2.0
2021-10-29,42.0,7.0,6.0
2021-10-28,41.0,5.0,5.0
2021-10-27,37.0,6.0,3.0
2021-10-26,36.0,5.0,9.0
2021-10-25,31.0,4.0,9.0
2021-10-24,39.0,6.0,5.0
2021-10-23,39.0,6.0,4.0
2021-10-22,35.0,6.0,4.0
2021-10-21,32.0,7.0,4.0
2021-10-20,35.0,7.0,4.0
2021-10-19,36.0,8.0,3.0
2021-10-18,35.0,6.0,11.0
2021-10-17,30.0,7.0,6.0
2021-10-16,32.0,6.0,8.0
2021-10-15,29.0,6.0,1.0
2021-10-14,32.0,6.0,5.0
2021-10-13,32.0,5.0,4.0
2021-10-12,24.0,5.0,9.0
2021-10-11,22.0,4.0,8.0
2021-10-10,24.0,4.0,3.0
2021-10-09,24.0,4.0,1.0
2021-10-08,27.0,4.0,4.0
2021-10-07,30.0,5.0,2.0
2021-10-06,29.0,5.0,1.0
2021-10-05,32.0,7.0,2.0
2021-10-04,31.0,5.0,7.0
2021-10-03,32.0,5.0,3.0
2021-10-02,2.0,0.0,2.0
2021-10-01,39.0,7.0,1.0
2021-09-30,37.0,7.0,0.0
2021-09-29,38.0,7.0,10.0
2021-09-28,35.0,8.0,1.0
2021-09-27,41.0,8.0,8.0
2021-09-26,40.0,8.0,5.0
2021-09-25,44.0,8.0,3.0
2021-09-24,48.0,11.0,5.0
2021-09-23,48.0,10.0,6.0
2021-09-22,36.0,10.0,9.0
2021-09-21,33.0,10.0,8.0
2021-09-20,33.0,11.0,8.0
2021-09-19,41.0,13.0,4.0
2021-09-18,33.0,11.0,4.0
2021-09-17,33.0,10.0,3.0
2021-09-16,37.0,10.0,6.0
2021-09-15,41.0,10.0,4.0
2021-09-14,43.0,12.0,7.0
2021-09-13,37.0,8.0,7.0
2021-09-12,39.0,9.0,7.0
2021-09-11,33.0,6.0,5.0
2021-09-10,32.0,6.0,5.0
2021-09-09,37.0,7.0,2.0
2021-09-08,38.0,7.0,5.0
2021-09-07,35.0,7.0,4.0
2021-09-06,31.0,5.0,7.0
2021-09-05,28.0,6.0,8.0
2021-09-04,28.0,6.0,7.0
2021-09-03,26.0,6.0,2.0
2021-09-02,24.0,6.0,9.0
2021-09-01,24.0,5.0,6.0
2021-08-31,31.0,6.0,3.0
2021-08-30,23.0,6.0,1.0
2021-08-29,27.0,9.0,9.0
2021-08-28,27.0,9.0,4.0
2021-08-27,35.0,9.0,6.0
2021-08-26,38.0,11.0,4.0
2021-08-25,40.0,13.0,8.0
2021-08-24,34.0,11.0,9.0
2021-08-23,37.0,12.0,12.0
2021-08-22,37.0,14.0,4.0
2021-08-21,39.0,14.0,4.0
2021-08-20,39.0,15.0,2.0
2021-08-19,40.0,9.0,8.0
2021-08-18,36.0,10.0,3.0
2021-08-17,41.0,9.0,12.0
2021-08-16,38.0,9.0,6.0
2021-08-15,36.0,8.0,9.0
2021-08-14,35.0,9.0,5.0
2021-08-13,32.0,8.0,6.0
2021-08-12,27.0,7.0,8.0
2021-08-11,29.0,7.0,11.0
2021-08-10,18.0,3.0,8.0
2021-08-09,24.0,6.0,6.0
2021-08-08,23.0,6.0,6.0
2021-08-07,26.0,6.0,2.0
2021-08-06,27.0,5.0,3.0
2021-08-05,26.0,3.0,4.0
2021-08-04,21.0,2.0,5.0
2021-08-03,23.0,2.0,10.0
2021-08-02,21.0,3.0,2.0
2021-08-01,26.0,3.0,7.0
2021-07-31,28.0,3.0,0.0
2021-07-30,25.0,4.0,2.0
2021-07-29,27.0,4.0,7.0
2021-07-28,29.0,2.0,1.0
2021-07-27,31.0,3.0,2.0
2021-07-26,28.0,4.0,2.0
2021-07-25,30.0,3.0,4.0
2021-07-24,31.0,4.0,2.0
2021-07-23,26.0,2.0,8.0
2021-07-22,23.0,4.0,11.0
2021-07-21,20.0,5.0,6.0
2021-07-20,20.0,5.0,4.0
2021-07-19,19.0,5.0,2.0
2021-07-18,18.0,5.0,5.0
2021-07-17,15.0,5.0,5.0
2021-07-16,17.0,5.0,2.0
2021-07-15,15.0,4.0,3.0
2021-07-14,15.0,3.0,6.0
2021-07-13,11.0,3.0,2.0
2021-07-12,10.0,2.0,4.0
2021-07-11,9.0,2.0,2.0
2021-07-10,8.0,2.0,1.0
2021-07-09,7.0,2.0,1.0
2021-07-08,7.0,2.0,1.0
2021-07-07,6.0,1.0,1.0
