date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2022-01-18,128,2.0,
2022-01-17,113,3.0,
2022-01-16,113,4.0,16.0
2022-01-15,114,2.0,8.0
2022-01-14,110,3.0,11.0
2022-01-13,101,4.0,11.0
2022-01-12,100,4.0,15.0
2022-01-11,98,4.0,5.0
2022-01-10,94,4.0,12.0
2022-01-09,100,4.0,11.0
2022-01-08,92,4.0,12.0
2022-01-07,89,4.0,10.0
2022-01-06,90,5.0,4.0
2022-01-05,84,5.0,11.0
2022-01-04,78,4.0,10.0
2022-01-03,79,4.0,5.0
2022-01-02,80,4.0,10.0
2022-01-01,77,3.0,6.0
2021-12-31,70,2.0,8.0
2021-12-30,70,3.0,12.0
2021-12-29,61,2.0,9.0
2021-12-28,60,2.0,7.0
2021-12-27,54,4.0,6.0
2021-12-26,54,4.0,6.0
2021-12-25,57,4.0,7.0
2021-12-24,57,3.0,2.0
2021-12-23,54,4.0,7.0
2021-12-22,53,3.0,9.0
2021-12-21,55,2.0,2.0
2021-12-20,57,3.0,5.0
2021-12-19,53,3.0,2.0
2021-12-18,57,3.0,3.0
2021-12-17,59,3.0,1.0
2021-12-16,59,3.0,2.0
2021-12-15,59,3.0,2.0
2021-12-14,60,4.0,1.0
2021-12-13,59,5.0,2.0
2021-12-12,59,5.0,2.0
2021-12-11,65,7.0,2.0
2021-12-10,70,7.0,2.0
2021-12-09,79,9.0,1.0
2021-12-08,83,8.0,1.0
2021-12-07,84,8.0,1.0
2021-12-06,89,11.0,2.0
2021-12-05,88,10.0,4.0
2021-12-04,90,10.0,5.0
2021-12-03,86,9.0,5.0
2021-12-02,87,9.0,4.0
2021-12-01,81,10.0,4.0
2021-11-30,80,8.0,6.0
2021-11-29,80,8.0,5.0
2021-11-28,81,8.0,4.0
2021-11-27,79,7.0,4.0
2021-11-26,75,8.0,3.0
2021-11-25,72,6.0,3.0
2021-11-24,70,7.0,7.0
2021-11-23,66,6.0,9.0
2021-11-22,72,4.0,5.0
2021-11-21,74,5.0,9.0
2021-11-20,74,5.0,2.0
2021-11-19,72,6.0,3.0
2021-11-18,72,6.0,2.0
2021-11-17,75,6.0,3.0
2021-11-16,71,8.0,3.0
2021-11-15,75,9.0,3.0
2021-11-14,67,9.0,0.0
2021-11-13,63,8.0,9.0
2021-11-12,55,6.0,10.0
2021-11-11,57,8.0,8.0
2021-11-10,48,9.0,9.0
2021-11-09,46,8.0,7.0
2021-11-08,47,8.0,4.0
2021-11-07,47,8.0,2.0
2021-11-06,48,8.0,4.0
2021-11-05,48,6.0,2.0
2021-11-04,49,4.0,3.0
2021-11-03,53,4.0,0.0
2021-11-02,62,7.0,2.0
2021-11-01,56,9.0,4.0
2021-10-31,56,9.0,8.0
2021-10-30,52,6.0,4.0
2021-10-29,49,7.0,2.0
2021-10-28,54,7.0,2.0
2021-10-27,48,8.0,4.0
2021-10-26,44,9.0,6.0
2021-10-25,44,10.0,3.0
2021-10-24,48,10.0,3.0
2021-10-23,50,10.0,2.0
2021-10-22,49,8.0,2.0
2021-10-21,49,7.0,5.0
2021-10-20,48,7.0,2.0
2021-10-19,49,7.0,2.0
2021-10-18,53,6.0,5.0
2021-10-17,45,4.0,3.0
2021-10-16,43,3.0,5.0
2021-10-15,43,3.0,8.0
2021-10-14,42,3.0,4.0
2021-10-13,44,3.0,1.0
2021-10-12,42,2.0,4.0
2021-10-11,43,1.0,4.0
2021-10-10,43,2.0,5.0
2021-10-09,41,4.0,3.0
2021-10-08,42,4.0,5.0
2021-10-07,42,2.0,3.0
2021-10-06,44,2.0,2.0
2021-10-05,45,2.0,3.0
2021-10-04,47,2.0,2.0
2021-10-03,48,2.0,0.0
2021-10-02,44,2.0,3.0
2021-10-01,44,2.0,0.0
2021-09-30,45,4.0,0.0
2021-09-29,46,4.0,2.0
2021-09-28,49,4.0,2.0
2021-09-27,52,4.0,1.0
2021-09-26,54,5.0,5.0
2021-09-25,58,5.0,3.0
2021-09-24,62,5.0,1.0
2021-09-23,74,7.0,1.0
2021-09-22,74,7.0,7.0
2021-09-21,66,5.0,8.0
2021-09-20,71,6.0,3.0
2021-09-19,68,6.0,8.0
2021-09-18,65,5.0,3.0
2021-09-17,72,7.0,3.0
2021-09-16,72,6.0,6.0
2021-09-15,72,10.0,6.0
2021-09-14,78,9.0,2.0
2021-09-13,78,8.0,2.0
2021-09-12,77,7.0,9.0
2021-09-11,76,6.0,5.0
2021-09-10,80,8.0,4.0
2021-09-09,74,8.0,3.0
2021-09-08,70,6.0,9.0
2021-09-07,74,6.0,7.0
2021-09-06,72,5.0,4.0
2021-09-05,64,5.0,8.0
2021-09-04,67,5.0,7.0
2021-09-03,72,5.0,6.0
2021-09-02,78,6.0,3.0
2021-09-01,78,0.0,10.0
2021-08-31,73,0.0,5.0
2021-08-30,66,0.0,13.0
2021-08-29,63,0.0,7.0
2021-08-28,71,0.0,2.0
2021-08-27,65,8.0,4.0
2021-08-26,68,8.0,7.0
2021-08-25,70,8.0,5.0
2021-08-24,70,8.0,5.0
2021-08-23,71,10.0,11.0
2021-08-22,72,10.0,7.0
2021-08-21,63,10.0,4.0
2021-08-20,63,10.0,3.0
2021-08-19,60,8.0,8.0
2021-08-18,65,6.0,4.0
2021-08-17,69,6.0,6.0
2021-08-16,64,7.0,1.0
2021-08-15,62,6.0,13.0
2021-08-14,56,6.0,7.0
2021-08-13,62,6.0,6.0
2021-08-12,61,7.0,3.0
2021-08-11,59,6.0,6.0
2021-08-10,59,8.0,6.0
2021-08-09,55,8.0,9.0
2021-08-08,51,9.0,5.0
2021-08-07,52,8.0,8.0
2021-08-06,45,8.0,4.0
2021-08-05,39,7.0,5.0
2021-08-04,40,5.0,7.0
2021-08-03,47,5.0,3.0
2021-08-02,51,5.0,2.0
2021-08-01,50,6.0,2.0
2021-07-31,48,7.0,4.0
2021-07-30,47,7.0,1.0
2021-07-29,46,6.0,5.0
2021-07-28,47,4.0,3.0
2021-07-27,52,4.0,5.0
2021-07-26,49,4.0,0.0
2021-07-25,40,4.0,9.0
2021-07-24,31,2.0,5.0
2021-07-23,34,1.0,1.0
2021-07-22,34,1.0,4.0
2021-07-21,32,1.0,4.0
2021-07-20,24,1.0,3.0
2021-07-19,23,2.0,9.0
2021-07-18,23,2.0,3.0
2021-07-17,23,2.0,3.0
2021-07-16,16,1.0,1.0
2021-07-15,19,1.0,2.0
2021-07-14,19,1.0,0.0
2021-07-13,20,1.0,2.0
2021-07-12,19,2.0,2.0
2021-07-11,16,2.0,1.0
2021-07-10,13,2.0,3.0
2021-07-09,12,1.0,2.0
2021-07-08,12,1.0,3.0
2021-07-07,9,0.0,2.0
2021-07-06,9,0.0,2.0
2021-07-05,8,0.0,0.0
2021-07-04,7,0.0,1.0
2021-07-03,4,0.0,0.0
2021-07-02,4,0.0,2.0
2021-07-01,4,0.0,0.0
2021-06-30,5,0.0,0.0
2021-06-29,4,0.0,0.0
2021-06-28,5,0.0,0.0
2021-06-27,5,0.0,1.0
2021-06-26,5,0.0,0.0
2021-06-25,4,0.0,0.0
2021-06-24,4,0.0,0.0
2021-06-23,4,0.0,0.0
2021-06-22,4,0.0,0.0
2021-06-21,5,0.0,0.0
2021-06-20,5,0.0,0.0
2021-06-19,6,0.0,0.0
2021-06-18,7,0.0,0.0
2021-06-17,6,0.0,0.0
2021-06-16,5,0.0,1.0
2021-06-15,5,0.0,0.0
2021-06-14,5,0.0,0.0
2021-06-13,5,0.0,0.0
2021-06-12,5,0.0,0.0
2021-06-11,4,0.0,0.0
2021-06-10,4,0.0,1.0
2021-06-09,4,0.0,0.0
2021-06-08,4,0.0,0.0
2021-06-07,4,0.0,0.0
2021-06-06,4,0.0,0.0
2021-06-05,4,0.0,0.0
2021-06-04,4,0.0,0.0
2021-06-03,4,0.0,0.0
2021-06-02,5,0.0,0.0
2021-06-01,4,0.0,0.0
2021-05-31,5,0.0,1.0
2021-05-30,5,0.0,0.0
2021-05-29,4,0.0,1.0
2021-05-28,6,0.0,1.0
2021-05-27,6,0.0,0.0
2021-05-26,6,0.0,0.0
2021-05-25,5,0.0,0.0
2021-05-24,5,0.0,0.0
2021-05-23,5,0.0,0.0
2021-05-22,5,0.0,0.0
2021-05-21,6,0.0,0.0
2021-05-20,7,0.0,0.0
2021-05-19,8,0.0,0.0
2021-05-18,8,0.0,0.0
2021-05-17,8,0.0,0.0
2021-05-16,8,0.0,0.0
2021-05-15,8,0.0,0.0
2021-05-14,9,0.0,0.0
2021-05-13,10,0.0,0.0
2021-05-12,10,0.0,0.0
2021-05-11,11,0.0,0.0
2021-05-10,12,0.0,0.0
