date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-12-21,103.0,11.0,
2021-12-20,112.0,14.0,
2021-12-19,105.0,14.0,11.0
2021-12-18,100.0,14.0,8.0
2021-12-17,94.0,14.0,7.0
2021-12-16,94.0,13.0,15.0
2021-12-15,98.0,12.0,13.0
2021-12-14,106.0,12.0,6.0
2021-12-13,105.0,14.0,6.0
2021-12-12,100.0,13.0,12.0
2021-12-11,100.0,14.0,10.0
2021-12-10,109.0,12.0,10.0
2021-12-09,96.0,11.0,6.0
2021-12-08,105.0,10.0,10.0
2021-12-07,99.0,11.0,9.0
2021-12-06,98.0,14.0,12.0
2021-12-05,93.0,14.0,13.0
2021-12-04,87.0,12.0,18.0
2021-12-03,85.0,10.0,7.0
2021-12-02,84.0,10.0,10.0
2021-12-01,90.0,10.0,10.0
2021-11-30,83.0,10.0,8.0
2021-11-29,80.0,9.0,9.0
2021-11-28,77.0,10.0,14.0
2021-11-27,80.0,10.0,1.0
2021-11-26,82.0,9.0,7.0
2021-11-25,91.0,9.0,11.0
2021-11-24,89.0,11.0,7.0
2021-11-23,103.0,8.0,13.0
2021-11-22,98.0,7.0,5.0
2021-11-21,98.0,7.0,14.0
2021-11-20,96.0,6.0,8.0
2021-11-19,99.0,6.0,8.0
2021-11-18,103.0,4.0,10.0
2021-11-17,106.0,5.0,9.0
2021-11-16,107.0,6.0,8.0
2021-11-15,116.0,8.0,9.0
2021-11-14,106.0,9.0,8.0
2021-11-13,106.0,11.0,12.0
2021-11-12,113.0,13.0,10.0
2021-11-11,119.0,13.0,11.0
2021-11-10,121.0,12.0,5.0
2021-11-09,123.0,15.0,16.0
2021-11-08,129.0,16.0,9.0
2021-11-07,126.0,12.0,8.0
2021-11-06,117.0,14.0,11.0
2021-11-05,117.0,14.0,14.0
2021-11-04,114.0,12.0,9.0
2021-11-03,113.0,12.0,18.0
2021-11-02,121.0,12.0,10.0
2021-11-01,124.0,15.0,14.0
2021-10-31,116.0,15.0,12.0
2021-10-30,112.0,16.0,18.0
2021-10-29,109.0,16.0,10.0
2021-10-28,106.0,16.0,14.0
2021-10-27,113.0,16.0,14.0
2021-10-26,117.0,14.0,14.0
2021-10-25,117.0,13.0,12.0
2021-10-24,111.0,12.0,7.0
2021-10-23,109.0,13.0,14.0
2021-10-22,107.0,10.0,12.0
2021-10-21,109.0,9.0,21.0
2021-10-20,103.0,10.0,8.0
2021-10-19,104.0,9.0,16.0
2021-10-18,96.0,11.0,12.0
2021-10-17,101.0,12.0,12.0
2021-10-16,93.0,11.0,10.0
2021-10-15,89.0,10.0,11.0
2021-10-14,88.0,13.0,9.0
2021-10-13,94.0,12.0,7.0
2021-10-12,94.0,12.0,6.0
2021-10-11,89.0,13.0,11.0
2021-10-10,90.0,12.0,13.0
