date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-12-21,49.0,2.0,
2021-12-20,43.0,3.0,
2021-12-19,44.0,2.0,7.0
2021-12-18,50.0,3.0,2.0
2021-12-17,51.0,4.0,3.0
2021-12-16,54.0,6.0,5.0
2021-12-15,55.0,6.0,2.0
2021-12-14,57.0,7.0,7.0
2021-12-13,56.0,7.0,6.0
2021-12-12,53.0,6.0,4.0
2021-12-11,55.0,6.0,4.0
2021-12-10,57.0,3.0,4.0
2021-12-09,57.0,3.0,9.0
2021-12-08,52.0,3.0,4.0
2021-12-07,55.0,4.0,12.0
2021-12-06,50.0,4.0,2.0
2021-12-05,47.0,4.0,11.0
2021-12-04,50.0,5.0,4.0
2021-12-03,57.0,4.0,3.0
2021-12-02,58.0,4.0,1.0
2021-12-01,59.0,4.0,5.0
2021-11-30,58.0,5.0,7.0
2021-11-29,54.0,6.0,7.0
2021-11-28,52.0,5.0,8.0
2021-11-27,51.0,3.0,6.0
2021-11-26,54.0,5.0,5.0
2021-11-25,54.0,5.0,3.0
2021-11-24,58.0,6.0,8.0
2021-11-23,58.0,5.0,5.0
2021-11-22,55.0,4.0,7.0
2021-11-21,57.0,5.0,6.0
2021-11-20,52.0,5.0,4.0
2021-11-19,54.0,6.0,7.0
2021-11-18,51.0,6.0,4.0
2021-11-17,56.0,8.0,9.0
2021-11-16,56.0,7.0,1.0
2021-11-15,56.0,6.0,7.0
2021-11-14,56.0,5.0,4.0
2021-11-13,53.0,4.0,4.0
2021-11-12,60.0,6.0,7.0
2021-11-11,59.0,5.0,6.0
2021-11-10,61.0,6.0,6.0
2021-11-09,64.0,5.0,2.0
2021-11-08,66.0,4.0,4.0
2021-11-07,62.0,4.0,7.0
2021-11-06,60.0,4.0,7.0
2021-11-05,65.0,4.0,11.0
2021-11-04,64.0,4.0,1.0
2021-11-03,63.0,3.0,16.0
2021-11-02,61.0,1.0,9.0
2021-11-01,61.0,1.0,10.0
2021-10-31,58.0,1.0,6.0
2021-10-30,53.0,3.0,4.0
2021-10-29,48.0,3.0,9.0
2021-10-28,47.0,2.0,13.0
2021-10-27,50.0,1.0,8.0
2021-10-26,50.0,2.0,3.0
2021-10-25,52.0,2.0,11.0
2021-10-24,51.0,3.0,5.0
2021-10-23,46.0,4.0,6.0
2021-10-22,47.0,3.0,10.0
2021-10-21,42.0,3.0,7.0
2021-10-20,41.0,3.0,15.0
2021-10-19,40.0,3.0,6.0
2021-10-18,39.0,3.0,6.0
2021-10-17,34.0,3.0,4.0
2021-10-16,30.0,3.0,6.0
2021-10-15,33.0,4.0,5.0
2021-10-14,30.0,3.0,6.0
2021-10-13,32.0,3.0,4.0
2021-10-12,32.0,4.0,5.0
2021-10-11,29.0,3.0,3.0
2021-10-10,32.0,3.0,3.0
2021-10-09,32.0,3.0,2.0
2021-10-08,34.0,6.0,6.0
2021-10-07,38.0,5.0,3.0
2021-10-06,33.0,3.0,3.0
2021-10-05,36.0,3.0,6.0
2021-10-04,31.0,2.0,4.0
2021-10-03,27.0,2.0,9.0
2021-10-02,27.0,2.0,3.0
2021-10-01,34.0,2.0,1.0
2021-09-30,37.0,2.0,2.0
2021-09-29,39.0,2.0,4.0
2021-09-28,39.0,2.0,3.0
2021-09-27,34.0,2.0,6.0
2021-09-26,32.0,2.0,8.0
2021-09-25,35.0,2.0,3.0
2021-09-24,31.0,2.0,3.0
2021-09-23,35.0,2.0,7.0
2021-09-22,37.0,3.0,3.0
2021-09-21,38.0,2.0,3.0
2021-09-20,40.0,3.0,7.0
2021-09-19,37.0,3.0,3.0
2021-09-18,34.0,3.0,4.0
2021-09-17,34.0,3.0,4.0
2021-09-16,36.0,3.0,6.0
2021-09-15,41.0,3.0,2.0
2021-09-14,40.0,3.0,1.0
2021-09-13,36.0,3.0,7.0
2021-09-12,32.0,3.0,5.0
2021-09-11,29.0,4.0,9.0
2021-09-10,29.0,5.0,3.0
2021-09-09,33.0,5.0,2.0
2021-09-08,33.0,3.0,2.0
2021-09-07,39.0,3.0,2.0
2021-09-06,40.0,4.0,2.0
2021-09-05,36.0,4.0,4.0
2021-09-04,35.0,4.0,5.0
2021-09-03,36.0,3.0,2.0
2021-09-02,36.0,3.0,4.0
2021-09-01,36.0,3.0,2.0
2021-08-31,34.0,2.0,3.0
2021-08-30,35.0,2.0,3.0
2021-08-29,39.0,3.0,3.0
2021-08-28,41.0,2.0,1.0
2021-08-27,42.0,2.0,3.0
2021-08-26,41.0,2.0,5.0
2021-08-25,41.0,1.0,7.0
2021-08-24,40.0,1.0,6.0
2021-08-23,40.0,2.0,5.0
2021-08-22,39.0,4.0,6.0
2021-08-21,38.0,4.0,3.0
2021-08-20,40.0,4.0,9.0
2021-08-19,40.0,4.0,1.0
2021-08-18,41.0,5.0,4.0
2021-08-17,41.0,5.0,5.0
2021-08-16,39.0,4.0,6.0
2021-08-15,40.0,4.0,2.0
2021-08-14,41.0,5.0,4.0
2021-08-13,37.0,5.0,3.0
2021-08-12,38.0,5.0,10.0
2021-08-11,40.0,4.0,4.0
2021-08-10,39.0,4.0,2.0
2021-08-09,44.0,4.0,9.0
2021-08-08,39.0,4.0,4.0
2021-08-07,41.0,4.0,3.0
2021-08-06,39.0,5.0,4.0
2021-08-05,39.0,4.0,5.0
2021-08-04,38.0,4.0,8.0
2021-08-03,39.0,3.0,5.0
2021-08-02,39.0,4.0,7.0
2021-08-01,42.0,4.0,4.0
2021-07-31,43.0,3.0,0.0
2021-07-30,46.0,2.0,3.0
2021-07-29,48.0,2.0,5.0
2021-07-28,48.0,1.0,6.0
2021-07-27,44.0,1.0,5.0
2021-07-26,42.0,2.0,6.0
2021-07-25,43.0,2.0,3.0
2021-07-24,44.0,3.0,2.0
2021-07-23,41.0,2.0,4.0
2021-07-22,35.0,2.0,11.0
2021-07-21,32.0,2.0,10.0
2021-07-20,25.0,3.0,6.0
2021-07-19,17.0,2.0,10.0
2021-07-18,13.0,3.0,8.0
2021-07-17,16.0,3.0,3.0
2021-07-16,15.0,3.0,2.0
2021-07-15,16.0,3.0,3.0
2021-07-14,14.0,3.0,3.0
2021-07-13,13.0,3.0,3.0
2021-07-12,14.0,3.0,2.0
2021-07-11,15.0,3.0,2.0
2021-07-10,14.0,3.0,0.0
2021-07-09,11.0,2.0,4.0
2021-07-08,10.0,3.0,4.0
2021-07-07,10.0,1.0,1.0
2021-07-06,8.0,1.0,5.0
2021-07-05,7.0,1.0,1.0
2021-07-04,6.0,1.0,2.0
2021-07-03,7.0,1.0,1.0
2021-07-02,8.0,1.0,0.0
2021-07-01,8.0,2.0,0.0
2021-06-30,7.0,2.0,1.0
2021-06-29,6.0,2.0,2.0
2021-06-28,7.0,2.0,0.0
2021-06-27,7.0,3.0,0.0
2021-06-26,7.0,2.0,0.0
2021-06-25,6.0,2.0,1.0
2021-06-24,5.0,1.0,1.0
2021-06-23,4.0,0.0,2.0
2021-06-22,4.0,0.0,0.0
2021-06-21,5.0,0.0,0.0
2021-06-20,5.0,1.0,0.0
2021-06-19,4.0,0.0,0.0
2021-06-18,5.0,0.0,1.0
2021-06-17,6.0,0.0,1.0
2021-06-16,5.0,0.0,0.0
2021-06-15,6.0,1.0,1.0
2021-06-14,6.0,1.0,0.0
2021-06-13,7.0,1.0,0.0
2021-06-12,6.0,1.0,0.0
2021-06-11,5.0,1.0,1.0
2021-06-10,6.0,1.0,1.0
2021-06-09,5.0,1.0,0.0
2021-06-08,6.0,1.0,1.0
2021-06-07,6.0,1.0,0.0
2021-06-06,7.0,1.0,1.0
2021-06-05,7.0,1.0,0.0
2021-06-04,8.0,1.0,0.0
2021-06-03,8.0,1.0,0.0
2021-06-02,8.0,1.0,0.0
2021-06-01,9.0,1.0,1.0
2021-05-31,9.0,0.0,0.0
2021-05-30,7.0,0.0,0.0
2021-05-29,7.0,0.0,2.0
2021-05-28,6.0,0.0,0.0
2021-05-27,6.0,0.0,1.0
2021-05-26,5.0,0.0,0.0
2021-05-25,6.0,1.0,2.0
2021-05-24,6.0,1.0,0.0
2021-05-23,8.0,1.0,0.0
2021-05-22,7.0,0.0,0.0
2021-05-21,8.0,0.0,1.0
2021-05-20,7.0,0.0,1.0
2021-05-19,8.0,0.0,1.0
2021-05-18,8.0,0.0,1.0
2021-05-17,10.0,0.0,1.0
2021-05-16,10.0,0.0,0.0
2021-05-15,9.0,0.0,0.0
2021-05-14,8.0,0.0,1.0
2021-05-13,8.0,0.0,1.0
2021-05-12,10.0,0.0,0.0
2021-05-11,8.0,0.0,0.0
2021-05-10,8.0,0.0,2.0
2021-05-09,6.0,0.0,0.0
2021-05-08,6.0,0.0,2.0
2021-05-07,5.0,0.0,1.0
2021-05-06,6.0,1.0,0.0
2021-05-05,6.0,1.0,0.0
2021-05-04,5.0,0.0,1.0
2021-05-03,5.0,0.0,3.0
2021-05-02,7.0,0.0,0.0
2021-05-01,7.0,0.0,1.0
2021-04-30,9.0,1.0,0.0
2021-04-29,10.0,2.0,1.0
2021-04-28,12.0,2.0,1.0
2021-04-27,10.0,2.0,0.0
2021-04-26,11.0,2.0,3.0
2021-04-25,9.0,2.0,0.0
2021-04-24,9.0,2.0,1.0
2021-04-23,9.0,2.0,0.0
2021-04-22,9.0,2.0,0.0
2021-04-21,11.0,2.0,1.0
2021-04-20,11.0,2.0,0.0
2021-04-19,10.0,2.0,1.0
2021-04-18,9.0,2.0,1.0
2021-04-17,11.0,3.0,1.0
2021-04-16,11.0,2.0,0.0
2021-04-15,14.0,2.0,1.0
2021-04-14,15.0,2.0,0.0
2021-04-13,14.0,3.0,1.0
2021-04-12,19.0,3.0,1.0
2021-04-11,22.0,3.0,0.0
2021-04-10,24.0,2.0,1.0
2021-04-09,28.0,2.0,1.0
2021-04-08,27.0,3.0,1.0
