year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2011,E06000032,203641,190862,61509,72615,0.847056393307168,172495.410989465,female,0-4,8076,0.03965802564316616,0.033592584166983505,0.3222694931416416,0.012780571823021383
2011,E06000032,203641,190862,61509,72615,0.847056393307168,172495.410989465,male,0-4,8615,0.04230484038086633,0.03583458551245207,0.3222694931416416,0.013633559466979844
2011,E06000042,249895,190862,2427,88445,0.027440782407145682,6857.3143196336705,female,0-4,9812,0.03926449108625623,0.0010774483562252684,0.012715993754649957,0.0004992870234323431
2011,E06000042,249895,190862,2427,88445,0.027440782407145682,6857.3143196336705,male,0-4,10164,0.040673082694731785,0.0011161012120539774,0.012715993754649957,0.0005171986655285706
2011,E06000055,157840,190862,51851,61892,0.8377657855619466,132232.95159309765,female,0-4,5000,0.03167764825139382,0.026538449872083966,0.2716674875040605,0.008605787110493554
2011,E06000055,157840,190862,51851,61892,0.8377657855619466,132232.95159309765,male,0-4,5102,0.03232387227572225,0.027079834249474473,0.2716674875040605,0.008781345167547621
2011,E06000056,255644,190862,58007,95595,0.6067995188032846,155124.65618494689,female,0-4,7986,0.031238753892131245,0.018955660829759476,0.3039211576950886,0.009494118247848482
2011,E06000056,255644,190862,58007,95595,0.6067995188032846,155124.65618494689,male,0-4,8131,0.03180594889768584,0.019299834486197633,0.3039211576950886,0.009666500810575508
2011,E06000060,506550,190862,794,163754,0.004848736519413266,2456.12748390879,female,0-4,15662,0.03091896160300069,0.00014991789826680597,0.004160073770577695,0.00012862516117814204
2011,E06000060,506550,190862,794,163754,0.004848736519413266,2456.12748390879,male,0-4,16256,0.032091600039482776,0.00015560371307784434,0.004160073770577695,0.0001335034235801224
2011,E07000008,122725,190862,52,34511,0.0015067659586798412,184.9178522789835,female,0-4,3311,0.02697901812996537,4.0651066116838086e-05,0.0002724481562594964,7.350383747200591e-06
2011,E07000008,122725,190862,52,34511,0.0015067659586798412,184.9178522789835,male,0-4,3311,0.02697901812996537,4.0651066116838086e-05,0.0002724481562594964,7.350383747200591e-06
2011,E07000009,84245,190862,51,28844,0.001768132020524199,148.95628206906116,female,0-4,2684,0.03185945753457178,5.6331727023407324e-05,0.00026720876863912143,8.513126417323305e-06
2011,E07000009,84245,190862,51,28844,0.001768132020524199,148.95628206906116,male,0-4,2874,0.03411478426019348,6.031944242372304e-05,0.00026720876863912143,9.11576949455558e-06
2011,E07000010,95461,190862,20,40454,0.0004943886883868097,47.19483858209324,female,0-4,2537,0.026576298174123464,1.3139021196481665e-05,0.00010478775240749861,2.784870552977907e-06
2011,E07000010,95461,190862,20,40454,0.0004943886883868097,47.19483858209324,male,0-4,2687,0.028147620494233246,1.3915865177353659e-05,0.00010478775240749861,2.949525887209947e-06
2011,E07000011,170039,190862,524,60136,0.00871358254622855,1481.6488625781562,female,0-4,4973,0.02924623174683455,0.0002548394544921728,0.0027454391130764637,8.029374854785816e-05
2011,E07000011,170039,190862,524,60136,0.00871358254622855,1481.6488625781562,male,0-4,5152,0.030298931421615043,0.00026401224000476063,0.0027454391130764637,8.31838714093234e-05
2011,E07000012,149842,190862,239,49164,0.004861280611829794,728.4240094378,female,0-4,4529,0.030225170512940297,0.00014693303540380627,0.0012522136412696084,3.784837082600377e-05
2011,E07000012,149842,190862,239,49164,0.004861280611829794,728.4240094378,male,0-4,4894,0.03266106966004191,0.00015877462469998408,0.0012522136412696084,4.0898636966761414e-05
2011,E07000095,93702,190862,55,36221,0.0015184561442257254,142.2823776262389,female,0-4,3029,0.03232588418603658,4.908543745981646e-05,0.00028816631912062117,9.31523105820966e-06
2011,E07000095,93702,190862,55,36221,0.0015184561442257254,142.2823776262389,male,0-4,3101,0.03309427760346631,5.0252209165695234e-05,0.00028816631912062117,9.536656160946898e-06
2011,E07000096,145298,190862,3129,50813,0.06157872985259678,8947.266290122607,female,0-4,4737,0.0326019628625308,0.002007587463776177,0.01639404386415316,0.0005344780092258223
2011,E07000096,145298,190862,3129,50813,0.06157872985259678,8947.266290122607,male,0-4,5049,0.03474927390604138,0.0021398161504340126,0.01639404386415316,0.0005696811206631152
2011,E07000098,100379,190862,165,38943,0.004236961713273245,425.3019798166551,female,0-4,3252,0.03239721455682962,0.00013726575769398573,0.0008644989573618635,2.800735820580779e-05
2011,E07000098,100379,190862,165,38943,0.004236961713273245,425.3019798166551,male,0-4,3460,0.03446936112135008,0.0001460453633521496,0.0008644989573618635,2.9798726750336697e-05
2011,E07000099,127494,190862,1185,44003,0.026929982046678635,3433.4111310592457,female,0-4,3963,0.03108381570897454,0.0008370865989849517,0.006208674330144293,0.00019298928867524616
2011,E07000099,127494,190862,1185,44003,0.026929982046678635,3433.4111310592457,male,0-4,4142,0.032487803347608514,0.0008748959608871233,0.006208674330144293,0.0002017061906870728
2011,E07000102,87921,190862,317,32780,0.009670530811470408,850.2427394752898,female,0-4,2688,0.030572900672194356,0.00029565617794647986,0.001660885875658853,5.077809890436866e-05
2011,E07000102,87921,190862,317,32780,0.009670530811470408,850.2427394752898,male,0-4,2790,0.03173303306377316,0.00030687527398462754,0.001660885875658853,5.270494640743622e-05
2011,E07000103,90653,190862,402,32552,0.012349471614647334,1119.5166502826248,female,0-4,3350,0.03695409969885167,0.0004563636052758163,0.0021062338233907222,7.783397469867428e-05
2011,E07000103,90653,190862,402,32552,0.012349471614647334,1119.5166502826248,male,0-4,3486,0.038454325835879676,0.00047489060537059567,0.0021062338233907222,8.099380173121748e-05
2011,E07000152,86869,190862,720,31745,0.02268073712395653,1970.2529532209796,female,0-4,2532,0.02914733679448365,0.0006610830836991094,0.00377235908666995,0.00010995422080889977
2011,E07000152,86869,190862,720,31745,0.02268073712395653,1970.2529532209796,male,0-4,2676,0.030805005237771816,0.0006986802259000065,0.00377235908666995,0.00011620754142362392
2011,E07000153,93846,190862,33,35134,0.000939261114589856,88.14589855979962,female,0-4,3070,0.03271316838224325,3.072620699647143e-05,0.0001728997914723727,5.656099991690475e-06
2011,E07000153,93846,190862,33,35134,0.000939261114589856,88.14589855979962,male,0-4,3233,0.03445005647550242,3.235759844286389e-05,0.0001728997914723727,5.956407580825832e-06
2011,E07000154,212492,190862,64,79486,0.0008051732380545001,171.09287170067685,female,0-4,7783,0.03662726126160044,2.9491290551070978e-05,0.00033532080770399555,1.2281882830225126e-05
2011,E07000154,212492,190862,64,79486,0.0008051732380545001,171.09287170067685,male,0-4,8114,0.03818496696346215,3.074551349497493e-05,0.00033532080770399555,1.2804213964338515e-05
2011,E07000155,85446,190862,86,27411,0.0031374265805698444,268.0805516033709,female,0-4,2292,0.026823958991643845,8.415820193649888e-05,0.00045058733535224404,1.2086536205642668e-05
2011,E07000155,85446,190862,86,27411,0.0031374265805698444,268.0805516033709,male,0-4,2496,0.02921143178147602,9.164872252770558e-05,0.00045058733535224404,1.3162301208239134e-05
2011,E07000156,75637,190862,145,29752,0.004873621941382092,368.6261427803173,female,0-4,2487,0.032880732974602374,0.0001602482616737478,0.0007597112049543649,2.497986126791789e-05
2011,E07000156,75637,190862,145,29752,0.004873621941382092,368.6261427803173,male,0-4,2607,0.03446725808797282,0.00016798038527682368,0.0007597112049543649,2.618516217348691e-05
2011,E07000240,141248,190862,7990,47765,0.16727729509054748,23627.58337694965,female,0-4,5048,0.03573855913004078,0.005978249501706811,0.041862707086795695,0.0014961128325650251
2011,E07000240,141248,190862,7990,47765,0.16727729509054748,23627.58337694965,male,0-4,5294,0.037480176710466696,0.006269582579642602,0.041862707086795695,0.0015690216591916092
2011,E07000241,110727,190862,438,36606,0.011965251598098673,1324.8764137026717,female,0-4,3291,0.029721748083123358,0.00035562819374987793,0.0022948517777242198,6.820700642562706e-05
2011,E07000241,110727,190862,438,36606,0.011965251598098673,1324.8764137026717,male,0-4,3469,0.03132930540879821,0.0003748630216099442,0.0022948517777242198,7.189611221224559e-05
2011,E07000242,138155,190862,204,44545,0.004579638567740487,632.699966326187,female,0-4,4121,0.029828815460895372,0.00013660519371473017,0.0010688350745564857,3.188208419707776e-05
2011,E07000242,138155,190862,204,44545,0.004579638567740487,632.699966326187,male,0-4,4252,0.030777025804350187,0.0001409476543739463,0.0010688350745564857,3.2895564670219514e-05
2011,E07000243,84247,190862,419,29293,0.014303758577134468,1205.0487488478475,female,0-4,2852,0.03385283748976225,0.00048422281460452606,0.002195303412937096,7.431724967887993e-05
2011,E07000243,84247,190862,419,29293,0.014303758577134468,1205.0487488478475,male,0-4,3118,0.037010219948484815,0.0005293852510297729,0.002195303412937096,8.12486621664613e-05
2011,E09000015,240499,190862,18,85681,0.00021008158168088609,50.52441031267142,female,0-4,7894,0.03282342130320708,6.895596263555835e-06,9.430897716674875e-05,3.0955432902187314e-06
2011,E09000015,240499,190862,18,85681,0.00021008158168088609,50.52441031267142,male,0-4,8099,0.03367581569985738,7.074668626620054e-06,9.430897716674875e-05,3.1759317339094887e-06
2011,E09000017,275499,190862,18,107741,0.00016706731884797801,46.026879275299095,female,0-4,9683,0.03514713302044654,5.871937278919238e-06,9.430897716674875e-05,3.3146901655019738e-06
2011,E09000017,275499,190862,18,107741,0.00016706731884797801,46.026879275299095,male,0-4,10286,0.037335888696510694,6.23760682133257e-06,9.430897716674875e-05,3.5211094745795e-06
2011,E06000032,203641,190862,61509,72615,0.847056393307168,172495.410989465,female,5-9,6877,0.033770213267465786,0.02860527505155344,0.3222694931416416,0.010883109512991339
2011,E06000032,203641,190862,61509,72615,0.847056393307168,172495.410989465,male,5-9,7446,0.03656434607962051,0.030972063113838436,0.3222694931416416,0.011783573278134871
2011,E06000042,249895,190862,2427,88445,0.027440782407145682,6857.3143196336705,female,5-9,8111,0.03245763220552632,0.0008906628228030117,0.012715993754649957,0.000412731048416198
2011,E06000042,249895,190862,2427,88445,0.027440782407145682,6857.3143196336705,male,5-9,8600,0.0344144540707097,0.0009443595458150538,0.012715993754649957,0.0004376139830328323
2011,E06000055,157840,190862,51851,61892,0.8377657855619466,132232.95159309765,female,5-9,4585,0.02904840344652813,0.024335758532700997,0.2716674875040605,0.007891506780322589
2011,E06000055,157840,190862,51851,61892,0.8377657855619466,132232.95159309765,male,5-9,4844,0.03068930562595033,0.025710450236074944,0.2716674875040605,0.008337286552646156
2011,E06000056,255644,190862,58007,95595,0.6067995188032846,155124.65618494689,female,5-9,7403,0.028958238800832408,0.017571845369735713,0.3039211576950886,0.00880102146115982
2011,E06000056,255644,190862,58007,95595,0.6067995188032846,155124.65618494689,male,5-9,7598,0.029721018291061007,0.01803469959735944,0.3039211576950886,0.009032846286896165
2011,E06000060,506550,190862,794,163754,0.004848736519413266,2456.12748390879,female,5-9,15085,0.029779883525811863,0.00014439480879547748,0.004160073770577695,0.00012388651234658874
2011,E06000060,506550,190862,794,163754,0.004848736519413266,2456.12748390879,male,5-9,15945,0.03147764287829435,0.00015262679656903472,0.004160073770577695,0.00013094931649760408
2011,E07000008,122725,190862,52,34511,0.0015067659586798412,184.9178522789835,female,5-9,2469,0.020118150336117337,3.031334407806501e-05,0.0002724481562594964,5.481152966426536e-06
2011,E07000008,122725,190862,52,34511,0.0015067659586798412,184.9178522789835,male,5-9,2612,0.021283357099205542,3.2069037963509846e-05,0.0002724481562594964,5.798611400691013e-06
2011,E07000009,84245,190862,51,28844,0.001768132020524199,148.95628206906116,female,5-9,2406,0.028559558430767403,5.049706975347169e-05,0.00026720876863912143,7.631364441162397e-06
2011,E07000009,84245,190862,51,28844,0.001768132020524199,148.95628206906116,male,5-9,2668,0.03166953528399311,5.5995919410749155e-05,0.00026720876863912143,8.462377526609009e-06
2011,E07000010,95461,190862,20,40454,0.0004943886883868097,47.19483858209324,female,5-9,2343,0.02454405464011481,1.2134302981220553e-05,0.00010478775240749861,2.571916320704468e-06
2011,E07000010,95461,190862,20,40454,0.0004943886883868097,47.19483858209324,male,5-9,2538,0.02658677365625753,1.3144200156354144e-05,0.00010478775240749861,2.78596825520612e-06
2011,E07000011,170039,190862,524,60136,0.00871358254622855,1481.6488625781562,female,5-9,4603,0.027070260352036885,0.0002358789481253713,0.0027454391130764637,7.43197515716451e-05
2011,E07000011,170039,190862,524,60136,0.00871358254622855,1481.6488625781562,male,5-9,5085,0.029904904169043574,0.00026057885101401547,0.0027454391130764637,8.210209357849563e-05
2011,E07000012,149842,190862,239,49164,0.004861280611829794,728.4240094378,female,5-9,4417,0.02947771652807624,0.0001432994518389517,0.0012522136412696084,3.691239874993567e-05
2011,E07000012,149842,190862,239,49164,0.004861280611829794,728.4240094378,male,5-9,4711,0.03143978323834439,0.00015283760869669492,0.0012522136412696084,3.936932544961443e-05
2011,E07000095,93702,190862,55,36221,0.0015184561442257254,142.2823776262389,female,5-9,2706,0.028878785938400462,4.385116994594366e-05,0.00028816631912062117,8.321893444541215e-06
2011,E07000095,93702,190862,55,36221,0.0015184561442257254,142.2823776262389,male,5-9,2887,0.030810441612772407,4.678430437322223e-05,0.00028816631912062117,8.87853155003344e-06
2011,E07000096,145298,190862,3129,50813,0.06157872985259678,8947.266290122607,female,5-9,4092,0.028162810224504124,0.00173423008270469,0.01639404386415316,0.00046170234615834166
2011,E07000096,145298,190862,3129,50813,0.06157872985259678,8947.266290122607,male,5-9,4320,0.029731999063992622,0.001830858738339262,0.01639404386415316,0.0004874276968240557
2011,E07000098,100379,190862,165,38943,0.004236961713273245,425.3019798166551,female,5-9,2966,0.029548013030613975,0.00012519379991401036,0.0008644989573618635,2.5544226457080537e-05
2011,E07000098,100379,190862,165,38943,0.004236961713273245,425.3019798166551,male,5-9,3089,0.030773368931748674,0.00013038558595225152,0.0008644989573618635,2.6603545356008693e-05
2011,E07000099,127494,190862,1185,44003,0.026929982046678635,3433.4111310592457,female,5-9,3629,0.0284640845843726,0.0007665372868322962,0.006208674330144293,0.00017672423129005006
2011,E07000099,127494,190862,1185,44003,0.026929982046678635,3433.4111310592457,male,5-9,3815,0.029922976767534158,0.0008058252271328768,0.006208674330144293,0.0001857820177380934
2011,E07000102,87921,190862,317,32780,0.009670530811470408,850.2427394752898,female,5-9,2562,0.029139795953185246,0.0002817972946052386,0.001660885875658853,4.8397875518226376e-05
2011,E07000102,87921,190862,317,32780,0.009670530811470408,850.2427394752898,male,5-9,2681,0.03049328374336052,0.0002948862399830776,0.001660885875658853,5.06458642718052e-05
2011,E07000103,90653,190862,402,32552,0.012349471614647334,1119.5166502826248,female,5-9,2648,0.029210285373898272,0.0003607315900807049,0.0021062338233907222,6.152369104539985e-05
2011,E07000103,90653,190862,402,32552,0.012349471614647334,1119.5166502826248,male,5-9,2834,0.03126206523777481,0.0003860699872691532,0.0021062338233907222,6.584521919284864e-05
2011,E07000152,86869,190862,720,31745,0.02268073712395653,1970.2529532209796,female,5-9,2504,0.028825012374955394,0.0006537725282711571,0.00377235908666995,0.00010873829735603674
2011,E07000152,86869,190862,720,31745,0.02268073712395653,1970.2529532209796,male,5-9,2660,0.030620819855184243,0.0006945027656554625,0.00377235908666995,0.00011551272802198791
2011,E07000153,93846,190862,33,35134,0.000939261114589856,88.14589855979962,female,5-9,2852,0.030390213754448777,2.854434604362753e-05,0.0001728997914723727,5.2544616209450266e-06
2011,E07000153,93846,190862,33,35134,0.000939261114589856,88.14589855979962,male,5-9,2891,0.030805788206210175,2.893467896638401e-05,0.0001728997914723727,5.326314356995818e-06
2011,E07000154,212492,190862,64,79486,0.0008051732380545001,171.09287170067685,female,5-9,6458,0.03039173239463133,2.4470609582271153e-05,0.00033532080770399555,1.0190980254091464e-05
2011,E07000154,212492,190862,64,79486,0.0008051732380545001,171.09287170067685,male,5-9,6262,0.029469344728272125,2.372792771820718e-05,0.00033532080770399555,9.881684476791692e-06
2011,E07000155,85446,190862,86,27411,0.0031374265805698444,268.0805516033709,female,5-9,2561,0.029972146150785292,9.403540801019792e-05,0.00045058733535224404,1.3505069468870362e-05
2011,E07000155,85446,190862,86,27411,0.0031374265805698444,268.0805516033709,male,5-9,2631,0.03079137701004143,9.660568468365121e-05,0.00045058733535224404,1.3874204518780915e-05
2011,E07000156,75637,190862,145,29752,0.004873621941382092,368.6261427803173,female,5-9,2193,0.028993746446844798,0.00014130455884621187,0.0007597112049543649,2.20268740492738e-05
