year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E06000014,197783,407187,8,66439,0.00012041120426255663,23.815289212661238,female,0-4,5247,0.026529074794092517,3.1943978439281166e-06,1.964699265939237e-05,5.212165377400068e-07
2011,E06000014,197783,407187,8,66439,0.00012041120426255663,23.815289212661238,male,0-4,5394,0.027272313596214032,3.2838921231462283e-06,1.964699265939237e-05,5.358189450294638e-07
2011,E06000015,248943,407187,8,91373,8.755321593906296e-05,21.79576023551815,female,0-4,8681,0.034871436433239734,3.0531064041447456e-06,1.964699265939237e-05,6.851188556263287e-07
2011,E06000015,248943,407187,8,91373,8.755321593906296e-05,21.79576023551815,male,0-4,9127,0.03666301121140181,3.209964537568149e-06,1.964699265939237e-05,7.203179121416315e-07
2011,E06000016,329627,407187,17,106641,0.00015941335883947074,52.54694723417822,female,0-4,12013,0.0364442233190849,5.809696049591088e-06,4.174985940120878e-05,1.5215411995580492e-06
2011,E06000016,329627,407187,17,106641,0.00015941335883947074,52.54694723417822,male,0-4,12347,0.03745748982941324,5.971224267402079e-06,4.174985940120878e-05,1.563844933900211e-06
2011,E06000018,303899,407187,17,93429,0.0001819563518821779,55.29635338064198,female,0-4,9725,0.032000763411528174,5.822742167806344e-06,4.174985940120878e-05,1.3360273731626476e-06
2011,E06000018,303899,407187,17,93429,0.0001819563518821779,55.29635338064198,male,0-4,10357,0.03408040171241103,6.20114556626944e-06,4.174985940120878e-05,1.4228519798298756e-06
2011,E06000019,183619,407187,2861,62486,0.04578625612137119,8407.226562750056,female,0-4,4621,0.0251662409663488,0.00115226795449739,0.0070262557498151955,0.00017682444529104298
2011,E06000019,183619,407187,2861,62486,0.04578625612137119,8407.226562750056,male,0-4,4936,0.02688174970999733,0.0012308146772125334,0.0070262557498151955,0.00018887804846496172
2011,E06000020,166831,407187,757,60623,0.012487009880738333,2083.220345413457,female,0-4,5596,0.03354292667429914,0.00041885085681085476,0.001859096680395003,6.235954363092252e-05
2011,E06000020,166831,407187,757,60623,0.012487009880738333,2083.220345413457,male,0-4,5830,0.034945543693917794,0.00043636534939372465,0.001859096680395003,6.49671442759611e-05
2011,E06000021,248719,407187,304,96956,0.0031354428813069844,779.8442179957918,female,0-4,8505,0.03419521628826105,0.00010721714748578075,0.00074658572105691,2.5529660209268368e-05
2011,E06000021,248719,407187,304,96956,0.0031354428813069844,779.8442179957918,male,0-4,8663,0.03483047133512116,0.00010920895340027262,0.00074658572105691,2.6003932556483466e-05
2011,E06000026,256589,407187,24,91998,0.00026087523641818303,66.93771603730517,female,0-4,7528,0.02933874795879792,7.653752809964893e-06,5.89409779781771e-05,1.7292544973467966e-06
2011,E06000026,256589,407187,24,91998,0.00026087523641818303,66.93771603730517,male,0-4,7848,0.030585878584039067,7.979098306669033e-06,5.89409779781771e-05,1.8027615960650453e-06
2011,E06000031,184457,407187,8,67931,0.00011776655724190722,21.722865849170482,female,0-4,6833,0.03704386388155505,4.362528316268572e-06,1.964699265939237e-05,7.278005217564422e-07
2011,E06000031,184457,407187,8,67931,0.00011776655724190722,21.722865849170482,male,0-4,7211,0.039093121974227055,4.6038623867426715e-06,1.964699265939237e-05,7.680622804603695e-07
2011,E06000044,205433,407187,60,68264,0.0008789405836165475,180.5634009140982,female,0-4,6630,0.032273295916430175,2.8366309548016677e-05,0.00014735244494544275,4.75554905973376e-06
2011,E06000044,205433,407187,60,68264,0.0008789405836165475,180.5634009140982,male,0-4,6958,0.033869923527378755,2.9769650352202114e-05,0.00014735244494544275,4.990816041874434e-06
2011,E06000050,329526,407187,26,136341,0.0001906983225882163,62.84005544920457,female,0-4,8817,0.026756614045629176,5.102441416641792e-06,6.38527261430252e-05,1.7084827491701812e-06
2011,E06000050,329526,407187,26,136341,0.0001906983225882163,62.84005544920457,male,0-4,9297,0.028213251761621237,5.380219785700209e-06,6.38527261430252e-05,1.801493038339024e-06
2011,E06000051,307108,407187,1619,112425,0.014400711585501446,4422.5737336001785,female,0-4,7671,0.02497818357060057,0.00035970361752992954,0.003976060139444531,9.93147600507932e-05
2011,E06000051,307108,407187,1619,112425,0.014400711585501446,4422.5737336001785,male,0-4,8061,0.026248095132656916,0.0003779912476741966,0.003976060139444531,0.00010436400479330516
2011,E06000054,474319,407187,230,159574,0.0014413375612568463,683.6537907177861,female,0-4,14036,0.02959189912274229,4.265191571453198e-05,0.0005648510389575306,1.671501496420742e-05
2011,E06000054,474319,407187,230,159574,0.0014413375612568463,683.6537907177861,male,0-4,14478,0.030523761434814965,4.399504386684198e-05,0.0005648510389575306,1.7241378359347037e-05
2011,E06000058,379441,407187,9,170379,5.282341133590407e-05,20.043368020706776,female,0-4,10221,0.0269369941571944,1.4229039225183242e-06,2.2102866741816414e-05,5.953847922815552e-07
2011,E06000058,379441,407187,9,170379,5.282341133590407e-05,20.043368020706776,male,0-4,10754,0.02834169212077767,1.4971048608513904e-06,2.2102866741816414e-05,6.264326441831371e-07
2011,E06000060,506550,407187,29,163754,0.00017709491065867093,89.70742699414976,female,0-4,15662,0.03091896160300069,5.475590742742284e-06,7.122034839029734e-05,2.2020592172319352e-06
2011,E06000060,506550,407187,29,163754,0.00017709491065867093,89.70742699414976,male,0-4,16256,0.032091600039482776,5.683259041886003e-06,7.122034839029734e-05,2.285574935214043e-06
2011,E07000035,71104,407187,12,26106,0.0004596644449551827,32.683980694093314,female,0-4,1498,0.021067731773177317,9.684087231982218e-06,2.947048898908855e-05,6.208763572464931e-07
