year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2011,E06000001,92088,190885,177,42728,0.004142482681145853,381.4729451413593,female,0-4,2811,0.03052514985665885,0.0001264499046205911,0.0009272598685072164,2.830474644224856e-05
2011,E06000001,92088,190885,177,42728,0.004142482681145853,381.4729451413593,male,0-4,2954,0.03207801233602641,0.00013288261054757243,0.0009272598685072164,2.9744653500676714e-05
2011,E06000002,138368,190885,339,58636,0.005781431202674125,799.9650726516134,female,0-4,4707,0.034017981036077706,0.00019667261701395632,0.0017759383922256857,6.0413838547975705e-05
2011,E06000002,138368,190885,339,58636,0.005781431202674125,799.9650726516134,male,0-4,4772,0.034487742830712306,0.00019938851251128097,0.0017759383922256857,6.124810655426813e-05
2011,E06000003,135164,190885,248,53255,0.00465683973335837,629.4370857196507,female,0-4,3660,0.027078216093042527,0.00012609891261054448,0.001299211567173953,3.5180331566516734e-05
2011,E06000003,135164,190885,248,53255,0.00465683973335837,629.4370857196507,male,0-4,3944,0.029179367287147467,0.00013588363697704576,0.001299211567173953,3.791017150227924e-05
2011,E06000004,191824,190885,985,83384,0.011812817806773481,2265.981962966516,female,0-4,6101,0.03180519643006089,0.0003757089907369516,0.005160174974461063,0.00016412037867621855
2011,E06000004,191824,190885,985,83384,0.011812817806773481,2265.981962966516,male,0-4,6240,0.032529819000750686,0.00038426882514318604,0.005160174974461063,0.00016785955793142168
2011,E06000005,105584,190885,36050,43078,0.8368540786480339,88358.40103997401,female,0-4,3247,0.03075276557054099,0.025735577297414058,0.18885716530895566,0.00580788013106322
2011,E06000005,105584,190885,36050,43078,0.8368540786480339,88358.40103997401,male,0-4,3318,0.031425215941809366,0.026298320133298383,0.18885716530895566,0.0059348772019919204
2011,E06000047,512994,190885,136536,231893,0.5887887948320993,302045.119016098,female,0-4,14048,0.027384335879172075,0.01612359011957514,0.7152788328050921,0.019587435804796806
2011,E06000047,512994,190885,136536,231893,0.5887887948320993,302045.119016098,male,0-4,14613,0.028485713283196296,0.016772068793945872,0.7152788328050921,0.020375227748825154
2011,E06000057,316278,190885,254,149499,0.001699008020120536,537.3588585876829,female,0-4,7683,0.024291920399142526,4.127216758227281e-05,0.0013306441050894519,3.2323900680421205e-05
2011,E06000057,316278,190885,254,149499,0.001699008020120536,537.3588585876829,male,0-4,8255,0.026100455928012696,4.4344883950496155e-05,0.0013306441050894519,3.473041782075713e-05
2011,E07000030,52502,190885,49,19821,0.002472125523434741,129.79153423137075,female,0-4,1139,0.021694411641461277,5.3631308734756194e-05,0.0002566990596432407,5.568935067876484e-06
2011,E07000030,52502,190885,49,19821,0.002472125523434741,129.79153423137075,male,0-4,1246,0.023732429240790828,5.866954405926797e-05,0.0002566990596432407,6.0920922691607545e-06
2011,E07000164,89602,190885,670,34953,0.01916859783137356,1717.5447028867336,female,0-4,2147,0.023961518716100087,0.00045930871569785305,0.0035099667338973728,8.410413358717059e-05
2011,E07000164,89602,190885,670,34953,0.01916859783137356,1717.5447028867336,male,0-4,2228,0.02486551639472333,0.00047663708363987733,0.0035099667338973728,8.727713536665862e-05
2011,E07000165,158683,190885,25,60099,0.00041598029917303117,66.0090018136741,female,0-4,4239,0.02671363662144023,1.1112346553786349e-05,0.00013096890798124525,3.4986558165178292e-06
2011,E07000165,158683,190885,25,60099,0.00041598029917303117,66.0090018136741,male,0-4,4477,0.028213482225569218,1.173625277690528e-05,0.00013096890798124525,3.6950889574310733e-06
2011,E07000166,53287,190885,3220,20252,0.15899664230693264,8472.45407860952,female,0-4,1396,0.026197759303394824,0.0041653557652049835,0.01686879534798439,0.0004419246402647214
2011,E07000166,53287,190885,3220,20252,0.15899664230693264,8472.45407860952,male,0-4,1500,0.028149454838891287,0.004475668802154352,0.01686879534798439,0.000474847392834586
2011,E08000021,279092,190885,180,109985,0.0016365868072919035,456.7582852207119,female,0-4,7997,0.028653633927163802,4.689415926616797e-05,0.0009429761374649658,2.701969304497202e-05
2011,E08000021,279092,190885,180,109985,0.0016365868072919035,456.7582852207119,male,0-4,8520,0.030527567970418355,4.996101499909355e-05,0.0009429761374649658,2.8786768130944307e-05
2011,E08000022,201206,190885,41,102765,0.00039896852041064565,80.27486011774437,female,0-4,5583,0.02774768148067155,1.1070451425169402e-05,0.00021478900908924222,5.95989700975736e-06
2011,E08000022,201206,190885,41,102765,0.00039896852041064565,80.27486011774437,male,0-4,6135,0.03049113843523553,1.2165004387142088e-05,0.00021478900908924222,6.549161410507147e-06
2011,E08000023,148164,190885,2813,78060,0.036036382270048684,5339.294542659493,female,0-4,4013,0.02708485192084447,0.0009760400775472137,0.014736621526049716,0.00039913921184658564
2011,E08000023,148164,190885,2813,78060,0.036036382270048684,5339.294542659493,male,0-4,4154,0.02803650009448989,0.0010103340349192937,0.014736621526049716,0.0004131632908075546
2011,E08000024,275330,190885,6945,127011,0.054680303280818195,15055.127902307673,female,0-4,7424,0.026964006828169833,0.0014744000710303791,0.03638316263718993,0.000981035845779603
2011,E08000024,275330,190885,6945,127011,0.054680303280818195,15055.127902307673,male,0-4,7956,0.0288962336105764,0.0015800548174996897,0.03638316263718993,0.001051336367055835
2011,E08000037,200349,190885,2353,93722,0.025106165041292334,5029.995059857878,female,0-4,5806,0.028979430893091556,0.0007275623748046823,0.012326793619194804,0.00035722346382085774
2011,E08000037,200349,190885,2353,93722,0.025106165041292334,5029.995059857878,male,0-4,6052,0.030207288281948002,0.0007583891650564825,0.012326793619194804,0.0003723590084470946
2011,E06000001,92088,190885,177,42728,0.004142482681145853,381.4729451413593,female,5-9,2549,0.02768004517418122,0.00011466410774738053,0.0009272598685072164,2.5666595048485086e-05
2011,E06000001,92088,190885,177,42728,0.004142482681145853,381.4729451413593,male,5-9,2619,0.028440187646598905,0.00011781298477457419,0.0009272598685072164,2.637144465750586e-05
2011,E06000002,138368,190885,339,58636,0.005781431202674125,799.9650726516134,female,5-9,4119,0.029768443570767807,0.00017210420851508095,0.0017759383922256857,5.2866921814130424e-05
2011,E06000002,138368,190885,339,58636,0.005781431202674125,799.9650726516134,male,5-9,4247,0.03069351295097132,0.00017745243349442797,0.0017759383922256857,5.450978804190627e-05
2011,E06000003,135164,190885,248,53255,0.00465683973335837,629.4370857196507,female,5-9,3389,0.02507324435500577,0.00011676208055659432,0.001299211567173953,3.2575449092602514e-05
2011,E06000003,135164,190885,248,53255,0.00465683973335837,629.4370857196507,male,5-9,3731,0.02760350389156876,0.00012854509370216979,0.001299211567173953,3.586279155045736e-05
2011,E06000004,191824,190885,985,83384,0.011812817806773481,2265.981962966516,female,5-9,5377,0.028030903328050714,0.0003311239539735435,0.005160174974461063,0.00014464436586494463
2011,E06000004,191824,190885,985,83384,0.011812817806773481,2265.981962966516,male,5-9,5736,0.029902410542997748,0.00035323172772777487,0.005160174974461063,0.00015430167056003762
2011,E06000005,105584,190885,36050,43078,0.8368540786480339,88358.40103997401,female,5-9,2916,0.02761782088195181,0.023112086048432214,0.18885716530895566,0.0052158233637759005
2011,E06000005,105584,190885,36050,43078,0.8368540786480339,88358.40103997401,male,5-9,3230,0.03059175632671617,0.02560083605501922,0.18885716530895566,0.0057774723816859256
2011,E06000047,512994,190885,136536,231893,0.5887887948320993,302045.119016098,female,5-9,12703,0.024762472855433006,0.014579866549612974,0.7152788328050921,0.017712072681401896
2011,E06000047,512994,190885,136536,231893,0.5887887948320993,302045.119016098,male,5-9,13217,0.02576443389201433,0.015169809980810411,0.7152788328050921,0.018428754202163965
2011,E06000057,316278,190885,254,149499,0.001699008020120536,537.3588585876829,female,5-9,7891,0.024949569682368042,4.2389518988899474e-05,0.0013306441050894519,3.3198997822361544e-05
2011,E06000057,316278,190885,254,149499,0.001699008020120536,537.3588585876829,male,5-9,8448,0.026710678580236374,4.538165713068341e-05,0.0013306441050894519,3.554240699573062e-05
2011,E07000030,52502,190885,49,19821,0.002472125523434741,129.79153423137075,female,5-9,1242,0.023656241666984115,5.848119881349183e-05,0.0002566990596432407,6.072534990608071e-06
2011,E07000030,52502,190885,49,19821,0.002472125523434741,129.79153423137075,male,5-9,1338,0.025484743438345205,6.300148471211921e-05,0.0002566990596432407,6.541909675872462e-06
2011,E07000164,89602,190885,670,34953,0.01916859783137356,1717.5447028867336,female,5-9,2240,0.02499944197674159,0.000479204249260918,0.0035099667338973728,8.774720970436056e-05
2011,E07000164,89602,190885,670,34953,0.01916859783137356,1717.5447028867336,male,5-9,2283,0.025479341978973682,0.0004884032594029802,0.0035099667338973728,8.943164274779248e-05
2011,E07000165,158683,190885,25,60099,0.00041598029917303117,66.0090018136741,female,5-9,4324,0.02724929576577201,1.1335170204900252e-05,0.00013096890798124525,3.5688105097011306e-06
2011,E07000165,158683,190885,25,60099,0.00041598029917303117,66.0090018136741,male,5-9,4410,0.02779125678239005,1.1560615310733144e-05,0.00013096890798124525,3.6397905522160005e-06
2011,E07000166,53287,190885,3220,20252,0.15899664230693264,8472.45407860952,female,5-9,1308,0.024546324619513202,0.003902783195478595,0.01686879534798439,0.000414066926551759
2011,E07000166,53287,190885,3220,20252,0.15899664230693264,8472.45407860952,male,5-9,1490,0.02796179180663201,0.0044458310101399895,0.01686879534798439,0.0004716817435490221
2011,E08000021,279092,190885,180,109985,0.0016365868072919035,456.7582852207119,female,5-9,6861,0.024583291531108022,4.023269059962217e-05,0.0009429761374649658,2.318145729417945e-05
2011,E08000021,279092,190885,180,109985,0.0016365868072919035,456.7582852207119,male,5-9,7215,0.025851690481991603,4.230853558902113e-05,0.0009429761374649658,2.4377527237648262e-05
