year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000032,205498,362663,67,74717,0.0008967169452734987,184.27353881981344,female,0-4,8297,0.040375088808650206,3.620502630163904e-05,0.0001847445148802056,7.4590761951993e-06
2012,E06000032,205498,362663,67,74717,0.0008967169452734987,184.27353881981344,male,0-4,8679,0.0422339876787122,3.787193241797338e-05,0.0001847445148802056,7.802497565160264e-06
2012,E06000033,175091,362663,60289,65002,0.9274945386295806,162395.9462631919,female,0-4,5540,0.03164068969849964,0.02934656689383165,0.16623973220317484,0.005259939782202333
2012,E06000033,175091,362663,60289,65002,0.9274945386295806,162395.9462631919,male,0-4,5842,0.033365507079175974,0.030946325594542325,0.16623973220317484,0.005546672961665348
2012,E06000034,159837,362663,45669,54562,0.8370111066309887,133785.34425057733,female,0-4,6016,0.037638344063014195,0.03150371201594141,0.12592682462782254,0.004739677152104834
2012,E06000034,159837,362663,45669,54562,0.8370111066309887,133785.34425057733,male,0-4,6227,0.038958438909639195,0.03260864606437287,0.12592682462782254,0.004905912504347873
2012,E07000010,95975,362663,12,40858,0.0002937001321650595,28.187870184541584,female,0-4,2636,0.027465485803594685,8.066616810493324e-06,3.308856982929056e-05,9.087936449076312e-07
2012,E07000010,95975,362663,12,40858,0.0002937001321650595,28.187870184541584,male,0-4,2735,0.02849700442823652,8.369573966881351e-06,3.308856982929056e-05,9.429251209493062e-07
2012,E07000012,150906,362663,8,48133,0.00016620613716161468,25.081503334510625,female,0-4,4537,0.03006507362198985,4.996999750190488e-06,2.205904655286037e-05,6.632068586426484e-07
2012,E07000012,150906,362663,8,48133,0.00016620613716161468,25.081503334510625,male,0-4,4885,0.03237114495116165,5.380282957831283e-06,2.205904655286037e-05,7.140765934470657e-07
2012,E07000066,176538,362663,57166,63209,0.9043965258111978,159660.35387365724,female,0-4,5662,0.03207241500413509,0.029006180704114707,0.15762843190510198,0.005055524484511479
2012,E07000066,176538,362663,57166,63209,0.9043965258111978,159660.35387365724,male,0-4,6101,0.034559131745006744,0.031255158685235575,0.15762843190510198,0.005447501744967244
2012,E07000067,148375,362663,30238,47302,0.6392541541583865,94849.3351232506,female,0-4,4538,0.030584667228306654,0.019551375579246893,0.08337768120817397,0.0025500786340198383
2012,E07000067,148375,362663,30238,47302,0.6392541541583865,94849.3351232506,male,0-4,4861,0.03276158382476833,0.020942978556791354,0.08337768120817397,0.0027315848920164026
2012,E07000068,74142,362663,13727,25133,0.5461743524449927,40494.45883897665,female,0-4,1938,0.026139030509023227,0.014276468061805669,0.03785056650388929,0.0009893771126289748
