year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000011,335901,199482,425,135862,0.0031281741767381606,1050.756834140525,female,0-4,8035,0.023920738550942094,7.482823662356206e-05,0.0021305180417280755,5.096356505424244e-05
2012,E06000011,335901,199482,425,135862,0.0031281741767381606,1050.756834140525,male,0-4,8582,0.02554919455434786,7.992233064137021e-05,0.0021305180417280755,5.443301994965881e-05
2012,E06000013,168351,199482,24,64293,0.0003732910270169381,62.84391768932855,female,0-4,5008,0.029747373047977144,1.1104427436135373e-05,0.00012031160706229134,3.578954257283622e-06
2012,E06000013,168351,199482,24,64293,0.0003732910270169381,62.84391768932855,male,0-4,5194,0.030852207590094504,1.151685225704615e-05,0.00012031160706229134,3.7118786765836922e-06
2012,E06000014,199567,199482,74,66751,0.0011085976240056328,221.2395020299321,female,0-4,5240,0.02625684607174533,2.9108277169018504e-05,0.00037096078844206493,9.740260320776582e-06
2012,E06000014,199567,199482,74,66751,0.0011085976240056328,221.2395020299321,male,0-4,5447,0.027294091708549007,3.025816521748927e-05,0.00037096078844206493,1.0125037780013366e-05
2012,E07000142,90074,199482,9,35487,0.000253613999492772,22.844027390311943,female,0-4,2178,0.024180118569176456,6.132416578538284e-06,4.511685264835925e-05,1.0909308465053895e-06
2012,E07000142,90074,199482,9,35487,0.000253613999492772,22.844027390311943,male,0-4,2355,0.02614516952727757,6.630781011229412e-06,4.511685264835925e-05,1.1795877610285548e-06
2012,E07000165,159396,199482,42,60710,0.0006918135397792786,110.27231098665789,female,0-4,4220,0.0264749429094833,1.8315723969663953e-05,0.00021054531235900983,5.574175124564114e-06
2012,E07000165,159396,199482,42,60710,0.0006918135397792786,110.27231098665789,male,0-4,4520,0.0283570478556551,1.9617789654711156e-05,0.00021054531235900983,5.970443498348293e-06
2012,E07000167,52157,199482,9,19469,0.0004622733576454877,24.1107915147157,female,0-4,1142,0.02189543110224898,1.0121674452732077e-05,4.511685264835925e-05,9.878529387124693e-07
2012,E07000167,52157,199482,9,19469,0.0004622733576454877,24.1107915147157,male,0-4,1280,0.024541288801119696,1.1344783975041207e-05,4.511685264835925e-05,1.1072257106409465e-06
2012,E07000168,108662,199482,21,49380,0.000425273390036452,46.21105710814095,female,0-4,2646,0.02435073898879093,1.0355721319655925e-05,0.00010527265617950492,2.563466973283853e-06
2012,E07000168,108662,199482,21,49380,0.000425273390036452,46.21105710814095,male,0-4,2688,0.024737258655279676,1.0520097848539353e-05,0.00010527265617950492,2.6041569252407394e-06
2012,E07000169,84199,199482,3793,30979,0.12243778043190548,10309.138674586009,female,0-4,2349,0.027898193565244242,0.0034157928981881727,0.019014246899469626,0.0005304631404987488
2012,E07000169,84199,199482,3793,30979,0.12243778043190548,10309.138674586009,male,0-4,2470,0.02933526526443307,0.0035917447673583596,0.019014246899469626,0.0005577879765993655
2012,E08000016,233762,199482,1211,112864,0.010729727814006237,2508.202633257726,female,0-4,6977,0.029846596110574,0.00032024585244103625,0.006070723173018117,0.000181190422644174
2012,E08000016,233762,199482,1211,112864,0.010729727814006237,2508.202633257726,male,0-4,7404,0.03167324030424107,0.00033984524745211877,0.006070723173018117,0.00019227947387952767
2012,E08000017,302920,199482,269,124019,0.0021690224884896667,657.0402922132898,female,0-4,9468,0.031255777102865444,6.779448343133555e-05,0.001348492595823182,4.21481839999138e-05
2012,E08000017,302920,199482,269,124019,0.0021690224884896667,657.0402922132898,male,0-4,9815,0.03240129407104186,7.02791354962567e-05,0.001348492595823182,4.369290514988951e-05
2012,E08000018,258424,199482,16,118391,0.0001351454080124334,34.92481692020509,female,0-4,7794,0.030159737485682445,4.075950028050436e-06,8.020773804152755e-05,2.419044323652856e-06
2012,E08000018,258424,199482,16,118391,0.0001351454080124334,34.92481692020509,male,0-4,8240,0.03188558338234839,4.309190175921939e-06,8.020773804152755e-05,2.5574705192326837e-06
2012,E08000032,524386,199482,1248,208198,0.005994293893313097,3143.3237975388815,female,0-4,20184,0.038490730111025086,0.0002307247484536802,0.006256203567239149,0.00024080584302623446
