year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2013,E06000006,126074,99580,18,63089,0.0002853112269967823,35.97032763239233,female,0-4,4114,0.03263162904326031,9.310170121236436e-06,0.00018075918859208675,5.8984667882977056e-06
2013,E06000006,126074,99580,18,63089,0.0002853112269967823,35.97032763239233,male,0-4,4172,0.03309167631708362,9.44142677340749e-06,0.00018075918859208675,5.981624560228008e-06
2013,E06000007,205165,99580,28,85298,0.00032826092053741,67.34765176205772,female,0-4,6163,0.030039236711914802,9.860707495294314e-06,0.00028118096003213497,8.446461417288757e-06
2013,E06000007,205165,99580,28,85298,0.00032826092053741,67.34765176205772,male,0-4,6433,0.031355250651914315,1.0292703442678618e-05,0.00028118096003213497,8.816499480353492e-06
2013,E06000021,250194,99580,1181,98288,0.012015708937001466,3006.258281784145,female,0-4,8553,0.034185472073670835,0.00041076268231122066,0.011859811207069693,0.00040543324481828936
2013,E06000021,250194,99580,1181,98288,0.012015708937001466,3006.258281784145,male,0-4,8902,0.0355803896176567,0.00042752360551087177,0.011859811207069693,0.0004219767035393911
2013,E06000049,373006,99580,63183,157506,0.401146622985791,149630.09725343797,female,0-4,9929,0.026618874763408632,0.01067807171902307,0.6344948784896566,0.016889539708540346
2013,E06000049,373006,99580,63183,157506,0.401146622985791,149630.09725343797,male,0-4,10427,0.027953973930714252,0.011213642241338861,0.6344948784896566,0.017736653292471566
2013,E06000050,331069,99580,32921,141162,0.23321432113458296,77210.03208370524,female,0-4,8916,0.02693094188824686,0.006280681329982395,0.3305985137577827,0.008903329362351626
2013,E06000050,331069,99580,32921,141162,0.23321432113458296,77210.03208370524,male,0-4,9418,0.028447242115691895,0.006634304258162202,0.3305985137577827,0.009404615963955542
2013,E06000051,309085,99580,573,115139,0.004976593508715553,1538.1904046413467,female,0-4,7499,0.024261934419334486,0.00012074178534014245,0.005754167503514762,0.0001396072346081408
2013,E06000051,309085,99580,573,115139,0.004976593508715553,1538.1904046413467,male,0-4,7937,0.025679020334212273,0.00012779404590541549,0.005754167503514762,0.00014776138432921905
2013,E07000037,91172,99580,29,37942,0.0007643244952822729,69.68499288387538,female,0-4,2412,0.026455490720835344,2.022057959264733e-05,0.00029122313717613976,7.704451003255925e-06
2013,E07000037,91172,99580,29,37942,0.0007643244952822729,69.68499288387538,male,0-4,2479,0.02719036546308077,2.0782262359109754e-05,0.00029122313717613976,7.918463531124143e-06
2013,E07000195,125184,99580,1360,45594,0.02982848620432513,3734.049217002237,female,0-4,3030,0.02420437116564417,0.0007219797513987822,0.013657360915846555,0.00033056783275031205
2013,E07000195,125184,99580,1360,45594,0.02982848620432513,3734.049217002237,male,0-4,3363,0.026864455521472392,0.0008013260409089454,0.013657360915846555,0.0003668975648644552
2013,E07000197,131984,99580,22,20311,0.0010831569100487421,142.95938161587318,female,0-4,3227,0.024449933325251545,2.648311423147723e-05,0.00022092789716810605,5.401672355448223e-06
2013,E07000197,131984,99580,22,20311,0.0010831569100487421,142.95938161587318,male,0-4,3544,0.02685173960480058,2.908464729976923e-05,0.00022092789716810605,5.9322983661941435e-06
2013,E07000198,97488,99580,255,34767,0.007334541375442229,715.029769609112,female,0-4,2302,0.023613162645658953,0.0001731917184296325,0.0025607551717212293,6.046752836556571e-05
2013,E07000198,97488,99580,255,34767,0.007334541375442229,715.029769609112,male,0-4,2388,0.02449532250123092,0.00017966195639007923,0.0025607551717212293,6.272652377800648e-05
2013,E08000007,284890,99580,10,129354,7.730723441099619e-05,22.024058011348703,female,0-4,8628,0.030285373301976202,2.3412784530804e-06,0.0001004217714400482,3.041310835707592e-06
2013,E08000007,284890,99580,10,129354,7.730723441099619e-05,22.024058011348703,male,0-4,8984,0.031534978412720696,2.4378819682979034e-06,0.0001004217714400482,3.1667983945290917e-06
2013,E06000006,126074,99580,18,63089,0.0002853112269967823,35.97032763239233,female,5-9,3895,0.030894553992099876,8.814563107004355e-06,0.00018075918859208675,5.584474511526388e-06
2013,E06000006,126074,99580,18,63089,0.0002853112269967823,35.97032763239233,male,5-9,4129,0.03275060678649047,9.344115807142742e-06,0.00018075918859208675,5.919973108624508e-06
2013,E06000007,205165,99580,28,85298,0.00032826092053741,67.34765176205772,female,5-9,5967,0.029083908073989227,9.547110437193114e-06,0.00028118096003213497,8.177841193730652e-06
2013,E06000007,205165,99580,28,85298,0.00032826092053741,67.34765176205772,male,5-9,6208,0.030258572368581385,9.932706819858364e-06,0.00028118096003213497,8.508134427799545e-06
2013,E06000021,250194,99580,1181,98288,0.012015708937001466,3006.258281784145,female,5-9,7690,0.03073614874857111,0.0003693166172072123,0.011859811207069693,0.00036452492139046476
2013,E06000021,250194,99580,1181,98288,0.012015708937001466,3006.258281784145,male,5-9,7882,0.031503553242683675,0.00037853752624541576,0.011859811207069693,0.0003736261938100966
2013,E06000049,373006,99580,63183,157506,0.401146622985791,149630.09725343797,female,5-9,10089,0.02704782228704096,0.010850142569566295,0.6344948784896566,0.017161704715425878
2013,E06000049,373006,99580,63183,157506,0.401146622985791,149630.09725343797,male,5-9,10793,0.028935191391023202,0.011607254311956491,0.6344948784896566,0.018359230745722224
2013,E06000050,331069,99580,32921,141162,0.23321432113458296,77210.03208370524,female,5-9,8918,0.02693698292500959,0.0062820901862699645,0.3305985137577827,0.008905326520126941
