year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2013,E06000006,126074,227850,3081,63089,0.04883577168761591,6156.921079744488,female,0-4,4114,0.03263162904326031,0.0015935907857516367,0.013522053982883475,0.0004412466494723941
2013,E06000006,126074,227850,3081,63089,0.04883577168761591,6156.921079744488,male,0-4,4172,0.03309167631708362,0.001616057549381582,0.013522053982883475,0.0004474674335437113
2013,E06000007,205165,227850,3071,85298,0.036003188820370936,7386.594234331403,female,0-4,6163,0.030039236711914802,0.0010815083113588871,0.01347816545973228,0.00040487380268725194
2013,E06000007,205165,227850,3071,85298,0.036003188820370936,7386.594234331403,male,0-4,6433,0.031355250651914315,0.00112888900973093,0.01347816545973228,0.0004226112563178796
2013,E06000008,147763,227850,41,64521,0.0006354520233722354,93.89629732955162,female,0-4,5511,0.037296210824089925,2.3699952632285408e-05,0.00017994294491990344,6.71119001004032e-06
2013,E06000008,147763,227850,41,64521,0.0006354520233722354,93.89629732955162,male,0-4,5735,0.03881215189188092,2.4663260451126263e-05,0.00017994294491990344,6.9839729101036545e-06
2013,E06000009,141603,227850,128,69229,0.0018489361394791201,261.8149041586618,female,0-4,4206,0.029702760534734432,5.4918507394964645e-05,0.0005617730963353083,1.668621175530396e-05
2013,E06000009,141603,227850,128,69229,0.0018489361394791201,261.8149041586618,male,0-4,4277,0.030204162341193337,5.584556731532663e-05,0.0005617730963353083,1.6967885800626495e-05
2013,E06000049,373006,227850,1696,157506,0.01076784376468198,4016.4703312889665,female,0-4,9929,0.026618874763408632,0.00028662788464402017,0.007443493526442835,0.0001981374219826247
2013,E06000049,373006,227850,1696,157506,0.01076784376468198,4016.4703312889665,male,0-4,10427,0.027953973930714252,0.0003010040238879241,0.007443493526442835,0.00020807522399162332
2013,E06000050,331069,227850,3383,141162,0.0239653731174112,7934.192112608209,female,0-4,8916,0.02693094188824686,0.0006454100707551546,0.014847487382049595,0.00039985681987245614
2013,E06000050,331069,227850,3383,141162,0.0239653731174112,7934.192112608209,male,0-4,9418,0.028447242115691895,0.0006817487714638903,0.014847487382049595,0.0004223700683668452
2013,E06000051,309085,227850,65,115139,0.0005645350402556909,174.48931291743023,female,0-4,7499,0.024261934419334486,1.3696712124099927e-05,0.00028527540048277377,6.921333057962439e-06
2013,E06000051,309085,227850,65,115139,0.0005645350402556909,174.48931291743023,male,0-4,7937,0.025679020334212273,1.4496706778101231e-05,0.00028527540048277377,7.325592809847697e-06
2013,E07000027,67936,227850,45,34677,0.0012976901116013497,88.15987542174929,female,0-4,1798,0.026466085727743758,3.434477774168669e-05,0.00019749835418038183,5.227008372826285e-06
2013,E07000027,67936,227850,45,34677,0.0012976901116013497,88.15987542174929,male,0-4,1871,0.027540626471973622,3.573919863998654e-05,0.00019749835418038183,5.439228401311446e-06
2013,E07000030,52657,227850,9,21745,0.00041388825017245345,21.79411358933088,female,0-4,1134,0.021535598306018193,8.913331099294723e-06,3.949967083607637e-05,8.506490443456825e-07
2013,E07000030,52657,227850,9,21745,0.00041388825017245345,21.79411358933088,male,0-4,1239,0.023529635186205062,9.738639534414605e-06,3.949967083607637e-05,9.294128447480604e-07
2013,E07000031,103593,227850,155,45960,0.003372497824194952,349.3671671018277,female,0-4,2116,0.020426090565964884,6.888694599052561e-05,0.0006802721088435374,1.3895299704738015e-05
