year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2015,E06000019,188522,60652,55797,70314,0.7935404044713713,149599.82413175187,female,0-4,4736,0.025121736455161733,0.019935112907652236,0.9199531754929763,0.023110821225823704
2015,E06000019,188522,60652,55797,70314,0.7935404044713713,149599.82413175187,male,0-4,5118,0.02714802516417182,0.021543054869375872,0.9199531754929763,0.024974911958143095
2015,E06000020,171677,60652,213,67715,0.003145536439489035,540.016259322159,female,0-4,5552,0.03233980090518823,0.00010172602219309007,0.003511838026775704,0.00011357214259719537
2015,E06000020,171677,60652,213,67715,0.003145536439489035,540.016259322159,male,0-4,5735,0.03340575615836717,0.00010507902328482917,0.003511838026775704,0.00011731560479015047
2015,E06000051,312227,60652,2766,123394,0.022416000777995687,6998.880674911259,female,0-4,7302,0.023386830735330384,0.0005242392159580194,0.045604431840664775,0.0010665431282385386
2015,E06000051,312227,60652,2766,123394,0.022416000777995687,6998.880674911259,male,0-4,7795,0.02496581013173108,0.0005596336193361764,0.045604431840664775,0.001138551586499508
2015,E07000079,85548,60652,51,30845,0.0016534284324850057,141.44749554222727,female,0-4,1948,0.02277084210034133,3.7649957760330935e-05,0.0008408626261293939,1.9147150087670775e-05
2015,E07000079,85548,60652,51,30845,0.0016534284324850057,141.44749554222727,male,0-4,1971,0.023039697012203673,3.809449011581739e-05,0.0008408626261293939,1.937322013490713e-05
2015,E07000080,84576,60652,541,28096,0.019255410022779043,1628.5455580865603,female,0-4,2024,0.023931138857359063,0.00046080389101050873,0.008919738837960826,0.00021345950870261908
2015,E07000080,84576,60652,541,28096,0.019255410022779043,1628.5455580865603,male,0-4,2139,0.025290862656072645,0.0004869859302724694,0.008919738837960826,0.00022558788987890425
2015,E07000081,127169,60652,54,48640,0.0011101973684210526,141.18268914473683,female,0-4,4358,0.03426935809827867,3.8045751178187665e-05,0.00089032513354877,3.0510870825480578e-05
2015,E07000081,127169,60652,54,48640,0.0011101973684210526,141.18268914473683,male,0-4,4510,0.035464617949343,3.937272551941862e-05,0.00089032513354877,3.157504071200491e-05
2015,E07000082,116774,60652,273,38461,0.007098099373391228,828.8734562283872,female,0-4,2898,0.024817168205251167,0.00017615472608703802,0.004501088175163226,0.00011170426234969282
2015,E07000082,116774,60652,273,38461,0.007098099373391228,828.8734562283872,male,0-4,3184,0.027266343535376027,0.00019353921596312253,0.004501088175163226,0.0001227282164670193
2015,E07000083,86868,60652,56,31964,0.0017519709673382556,152.19021399073958,female,0-4,2437,0.028054059032094673,4.914989694022343e-05,0.0009233001384950207,2.59023165896805e-05
2015,E07000083,86868,60652,56,31964,0.0017519709673382556,152.19021399073958,male,0-4,2691,0.030978035640281808,5.427261906694348e-05,0.0009233001384950207,2.8602024596975883e-05
2015,E07000235,76136,60652,865,27987,0.03090720691749741,2353.151105870583,female,0-4,1634,0.021461595040453925,0.0006633179586948457,0.014261689639253446,0.00030607860763029487
2015,E07000235,76136,60652,865,27987,0.03090720691749741,2353.151105870583,male,0-4,1706,0.02240727119890722,0.0006925461674011057,0.014261689639253446,0.00031956554750139725
2015,E07000237,100985,60652,28,36575,0.0007655502392344498,77.30909090909091,female,0-4,3035,0.03005396841115017,2.3007822707100608e-05,0.00046165006924751037,1.3874416598169966e-05
2015,E07000237,100985,60652,28,36575,0.0007655502392344498,77.30909090909091,male,0-4,3249,0.03217309501411101,2.4630120584965366e-05,0.00046165006924751037,1.4852711541171079e-05
2015,E07000239,99599,60652,8,39614,0.00020194880597768466,20.113899126571415,female,0-4,2702,0.027128786433598732,5.478626027888874e-06,0.00013190001978500296,3.578287467334793e-06
2015,E07000239,99599,60652,8,39614,0.00020194880597768466,20.113899126571415,male,0-4,2847,0.028584624343617908,5.772630755514294e-06,0.00013190001978500296,3.7703125164700794e-06
2015,E06000019,188522,60652,55797,70314,0.7935404044713713,149599.82413175187,female,5-9,4849,0.025721135994738013,0.02041076066072755,0.9199531754929763,0.023662240735645927
2015,E06000019,188522,60652,55797,70314,0.7935404044713713,149599.82413175187,male,5-9,5259,0.02789594848346612,0.022136562242682244,0.9199531754929763,0.025662966390753134
2015,E06000020,171677,60652,213,67715,0.003145536439489035,540.016259322159,female,5-9,5636,0.032829091841073646,0.00010326510466142933,0.003511838026775704,0.00011529045311199443
2015,E06000020,171677,60652,213,67715,0.003145536439489035,540.016259322159,male,5-9,5811,0.03384844795750159,0.00010647152647046945,0.003511838026775704,0.00011887026668449249
2015,E06000051,312227,60652,2766,123394,0.022416000777995687,6998.880674911259,female,5-9,8133,0.026048355843665025,0.0005838999648571037,0.045604431840664775,0.0011879204686338037
2015,E06000051,312227,60652,2766,123394,0.022416000777995687,6998.880674911259,male,5-9,8438,0.027025209222777017,0.0006057971109632659,0.045604431840664775,0.0012324693119798395
2015,E07000079,85548,60652,51,30845,0.0016534284324850057,141.44749554222727,female,5-9,2246,0.026254266610557814,4.3409550887938034e-05,0.0008408626261293939,2.2076231569254905e-05
2015,E07000079,85548,60652,51,30845,0.0016534284324850057,141.44749554222727,male,5-9,2263,0.02645298545845607,4.373811828112367e-05,0.0008408626261293939,2.224332682156004e-05
2015,E07000080,84576,60652,541,28096,0.019255410022779043,1628.5455580865603,female,5-9,2168,0.025633749527052593,0.000493588357564616,0.008919738837960826,0.00022864635121901095
