year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2015,E06000007,207781,124452,17,91536,0.00018571927984618075,38.58893768571928,female,0-4,6197,0.029824671168201134,5.539016451007465e-06,0.00013659884935557484,4.074015763984663e-06
2015,E06000007,207781,124452,17,91536,0.00018571927984618075,38.58893768571928,male,0-4,6415,0.030873852758433157,5.7338697003732265e-06,0.00013659884935557484,4.217332761975409e-06
2015,E06000049,375722,124452,8262,166783,0.049537422878830575,18612.29959887998,female,0-4,9908,0.0263705612128116,0.0013063296423511356,0.06638704078680938,0.0017506635228059769
2015,E06000049,375722,124452,8262,166783,0.049537422878830575,18612.29959887998,male,0-4,10512,0.02797813276837662,0.0013859645943071393,0.06638704078680938,0.0018573854412329866
2015,E06000050,333949,124452,158,151014,0.0010462606115989245,349.3976849828492,female,0-4,9068,0.02715384684487751,2.8410000407185073e-05,0.0012695657763635779,3.447359465087461e-05
2015,E06000050,333949,124452,158,151014,0.0010462606115989245,349.3976849828492,male,0-4,9656,0.02891459474350874,3.02522015804785e-05,0.0012695657763635779,3.67089799237809e-05
2015,E07000031,103776,124452,9,46780,0.0001923899102180419,19.965455322787516,female,0-4,2093,0.020168439716312058,3.880204306259267e-06,7.231703789412785e-05,1.4585218192299724e-06
2015,E07000031,103776,124452,9,46780,0.0001923899102180419,19.965455322787516,male,0-4,2217,0.021363320999074932,4.110087408971235e-06,7.231703789412785e-05,1.544932094234519e-06
2015,E07000035,71301,124452,321,26671,0.01203554422406359,858.146338719958,female,0-4,1446,0.020280220473766146,0.00024408349038577227,0.0025793076848905604,5.23089285192599e-05
2015,E07000035,71301,124452,321,26671,0.01203554422406359,858.146338719958,male,0-4,1477,0.02071499698461452,0.00024931626230967195,0.0025793076848905604,5.343035091490102e-05
2015,E07000037,91523,124452,15954,39317,0.40577867080397795,37138.08128799247,female,0-4,2316,0.02530511456136709,0.010268275751253924,0.12819400250699065,0.003243963919519578
2015,E07000037,91523,124452,15954,39317,0.40577867080397795,37138.08128799247,male,0-4,2369,0.02588420397058663,0.01050325788200369,0.12819400250699065,0.0033181997086968395
2015,E07000125,69418,124452,11,31496,0.00034925069850139703,24.24428498856998,female,0-4,2143,0.030870955659915295,1.0781702827631072e-05,8.83874907594896e-05,2.7286063081273764e-06
