year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2016,E06000011,337804,169218,26,139789,0.00018599460615642145,62.82972193806379,female,0-4,7596,0.022486412239049864,4.182351388273014e-06,0.0001536479570731246,3.4549913024341175e-06
2016,E06000011,337804,169218,26,139789,0.00018599460615642145,62.82972193806379,male,0-4,8402,0.024872411220707866,4.6261343291561175e-06,0.0001536479570731246,3.821595171544425e-06
2016,E06000014,206920,169218,8,76303,0.00010484515680903765,21.694559846926072,female,0-4,4958,0.02396095109220955,2.5121896745563925e-06,4.727629448403834e-05,1.132784979952939e-06
2016,E06000014,206920,169218,8,76303,0.00010484515680903765,21.694559846926072,male,0-4,5282,0.02552677363232167,2.676358584309573e-06,4.727629448403834e-05,1.2068112674690243e-06
2016,E07000117,87496,169218,8,42651,0.0001875688729455347,16.411526107242505,female,0-4,2949,0.03370439791533327,6.321895930286891e-06,4.727629448403834e-05,1.5934190412525037e-06
2016,E07000117,87496,169218,8,42651,0.0001875688729455347,16.411526107242505,male,0-4,2964,0.033875834323854805,6.354052064215105e-06,4.727629448403834e-05,1.6015239193870537e-06
2016,E07000122,90515,169218,740,43175,0.017139548349739433,1551.3862188766648,female,0-4,3077,0.033994365574766615,0.0005826480723874301,0.004373057239773546,0.00014865930648824176
2016,E07000122,90515,169218,740,43175,0.017139548349739433,1551.3862188766648,male,0-4,3257,0.035982986245373695,0.0006167321325205914,0.004373057239773546,0.00015735565850900338
2016,E07000124,58864,169218,28,23393,0.001196939255332792,70.45663232590947,female,0-4,1228,0.020861647186735527,2.4970124448706656e-05,0.0001654670306941342,3.4519148153777657e-06
2016,E07000124,58864,169218,28,23393,0.001196939255332792,70.45663232590947,male,0-4,1324,0.022492525142701822,2.692218629485962e-05,0.0001654670306941342,3.7217713481760278e-06
2016,E07000163,56343,169218,2600,26135,0.09948345131050315,5605.196097187679,female,0-4,1237,0.021954812487797952,0.002184140519161074,0.015364795707312461,0.00033733120866736796
2016,E07000163,56343,169218,2600,26135,0.09948345131050315,5605.196097187679,male,0-4,1296,0.02300197007614078,0.002288315370115402,0.015364795707312461,0.00035342057108561756
2016,E07000165,159768,169218,204,67611,0.0030172605049474197,482.0616763544393,female,0-4,3877,0.02426643633268239,7.321815994242369e-05,0.0012055455093429777,2.925429334862253e-05
2016,E07000165,159768,169218,204,67611,0.0030172605049474197,482.0616763544393,male,0-4,4112,0.025737319112713434,7.765619646201861e-05,0.0012055455093429777,3.102750947885887e-05
2016,E07000166,53876,169218,11,22406,0.00049093992680532,26.449879496563423,female,0-4,1416,0.026282574801395796,1.29031653492526e-05,6.500490491555272e-05,1.7084962759006357e-06
2016,E07000166,53876,169218,11,22406,0.00049093992680532,26.449879496563423,male,0-4,1482,0.02750761006756255,1.3504584073158443e-05,6.500490491555272e-05,1.7881295768960044e-06
2016,E07000168,108157,169218,13,48612,0.0002674236813955402,28.92374310869744,female,0-4,2569,0.02375250792828943,6.351983112559915e-06,7.68239785365623e-05,1.8247621592724333e-06
2016,E07000168,108157,169218,13,48612,0.0002674236813955402,28.92374310869744,male,0-4,2748,0.025407509453849498,6.794569713240423e-06,7.68239785365623e-05,1.9519059609500376e-06
2016,E07000169,86942,169218,27,35756,0.0007551180221501287,65.65147108177649,female,0-4,2411,0.027731131098893514,2.0940276867382393e-05,0.0001595574938836294,4.424709780697827e-06
2016,E07000169,86942,169218,27,35756,0.0007551180221501287,65.65147108177649,male,0-4,2531,0.029111361597386764,2.1982513791515905e-05,0.0001595574938836294,4.644935900019162e-06
2016,E08000003,541319,169218,8,221484,3.611999060880244e-05,19.55243719636633,female,0-4,19127,0.03533406364823699,1.276266047145148e-06,4.727629448403834e-05,1.6704635983518063e-06
2016,E08000003,541319,169218,8,221484,3.611999060880244e-05,19.55243719636633,male,0-4,20161,0.03724421274701239,1.3452606146543278e-06,4.727629448403834e-05,1.7607683696539324e-06
2016,E08000032,532539,169218,151264,231932,0.652191159477778,347317.2278771364,female,0-4,20281,0.03808359575542824,0.024837784472815726,0.8939001761041969,0.034042932952458346
2016,E08000032,532539,169218,151264,231932,0.652191159477778,347317.2278771364,male,0-4,20622,0.03872392444497023,0.025255401183295,0.8939001761041969,0.0346153228808045
2016,E08000033,209069,169218,4258,87498,0.04866396946215913,10174.127431484147,female,0-4,6286,0.0300666287206616,0.001463161501892353,0.025162807739129406,0.0007565607978617942
2016,E08000033,209069,169218,4258,87498,0.04866396946215913,10174.127431484147,male,0-4,6779,0.03242470189267658,0.0015779147027248264,0.025162807739129406,0.0008158965397240061
2016,E08000034,435236,169218,5459,172529,0.031641057445414976,13771.327278312632,female,0-4,13737,0.03156218695144703,0.0009986609704336624,0.03226016144854566,0.0010182012467228625
2016,E08000034,435236,169218,5459,172529,0.031641057445414976,13771.327278312632,male,0-4,14406,0.03309928406657538,0.00104729634855262,0.03226016144854566,0.0010677882478189967
2016,E08000035,781087,169218,4337,294432,0.01473005651559613,11505.455653597435,female,0-4,25064,0.032088614968627055,0.00047266711199508044,0.025629661147159286,0.0008224203283275747
2016,E08000035,781087,169218,4337,294432,0.01473005651559613,11505.455653597435,male,0-4,26548,0.03398853136718445,0.0005006529879207388,0.025629661147159286,0.000871114541830532
2016,E08000036,337094,169218,227,140699,0.001613373229376186,543.8584353833361,female,0-4,10180,0.030199291592256167,4.8722728601071435e-05,0.001341464855984588,4.05112883466425e-05
2016,E08000036,337094,169218,227,140699,0.001613373229376186,543.8584353833361,male,0-4,10695,0.03172705536141254,5.118758176703919e-05,0.001341464855984588,4.2560729751212325e-05
2016,E06000011,337804,169218,26,139789,0.00018599460615642145,62.82972193806379,female,5-9,8809,0.026077251897550058,4.850228196326617e-06,0.0001536479570731246,4.006716480139829e-06
2016,E06000011,337804,169218,26,139789,0.00018599460615642145,62.82972193806379,male,5-9,9223,0.027302814649915335,5.078176257772777e-06,0.0001536479570731246,4.195021693305669e-06
2016,E06000014,206920,169218,8,76303,0.00010484515680903765,21.694559846926072,female,5-9,5331,0.02576358012758554,2.7011865984389125e-06,4.727629448403834e-05,1.2180066010748522e-06
2016,E06000014,206920,169218,8,76303,0.00010484515680903765,21.694559846926072,male,5-9,5557,0.026855789677169922,2.8156994799334154e-06,4.727629448403834e-05,1.2696422213792823e-06
2016,E07000117,87496,169218,8,42651,0.0001875688729455347,16.411526107242505,female,5-9,2847,0.032538630337386854,6.1032342195750354e-06,4.727629448403834e-05,1.5383058699375648e-06
2016,E07000117,87496,169218,8,42651,0.0001875688729455347,16.411526107242505,male,5-9,3025,0.03457300905184237,6.4848203421898426e-06,4.727629448403834e-05,1.6344837571342232e-06
2016,E07000122,90515,169218,740,43175,0.017139548349739433,1551.3862188766648,female,5-9,3046,0.03365188090371762,0.0005767780398089412,0.004373057239773546,0.00014716160141799948
