year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2018,E06000010,260645,199142,17,106500,0.00015962441314553992,41.605305164319255,female,0-4,8388,0.03218170308273706,5.136985468605916e-06,8.536622108846954e-05,2.7472303803644133e-06
2018,E06000010,260645,199142,17,106500,0.00015962441314553992,41.605305164319255,male,0-4,8819,0.03383529321490917,5.400938823037145e-06,8.536622108846954e-05,2.8883911211771294e-06
2018,E06000011,339614,199142,375,139498,0.0026882105836642817,912.9539491605614,female,0-4,7397,0.021780609751070334,5.855086565148873e-05,0.0018830784063632985,4.101459589966644e-05
2018,E06000011,339614,199142,375,139498,0.0026882105836642817,912.9539491605614,male,0-4,8175,0.024071445817899145,6.47091154117778e-05,0.0018830784063632985,4.532841982963001e-05
2018,E06000013,172005,199142,35,74981,0.0004667849188461077,80.28933996612476,female,0-4,4559,0.026505043458039012,1.2372154559573298e-05,0.00017575398459390785,4.658366999585047e-06
2018,E06000013,172005,199142,35,74981,0.0004667849188461077,80.28933996612476,male,0-4,4645,0.0270050289235778,1.2605540234529055e-05,0.00017575398459390785,4.7462414373925285e-06
2018,E06000014,209893,199142,105,80082,0.0013111560650333409,275.202479958043,female,0-4,4743,0.02259722811146632,2.9628492691290972e-05,0.0005272619537817236,1.1914658644103021e-05
2018,E06000014,209893,199142,105,80082,0.0013111560650333409,275.202479958043,male,0-4,5079,0.02419804376515653,3.1727411844627205e-05,0.0005272619537817236,1.2758707833312089e-05
2018,E07000163,56832,199142,16,26867,0.0005955261100978897,33.844939889083264,female,0-4,1200,0.021114864864864864,1.2574453338215575e-05,8.034467867150074e-05,1.6964670327597284e-06
2018,E07000163,56832,199142,16,26867,0.0005955261100978897,33.844939889083264,male,0-4,1260,0.022170608108108107,1.3203176005126354e-05,8.034467867150074e-05,1.7812903843977148e-06
2018,E07000165,160533,199142,44,70158,0.0006271558482282847,100.67920978363124,female,0-4,3791,0.0236150822572306,1.4810336944014174e-05,0.00022094786634662702,5.21770203833519e-06
2018,E07000165,160533,199142,44,70158,0.0006271558482282847,100.67920978363124,male,0-4,3964,0.024692742302205778,1.5486197743622313e-05,0.00022094786634662702,5.455808725919465e-06
2018,E07000167,54920,199142,32,20906,0.001530661054242801,84.06390509901463,female,0-4,1169,0.021285506190823016,3.258089534613683e-05,0.00016068935734300148,3.42035431052383e-06
2018,E07000167,54920,199142,32,20906,0.001530661054242801,84.06390509901463,male,0-4,1256,0.02286962855061908,3.5005649747431864e-05,0.00016068935734300148,3.6749059144721385e-06
2018,E07000168,108736,199142,31,48399,0.0006405091014277154,69.64639765284407,female,0-4,2491,0.022908696291936433,1.4673228476828641e-05,0.00015566781492603267,3.5661466945698514e-06
2018,E07000168,108736,199142,31,48399,0.0006405091014277154,69.64639765284407,male,0-4,2718,0.02499632136550912,1.601037133682065e-05,0.00015566781492603267,3.89112272815771e-06
