year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2019,E06000023,463377,172327,25,177457,0.00014087919890452336,65.28018055078132,female,0-4,13645,0.029446865079621992,4.14845076266673e-06,0.0001450730297631828,4.271945934128429e-06
2019,E06000023,463377,172327,25,177457,0.00014087919890452336,65.28018055078132,male,0-4,14721,0.03176894839407221,4.475583999796037e-06,0.0001450730297631828,4.608817595918256e-06
2019,E06000024,215052,172327,39,94559,0.0004124409099080997,88.69624255755666,female,0-4,5500,0.025575209716719678,1.0548262766654336e-05,0.00022631392643056514,5.788026130275972e-06
2019,E06000024,215052,172327,39,94559,0.0004124409099080997,88.69624255755666,male,0-4,5817,0.027049271804028795,1.1156226275205141e-05,0.00022631392643056514,6.121626909057332e-06
2019,E06000026,262100,172327,454,96753,0.004692360960383658,1229.8678077165566,female,0-4,7070,0.026974437237695537,0.00012657379622248171,0.0026345262204993994,7.106486218592428e-05
2019,E06000026,262100,172327,454,96753,0.004692360960383658,1229.8678077165566,male,0-4,7560,0.02884395268981305,0.00013534623754483195,0.0026345262204993994,7.599014966415666e-05
2019,E06000027,136264,172327,3261,61536,0.052993369734789394,7221.088533541342,female,0-4,3308,0.024276404626313627,0.0012864884861935899,0.018923326002309563,0.00045939031890770884
2019,E06000027,136264,172327,3261,61536,0.052993369734789394,7221.088533541342,male,0-4,3425,0.025135031996712263,0.0013319900438975346,0.018923326002309563,0.000475638404552268
2019,E06000052,569578,172327,2958,228104,0.01296776908778452,7386.155981482131,female,0-4,13312,0.023371689215524474,0.0003030786689383851,0.017165040881579788,0.000401176000856055
2019,E06000052,569578,172327,2958,228104,0.01296776908778452,7386.155981482131,male,0-4,14371,0.025230960465467415,0.00032718926917920163,0.017165040881579788,0.0004330904678712716
2019,E06000053,2224,172327,11,729,0.015089163237311385,33.55829903978052,female,0-4,60,0.02697841726618705,0.00040708174201379633,6.383213309580042e-05,1.7220899216492918e-06
2019,E06000053,2224,172327,11,729,0.015089163237311385,33.55829903978052,male,0-4,32,0.014388489208633094,0.00021711026240735806,6.383213309580042e-05,9.184479582129557e-07
2019,E06000058,395331,172327,8,190344,4.2029168242760476e-05,16.615433110578742,female,0-4,9974,0.02522949123645755,1.0603745318563254e-06,4.6423369524218495e-05,1.1712379945781011e-06
2019,E06000058,395331,172327,8,190344,4.2029168242760476e-05,16.615433110578742,male,0-4,10301,0.02605664620280221,1.09513916709966e-06,4.6423369524218495e-05,1.2096373152345116e-06
2019,E06000059,378508,172327,1008,175827,0.005732907915166612,2169.951509153884,female,0-4,7756,0.02049098037557991,0.00011747290358468578,0.00584934456005153,0.000119858804590021
2019,E06000059,378508,172327,1008,175827,0.005732907915166612,2169.951509153884,male,0-4,8119,0.02145000898263709,0.0001229709262769551,0.00584934456005153,0.0001254684933556447
2019,E07000040,146284,172327,52676,57383,0.9179722217381454,134284.64848474285,female,0-4,3177,0.021718027945639987,0.01993654636503027,0.30567467663221665,0.006638651169372948
