year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2019,E07000064,96080,106083,8,41554,0.00019252057563652115,18.49737690715695,female,0-4,1810,0.018838467943380517,3.626792692569768e-06,7.541264858648416e-05,1.420658762921902e-06
2019,E07000064,96080,106083,8,41554,0.00019252057563652115,18.49737690715695,male,0-4,2023,0.021055370524562866,4.053592053629083e-06,7.541264858648416e-05,1.5878412582270762e-06
2019,E07000111,120750,106083,29,50505,0.0005742005742005742,69.33471933471934,female,0-4,3468,0.028720496894409937,1.6491325808095996e-05,0.0002733708511260051,7.85134668078663e-06
2019,E07000111,120750,106083,29,50505,0.0005742005742005742,69.33471933471934,male,0-4,3510,0.02906832298136646,1.669104774694837e-05,0.0002733708511260051,7.946432194221765e-06
2019,E07000208,80627,106083,20,33132,0.0006036460219727152,48.67016781359411,female,0-4,2442,0.0302876207721979,1.828300179415544e-05,0.00018853162146621042,5.710174254536146e-06
2019,E07000208,80627,106083,20,33132,0.0006036460219727152,48.67016781359411,male,0-4,2624,0.03254492911803738,1.964561699748725e-05,0.00018853162146621042,6.135748257126473e-06
2019,E07000211,148748,106083,512,60137,0.008513893277017476,1266.4245971697956,female,0-4,4691,0.03153655847473579,0.0002684988931783216,0.0048264095095349865,0.000152208345720471
2019,E07000211,148748,106083,512,60137,0.008513893277017476,1266.4245971697956,male,0-4,4739,0.03185925188910103,0.00027124627046942355,0.0048264095095349865,0.00015376579628422767
2019,E07000215,88129,106083,1195,35241,0.03390936693056383,2988.39859822366,female,0-4,2436,0.027641298550987757,0.0009372989350027062,0.011264764382606072,0.0003113727154061477
2019,E07000215,88129,106083,1195,35241,0.03390936693056383,2988.39859822366,male,0-4,2675,0.03035323219371603,0.0010292588879853197,0.011264764382606072,0.0003419220089127443
2019,E07000226,112409,106083,25,42291,0.000591142323425788,66.44971743396941,female,0-4,3733,0.03320908468183153,1.9631295477661634e-05,0.00023566452683276303,7.826203228092986e-06
2019,E07000226,112409,106083,25,42291,0.000591142323425788,66.44971743396941,male,0-4,4096,0.03643836347623411,2.1540258847174405e-05,0.00023566452683276303,8.587229687186945e-06
2019,E07000227,143791,106083,17,55435,0.00030666546405700367,44.09573374222062,female,0-4,3519,0.02447301986911559,7.505029995038604e-06,0.00016025187824627885,3.9218474003842746e-06
2019,E07000227,143791,106083,17,55435,0.00030666546405700367,44.09573374222062,male,0-4,3757,0.026128199956881863,8.01261656475136e-06,0.00016025187824627885,4.187093118284661e-06
2019,E07000228,151022,106083,20,57861,0.00034565596861443806,52.201655692089666,female,0-4,4141,0.027419846115135545,9.477833468186013e-06,0.00018853162146621042,5.169508048440475e-06
2019,E07000228,151022,106083,20,57861,0.00034565596861443806,52.201655692089666,male,0-4,4296,0.028446186648302896,9.832594199306232e-06,0.00018853162146621042,5.36300569333501e-06
2019,E09000004,248287,106083,75,113257,0.0006622107242819428,164.41831409979073,female,0-4,7569,0.030484882414302802,2.018741606322532e-05,0.000706993580498289,2.1552616169157265e-05
2019,E09000004,248287,106083,75,113257,0.0006622107242819428,164.41831409979073,male,0-4,8216,0.03309073773495994,2.191304140249164e-05,0.000706993580498289,2.3394939152569172e-05
2019,E09000006,332336,106083,3931,127953,0.03072221831453737,10210.099145780092,female,0-4,10233,0.030791127052140002,0.0009459717274465027,0.03705589019918366,0.0011409926231532135
2019,E09000006,332336,106083,3931,127953,0.03072221831453737,10210.099145780092,male,0-4,10835,0.0326025468200857,0.0010016225610165988,0.03705589019918366,0.00120811639517884
2019,E09000008,386710,106083,92016,164384,0.5597625072999806,216465.75919797548,female,0-4,13493,0.03489177936955341,0.019531109904058954,0.8673962840417409,0.030264999768754908
2019,E09000008,386710,106083,92016,164384,0.5597625072999806,216465.75919797548,male,0-4,14188,0.036688991750924466,0.020537122012805782,0.8673962840417409,0.031823895109989966
2019,E09000011,287942,106083,18,119189,0.0001510206478785794,43.48518739145391,female,0-4,10667,0.03704565502774864,5.594658823376952e-06,0.00016967845931958937,6.2858496695933895e-06
2019,E09000011,287942,106083,18,119189,0.0001510206478785794,43.48518739145391,male,0-4,10832,0.037618687096706974,5.681198497686242e-06,0.00016967845931958937,6.383080868194956e-06
2019,E09000021,177507,106083,9,68270,0.0001318295005126703,23.400659147502566,female,0-4,5393,0.030381900432095637,4.00523075858885e-06,8.483922965979469e-05,2.5775770282595773e-06
