year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2019,E07000129,101526,71766,587,36390,0.016130805166254467,1637.696125309151,female,0-4,2689,0.026485826290802355,0.000427237703564193,0.00817936070005295,0.00021663712667141798
2019,E07000129,101526,71766,587,36390,0.016130805166254467,1637.696125309151,male,0-4,3010,0.029647577960325435,0.0004782393037293496,0.00817936070005295,0.00024249823402044187
2019,E07000131,93807,71766,358,35749,0.010014266133318414,939.4082631682005,female,0-4,2235,0.02382551408743484,0.0002385950388346995,0.004988434634785275,0.00011885201966532443
2019,E07000131,93807,71766,358,35749,0.010014266133318414,939.4082631682005,male,0-4,2406,0.02564840576929227,0.0002568499612690322,0.004988434634785275,0.00012794539566656402
2019,E07000132,113136,71766,9649,46589,0.20710897422138272,23431.480907510355,female,0-4,2846,0.02515556498373639,0.005209943259740978,0.1344508541649249,0.0033821871990646324
2019,E07000132,113136,71766,9649,46589,0.20710897422138272,23431.480907510355,male,0-4,3047,0.026932187809362185,0.005577897790734631,0.1344508541649249,0.003621055655498923
2019,E07000134,103611,71766,167,40273,0.004146698780820897,429.643607379634,female,0-4,2717,0.026223084421538253,0.00010873923220015615,0.002327007217902628,6.102130672458948e-05
2019,E07000134,103611,71766,167,40273,0.004146698780820897,429.643607379634,male,0-4,2941,0.028385017034870817,0.00011770411553207922,0.002327007217902628,6.605213952043344e-05
2019,E07000151,85950,71766,28,33903,0.0008258856148423443,70.9848685956995,female,0-4,2243,0.02609656777196044,2.1552779919620456e-05,0.0003901568988100215,1.0181755951493638e-05
2019,E07000151,85950,71766,28,33903,0.0008258856148423443,70.9848685956995,male,0-4,2366,0.027527632344386273,2.273467556389746e-05,0.0003901568988100215,1.0740095667068189e-05
2019,E07000194,104756,71766,40,51283,0.0007799855702669501,81.70816839888462,female,0-4,2509,0.02395089541410516,1.868135281797489e-05,0.0005573669983000306,1.3349438683557762e-05
