year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2019,E06000015,257302,332669,677,102021,0.006635888689583517,1707.4274316072183,female,0-4,8062,0.03133283068145603,0.00020792117673170947,0.0020350558663416187,6.376406088738574e-05
2019,E06000015,257302,332669,677,102021,0.006635888689583517,1707.4274316072183,male,0-4,8259,0.032098467948169854,0.00021300186041021938,0.0020350558663416187,6.532217549850148e-05
2019,E06000016,354224,332669,111836,116649,0.958739466262034,339608.52869720274,female,0-4,11803,0.033320723609919146,0.031945892769238635,0.33617800275949966,0.011201694313683924
2019,E06000016,354224,332669,111836,116649,0.958739466262034,339608.52869720274,male,0-4,12644,0.03569492750350061,0.034222135742968174,0.33617800275949966,0.01199984943677197
2019,E06000017,39927,332669,4164,15060,0.2764940239043825,11039.57689243028,female,0-4,915,0.02291682320234428,0.006336364662321486,0.01251694627392393,0.0002868486447927567
2019,E06000017,39927,332669,4164,15060,0.2764940239043825,11039.57689243028,male,0-4,946,0.02369324016329802,0.006551039312083198,0.01251694627392393,0.00029656701417917793
2019,E06000018,332900,332669,278,100881,0.0027557220884011856,917.3798832287547,female,0-4,9847,0.02957945328927606,8.151275279208914e-05,0.0008356654813042394,2.4718528069699147e-05
2019,E06000018,332900,332669,278,100881,0.0027557220884011856,917.3798832287547,male,0-4,10488,0.03150495644337639,8.681890436512959e-05,0.0008356654813042394,2.632760458972323e-05
2019,E06000031,202259,332669,934,71134,0.013130148733376444,2655.690752663986,female,0-4,7434,0.03675485392491805,0.00048259669870769897,0.0028075955379070487,0.0001031927638760253
2019,E06000031,202259,332669,934,71134,0.013130148733376444,2655.690752663986,male,0-4,8036,0.03973123569284927,0.0005216770340079458,0.0028075955379070487,0.00011154924004677687
2019,E06000042,269457,332669,24,97063,0.0002472620875101738,66.6265003142289,female,0-4,9169,0.03402769273019443,8.41375833762264e-06,7.214378255863937e-05,2.4548864652993405e-06
2019,E06000042,269457,332669,24,97063,0.0002472620875101738,66.6265003142289,male,0-4,9507,0.035282067268617996,8.723917604512862e-06,7.214378255863937e-05,2.545381789246464e-06
2019,E06000055,173292,332669,16,77823,0.00020559474705421276,35.627924906518636,female,0-4,5537,0.03195185005655195,6.569132530290932e-06,4.809585503909291e-05,1.5367515485507553e-06
2019,E06000055,173292,332669,16,77823,0.00020559474705421276,35.627924906518636,male,0-4,5923,0.03417930429563973,7.027085421151018e-06,4.809585503909291e-05,1.6438828647401341e-06
2019,E07000010,101850,332669,166,45564,0.003643227109121236,371.0626810639979,female,0-4,2753,0.027029945999018163,9.847623202170606e-05,0.000498994496030589,1.3487794281514104e-05
2019,E07000010,101850,332669,166,45564,0.003643227109121236,371.0626810639979,male,0-4,2963,0.029091801669121255,0.00010598804049412098,0.000498994496030589,1.4516648912505008e-05
2019,E07000011,177963,332669,68,68741,0.0009892204070351027,176.04463129718798,female,0-4,4849,0.027247236785174447,2.6953522663212092e-05,0.00020440738391614487,5.569536390201258e-06
2019,E07000011,177963,332669,68,68741,0.0009892204070351027,176.04463129718798,male,0-4,5153,0.02895545703320353,2.8643328992273027e-05,0.00020440738391614487,5.918709222253472e-06
2019,E07000032,128147,332669,292,50143,0.005823345232634665,746.2442215264343,female,0-4,3093,0.02413634341810577,0.0001405542603770593,0.0008777493544634456,2.1185659854350374e-05
2019,E07000032,128147,332669,292,50143,0.005823345232634665,746.2442215264343,male,0-4,3231,0.02521323167924337,0.00014682535249863518,0.0008777493544634456,2.2130897830393165e-05
2019,E07000033,80562,332669,45,35942,0.001252017138723499,100.86500472984252,female,0-4,2029,0.025185571361187657,3.153276699275067e-05,0.0001352695922974488,3.406841969806157e-06
2019,E07000033,80562,332669,45,35942,0.001252017138723499,100.86500472984252,male,0-4,2296,0.02849978898239865,3.568222425596626e-05,0.0001352695922974488,3.8551548362123884e-06
2019,E07000035,72325,332669,104,29602,0.0035132761299912166,254.09769610161473,female,0-4,1377,0.019039059799516072,6.688947433111517e-05,0.00031262305775410395,5.952049091287952e-06
2019,E07000035,72325,332669,104,29602,0.0035132761299912166,254.09769610161473,male,0-4,1389,0.01920497753197373,6.747238914010094e-05,0.00031262305775410395,6.003918800144493e-06
2019,E07000036,115371,332669,246,42721,0.005758292174808642,664.3399264998478,female,0-4,2842,0.02463357342833121,0.0001418473131099337,0.0007394737712260535,1.8215881441821985e-05
2019,E07000036,115371,332669,246,42721,0.005758292174808642,664.3399264998478,male,0-4,3101,0.02687850499692297,0.00015477428499433653,0.0007394737712260535,1.987594945499295e-05
2019,E07000039,107261,332669,573,44201,0.012963507612949933,1390.4787900726228,female,0-4,2893,0.026971592657163368,0.0003496464467445218,0.001722432808587515,4.64567560925563e-05
2019,E07000039,107261,332669,573,44201,0.012963507612949933,1390.4787900726228,male,0-4,3029,0.028239527880590337,0.00036608333466614474,0.001722432808587515,4.864068932055065e-05
2019,E07000129,101526,332669,33632,36390,0.9242099477878538,93831.33915910964,female,0-4,2689,0.026485826290802355,0.02447846413334061,0.1010974872921733,0.0026776504868571004
2019,E07000129,101526,332669,33632,36390,0.9242099477878538,93831.33915910964,male,0-4,3010,0.029647577960325435,0.027400586478748695,0.1010974872921733,0.0029972956360877177
2019,E07000130,185851,332669,54895,61002,0.8998885282449756,167245.18286285695,female,0-4,4640,0.0249662363936702,0.02246682972411602,0.16501387264818784,0.004119775352769647
2019,E07000130,185851,332669,54895,61002,0.8998885282449756,167245.18286285695,male,0-4,4969,0.0267364716896869,0.0240598441592958,0.16501387264818784,0.0044118887344638735
2019,E07000131,93807,332669,23487,35749,0.6569973985286301,61630.954963775206,female,0-4,2235,0.02382551408743484,0.015653300774051918,0.07060170920644845,0.0016821220172952157
2019,E07000131,93807,332669,23487,35749,0.6569973985286301,61630.954963775206,male,0-4,2406,0.02564840576929227,0.016850935866831732,0.07060170920644845,0.0018108212857325678
2019,E07000132,113136,332669,29310,46589,0.6291184614393955,71175.94625340746,female,0-4,2846,0.02515556498373639,0.01582583033920697,0.08810559444973833,0.0022163460066111167
2019,E07000132,113136,332669,29310,46589,0.6291184614393955,71175.94625340746,male,0-4,3047,0.026932187809362185,0.016943536557822783,0.08810559444973833,0.002372876416775851
2019,E07000133,51209,332669,13225,19554,0.6763322082438376,34634.29605195868,female,0-4,1232,0.02405827100704954,0.01627138355672651,0.039754230180750236,0.0009564180433651172
2019,E07000133,51209,332669,13225,19554,0.6763322082438376,34634.29605195868,male,0-4,1283,0.025054189693217988,0.016944955440974116,0.039754230180750236,0.000996010024056368
2019,E07000134,103611,332669,19824,40273,0.4922404588682244,51001.5261837956,female,0-4,2717,0.026223084421538253,0.012908063108598176,0.05959076439343612,0.0015626536454330711
2019,E07000134,103611,332669,19824,40273,0.4922404588682244,51001.5261837956,male,0-4,2941,0.028385017034870817,0.013972253810227176,0.05959076439343612,0.0016914848624286576
2019,E07000135,57015,332669,20303,21200,0.957688679245283,54602.62004716981,female,0-4,1439,0.02523897220029817,0.02417107795201197,0.061030634053668965,0.0015403504762471218
2019,E07000135,57015,332669,20303,21200,0.957688679245283,54602.62004716981,male,0-4,1571,0.027554152416030868,0.026388299835031825,0.061030634053668965,0.0016816473927617984
2019,E07000136,70173,332669,418,27147,0.015397649832394004,1080.4992816885845,female,0-4,2048,0.029185014179242727,0.0004493806286854334,0.0012565042128963022,3.6671093269656804e-05
2019,E07000136,70173,332669,418,27147,0.015397649832394004,1080.4992816885845,male,0-4,2202,0.03137959044076782,0.0004831719454908811,0.0012565042128963022,3.9428587587785295e-05
2019,E07000137,141727,332669,786,64459,0.01219379760778169,1728.1903535580757,female,0-4,2999,0.02116039992379716,0.0002580256339705017,0.0023627088787954395,4.999586477881789e-05
2019,E07000137,141727,332669,786,64459,0.01219379760778169,1728.1903535580757,male,0-4,3189,0.022501005454147762,0.00027437270647946976,0.0023627088787954395,5.316332536833953e-05
2019,E07000138,99299,332669,494,36975,0.013360378634212305,1326.6722379986477,female,0-4,2624,0.026425240938982266,0.000353051224445091,0.0014849595243319937,3.924041321510943e-05
2019,E07000138,99299,332669,494,36975,0.013360378634212305,1326.6722379986477,male,0-4,2887,0.029073807389802517,0.00038843707506592136,0.0014849595243319937,4.317342719208115e-05
2019,E07000139,116915,332669,674,45604,0.014779405315323218,1727.934172441014,female,0-4,2873,0.024573408031475858,0.00036318035727600056,0.0020260378935217887,4.978665584474275e-05
2019,E07000139,116915,332669,674,45604,0.014779405315323218,1727.934172441014,male,0-4,3002,0.025676773724500706,0.00037948744606423727,0.0020260378935217887,5.202211654922302e-05
2019,E07000140,95019,332669,415,38345,0.010822793062980831,1028.3709740513757,female,0-4,2465,0.02594217998505562,0.0002807668455808601,0.0012474862400764725,3.236251256894416e-05
2019,E07000140,95019,332669,415,38345,0.010822793062980831,1028.3709740513757,male,0-4,2667,0.028068070596407035,0.0003037749197420503,0.0012474862400764725,3.5014531854512804e-05
2019,E07000141,142424,332669,1102,54240,0.020317109144542773,2893.6439528023598,female,0-4,3592,0.025220468460371848,0.0005124070103858735,0.0033126020158175244,8.354537466169007e-05
2019,E07000141,142424,332669,1102,54240,0.020317109144542773,2893.6439528023598,male,0-4,3732,0.026203448856934226,0.0005323783303897772,0.0033126020158175244,8.680159750485172e-05
2019,E07000142,95667,332669,424,40060,0.010584123814278583,1012.5513729405892,female,0-4,2267,0.023696781544315176,0.00025080966986494347,0.0012745401585359621,3.0202499706283527e-05
2019,E07000142,95667,332669,424,40060,0.010584123814278583,1012.5513729405892,male,0-4,2438,0.02548423176225867,0.0002697282642835166,0.0012745401585359621,3.2480676790436364e-05
2019,E07000150,72218,332669,1632,31110,0.05245901639344262,3788.4852459016392,female,0-4,2462,0.03409122379462184,0.0017883920679145882,0.004905777213987477,0.0001672439488886035
2019,E07000150,72218,332669,1632,31110,0.05245901639344262,3788.4852459016392,male,0-4,2631,0.036431360602619846,0.0019111533430882543,0.004905777213987477,0.00017872413871889353
2019,E07000151,85950,332669,1102,33903,0.03250449812700941,2793.7616140164587,female,0-4,2243,0.02609656777196044,0.0008482558382650623,0.0033126020158175244,8.644754300731479e-05
2019,E07000151,85950,332669,1102,33903,0.03250449812700941,2793.7616140164587,male,0-4,2366,0.027527632344386273,0.0008947718739791072,0.0033126020158175244,9.118809039469765e-05
2019,E07000152,94527,332669,1290,38951,0.03311853354214269,3130.5956201381223,female,0-4,2479,0.026225311286722314,0.0008685438515024462,0.003877728312526866,0.00010169463208135349
2019,E07000152,94527,332669,1290,38951,0.03311853354214269,3130.5956201381223,male,0-4,2596,0.027463052884361083,0.0009095360381203511,0.003877728312526866,0.00010649425771810958
2019,E07000153,101776,332669,2260,43748,0.05165950443448843,5257.697723324495,female,0-4,3097,0.030429570822197768,0.0015719765488289054,0.006793539524271874,0.0002067244920872307
2019,E07000153,101776,332669,2260,43748,0.05165950443448843,5257.697723324495,male,0-4,3206,0.03150055022795158,0.0016273028141896905,0.006793539524271874,0.00021400023300990046
2019,E07000154,224610,332669,1932,93538,0.02065470717783147,4639.253779212727,female,0-4,7796,0.03470905124437915,0.0007169052898729982,0.005807574495970469,0.0002015754007861884
2019,E07000154,224610,332669,1932,93538,0.02065470717783147,4639.253779212727,male,0-4,7978,0.0355193446418236,0.0007336416627253437,0.005807574495970469,0.0002062812400554401
2019,E07000155,94490,332669,407,33343,0.012206460126563297,1153.3884173589659,female,0-4,2466,0.02609799978833739,0.0003185641937993977,0.001223438312556926,3.19292928221545e-05
2019,E07000155,94490,332669,407,33343,0.012206460126563297,1153.3884173589659,male,0-4,2586,0.027367975447137264,0.0003340661010402443,0.001223438312556926,3.3483029699144996e-05
2019,E07000156,79707,332669,1250,35231,0.035480116942465445,2828.013681133093,female,0-4,2378,0.02983426800657408,0.0010585233177661038,0.0037574886749291336,0.00011210192415950268
2019,E07000156,79707,332669,1250,35231,0.035480116942465445,2828.013681133093,male,0-4,2471,0.031001041313811834,0.0010999205711522465,0.0037574886749291336,0.00011648606164765815
