year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000030,209709,138,70118,0.001968110898770644,412.73056847029295,41105,0.0033572558082958282
2011,E06000032,203641,1809,72615,0.02491220822144185,5073.146994422639,41105,0.044009244617443134
2011,E06000033,174274,110,64508,0.001705214857071991,297.17461400136415,41105,0.0026760734703807324
2011,E06000034,158268,143,53689,0.002663487865298292,421.54489746503015,41105,0.003478895511494952
2011,E06000035,264885,65,99212,0.0006551626819336371,173.54276700399146,41105,0.0015813161415886145
2011,E06000036,113696,363,39743,0.009133683919180735,1038.4633268751732,41105,0.008831042452256417
2011,E06000037,154148,21,48005,0.0004374544318300177,67.43272575773356,41105,0.0005108867534363216
2011,E06000039,140713,763,54239,0.01406736849868176,1979.4616235550063,41105,0.01856221870818635
2011,E06000040,145098,836,50927,0.016415653778938482,2381.878532016416,41105,0.02033815837489357
2011,E06000041,154943,66,45390,0.0014540647719762062,225.29715796430926,41105,0.0016056440822284394
2011,E06000042,249895,613,88445,0.0069308609870541,1731.9875063598847,41105,0.014913027612212628
2011,E06000043,272952,8,87037,9.191493272975861e-05,25.088364718453068,41105,0.00019462352511859872
2011,E06000052,533760,10,200894,4.977749459914184e-05,26.569235517237946,41105,0.0002432794063982484
2011,E06000054,474319,101,159574,0.0006329351899432239,300.21318635867993,41105,0.002457122004622309
2011,E06000056,255644,1364,95595,0.01426852868873895,3647.6637481039793,41105,0.03318331103272108
2011,E06000060,506550,1846,163754,0.011273007071582984,5710.341732110362,41105,0.044909378421116655
2011,E07000045,124271,8,47777,0.00016744458630721897,20.80850618498441,41105,0.00019462352511859872
2011,E07000046,63973,9,25971,0.0003465403719533325,22.169227214970547,41105,0.00021895146575842355
2011,E07000062,90173,16,36006,0.0004443703827139921,40.07021052046881,41105,0.00038924705023719744
2011,E07000064,90729,20,36720,0.0005446623093681918,49.41666666666667,41105,0.0004865588127964968
2011,E07000065,149415,25,56293,0.00044410495088199236,66.35594123603289,41105,0.000608198515995621
2011,E07000066,174971,157,62378,0.0025169130142037263,440.3867870082401,41105,0.0038194866804525
2011,E07000067,147514,84,48494,0.0017321730523363714,255.51977564234755,41105,0.0020435470137452863
2011,E07000068,73841,59,24621,0.0023963283375979852,176.9472807765728,41105,0.0014353484977496654
2011,E07000069,87964,47,33361,0.0014088306705434491,123.92638110368392,41105,0.0011434132100717675
2011,E07000070,168491,74,54365,0.0013611698703209787,229.344872620252,41105,0.0018002676073470378
2011,E07000071,173614,319,59731,0.005340610403308165,927.2047345599437,41105,0.0077606130641041235
2011,E07000072,124880,51,48938,0.0010421349462585313,130.14181208876542,41105,0.0012407249726310667
2011,E07000073,82177,8,34960,0.00022883295194508008,18.804805491990848,41105,0.00019462352511859872
2011,E07000074,61720,26,20947,0.0012412278607915215,76.60858356805271,41105,0.0006325264566354457
2011,E07000075,83333,18,29337,0.0006135596686777789,51.12976786992535,41105,0.0004379029315168471
2011,E07000076,138062,273,58059,0.0047021133674365724,649.1831757350283,41105,0.006641527794672181
2011,E07000077,80032,11,25279,0.00043514379524506514,34.82542822105305,41105,0.00026760734703807325
2011,E07000084,168550,430,60158,0.007147844010771634,1204.7691080155591,41105,0.01046101447512468
2011,E07000085,116010,195,39594,0.0049249886346416135,571.3479315047734,41105,0.004743948424765844
2011,E07000089,91662,173,32841,0.005267805487043634,482.8575865533936,41105,0.004208733730689697
2011,E07000092,94354,121,36193,0.0033431879092642226,315.44315199071644,41105,0.0029436808174188056
2011,E07000093,116698,19,41344,0.0004595588235294117,53.62959558823529,41105,0.00046223087215667186
