year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000016,329627,9,106641,8.439530762089628e-05,27.81897206515318,351710,2.5589263882175658e-05
2011,E06000017,37581,9,12632,0.0007124762507916402,26.775569981000636,351710,2.5589263882175658e-05
2011,E06000031,184457,9,67931,0.00013248737689714563,24.438224080316797,351710,2.5589263882175658e-05
2011,E06000032,203641,76,72615,0.0010466157130069548,213.13387041244926,351710,0.00021608711722726108
2011,E06000033,174274,800,64508,0.012401562596887208,2161.2699200099214,351710,0.002274601233971169
2011,E06000034,158268,1372,53689,0.025554582875449348,4044.4727225316174,351710,0.003900941116260556
2011,E06000035,264885,151,99212,0.0015219933072612186,403.15319719388776,351710,0.00042933098291205823
2011,E06000039,140713,20,54239,0.000368738361695459,51.88628108925312,351710,5.686503084927924e-05
2011,E06000040,145098,18,50927,0.0003534470909340821,51.284466000353454,351710,5.1178527764351315e-05
2011,E06000043,272952,20,87037,0.00022978733182439653,62.72091179613268,351710,5.686503084927924e-05
2011,E06000055,157840,11,61892,0.00017772894719834552,28.052737025786858,351710,3.1275766967103584e-05
2011,E06000056,255644,27,95595,0.0002824415502902872,72.20448768241017,351710,7.676779164652697e-05
2011,E06000060,506550,17,163754,0.00010381425797232434,52.58711237588089,351710,4.833527622188735e-05
2011,E07000009,84245,8,28844,0.0002773540424351685,23.365691304950772,351710,2.2746012339711693e-05
2011,E07000062,90173,56,36006,0.0015552963394989724,140.24573682164083,351710,0.00015922208637798185
2011,E07000063,97584,8,35106,0.00022788127385632085,22.23756622799521,351710,2.2746012339711693e-05
2011,E07000064,90729,50,36720,0.0013616557734204796,123.54166666666669,351710,0.0001421625771231981
2011,E07000066,174971,1006,62378,0.016127480842604763,2821.841450511398,351710,0.002860311051718745
2011,E07000067,147514,638,48494,0.01315626675465006,1940.7335340454486,351710,0.0018139944840920078
2011,E07000068,73841,823,24621,0.03342674952276512,2468.2646115104994,351710,0.0023399960194478405
