year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000002,138368,10,58636,0.0001705436932942,23.597789753734904,169164,5.91142323425788e-05
2011,E06000003,135164,145,53255,0.002722749037649,368.0176509247958,169164,0.0008571563689673
2011,E06000004,191824,18,83384,0.0002158687517989,41.4088074450734,169164,0.0001064056182166
2011,E06000005,105584,8,43078,0.0001857096429732,19.607966943683557,169164,4.729138587406304e-05
2011,E06000010,256123,201,103054,0.0019504337531779,499.55094416519495,169164,0.0011881960700858
2011,E06000011,334673,28556,132701,0.2151905411413629,72018.46397540334,169164,0.168806601877468
2011,E06000013,167516,8,64098,0.0001248088863927,20.907485412961403,169164,4.729138587406304e-05
2011,E06000014,197783,59315,66439,0.8927738226041934,176575.48495612518,169164,0.3506360691400061
2011,E06000057,316278,8,149499,5.351206362584365e-05,16.92468845945458,169164,4.729138587406304e-05
2011,E07000163,55459,36,22684,0.0015870216892964,88.01463586669018,169164,0.0002128112364332
2011,E07000164,89602,4692,34953,0.1342374045146339,12027.939919320228,169164,0.0277363978151379
2011,E07000165,158683,3608,60099,0.0600342767766518,9526.419141749448,169164,0.0213284150292024
2011,E07000166,53287,77,20252,0.0038020936203831,202.6021627493581,169164,0.0004551795890378
2011,E07000167,51893,15896,18828,0.8442744848098577,43811.93584023794,169164,0.0939679837317632
2011,E07000168,108735,34842,44090,0.7902472215921977,85927.53163982762,169164,0.205965808328013
2011,E07000169,83547,19893,30399,0.6543965262015198,54672.86657455837,169164,0.117595942399092
2011,E08000016,231865,19,111476,0.0001704402741397,39.519134163407365,169164,0.0001123170414508
2011,E08000017,302468,43,121784,0.000353084148985,106.7966563752217,169164,0.000254191199073
2011,E08000018,257716,9,119697,7.518985438231535e-05,19.377628511992786,169164,5.320280910832092e-05
2011,E08000019,551756,8,199752,4.004966158035965e-05,22.09764107493292,169164,4.729138587406304e-05
2011,E08000032,523115,68,204794,0.000332040977763,173.69561608250245,169164,0.0004019767799295
2011,E08000033,204170,9,80304,0.0001120741183502,22.88217274357442,169164,5.320280910832092e-05
2011,E08000034,422970,24,159451,0.000150516459602,63.66394691786192,169164,0.0001418741576221
2011,E08000035,750683,1239,281107,0.0044075743400199,3308.691128289228,169164,0.0073242533872455
