year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000031,184457,104,67931,0.0015309652441447,282.39725603921624,86856,0.0011973841761075
2011,E07000009,84245,1337,28844,0.0463527943419775,3904.9911593398974,86856,0.0153932946486137
2011,E07000010,95461,13577,40454,0.3356157611113857,32038.216171453994,86856,0.1563162015289675
2011,E07000012,149842,8,49164,0.0001627206899357,24.382393621348957,86856,9.210647508519848e-05
2011,E07000136,64615,65,26375,0.0024644549763033,159.2407582938389,86856,0.0007483651100672
2011,E07000140,88390,6327,37118,0.1704563823481868,15066.639635756235,86856,0.0728447084830063
2011,E07000141,134125,9,52537,0.0001713078401888,22.97666406532539,86856,0.0001036197844708
2011,E07000143,131009,7438,48769,0.1525149172630154,19980.82679571039,86856,0.0856359952104632
2011,E07000144,124740,38,43176,0.0008801185843987,109.78599221789884,86856,0.0004375057566546
2011,E07000146,147936,54199,66061,0.8204386854573803,121372.41737182302,86856,0.6240098553928342
2011,E07000147,101664,3531,38767,0.0910826218175252,9259.823664456884,86856,0.0406534954407294
2011,E07000148,132158,107,44332,0.0024136064242533,318.97739781647573,86856,0.0012319241042645
2011,E07000149,124495,67,42001,0.0015952001142829,198.59443822766124,86856,0.0007713917288385
2011,E07000245,171481,49,61854,0.0007921880557441,135.8451999870663,86856,0.0005641521598968
2012,E06000031,186596,64,68123,0.0009394771222641,175.30267310599945,88216,0.000725491974245
2012,E07000009,85220,1566,28808,0.05435990002777,4632.550680366565,88216,0.0177518817448082
2012,E07000010,95975,13636,40858,0.3337412501835626,32030.81648636742,88216,0.1545751337625827
2012,E07000012,150906,8,48133,0.0001662061371616,25.081503334510625,88216,9.068649678062936e-05
2012,E07000136,64855,84,27123,0.0030970025439663,200.8560999889393,88216,0.0009522082161966
2012,E07000137,136651,9,58719,0.0001532723649925,20.94482194860267,88216,0.0001020223088782
2012,E07000140,88546,6438,37605,0.1712006382130036,15159.131711208616,88216,0.0729799582842114
2012,E07000141,135212,9,53231,0.0001690744115271,22.860889331404632,88216,0.0001020223088782
2012,E07000143,131857,7523,49276,0.1526706713207241,20130.69670833672,88216,0.0852793144100843
2012,E07000144,125173,24,43244,0.0005549902876699,69.46979927851262,88216,0.0002720594903418
2012,E07000146,148579,55171,67431,0.8181845145407899,121565.03698595602,88216,0.6254080892355128
2012,E07000147,101829,3496,38923,0.0898183593248208,9146.113711687176,88216,0.039629999093135
2012,E07000148,133867,97,44372,0.0021860632831515,292.6417335256468,88216,0.0010995737734651
2012,E07000149,125987,41,42447,0.0009659104294767,121.69215727848848,88216,0.0004647682960007
2012,E07000245,171468,50,62016,0.0008062435500515,138.24496904024767,88216,0.0005667906048789
2013,E06000031,188371,73,68194,0.0010704754083937,201.6465231545297,90596,0.0008057750894079
2013,E07000009,85942,1651,29436,0.056087783666259,4820.296303845631,90596,0.018223762638527
2013,E07000010,96617,14003,41832,0.3347437368521705,32341.935623446163,90596,0.1545653229723166
2013,E07000012,151188,20,48965,0.000408455018891,61.75349739609925,90596,0.0002207602984679
2013,E07000136,65831,89,27401,0.0032480566402686,213.82281668552244,90596,0.0009823833281822
2013,E07000137,136799,8,58923,0.0001357704122329,18.573256623050423,90596,8.830411938716941e-05
2013,E07000140,89184,6607,37770,0.1749271908922425,15600.706592533756,90596,0.0729281645988785
2013,E07000141,136612,12,53394,0.0002247443532981,30.702775592763235,90596,0.0001324561790807
2013,E07000143,132995,7701,50480,0.1525554675118859,20289.114401743263,90596,0.0850037529250739
2013,E07000144,125499,32,43933,0.000728381854187,91.41119431862153,90596,0.0003532164775486
2013,E07000146,149187,56709,69190,0.8196126607891314,122275.55402514814,90596,0.6259547882908738
2013,E07000147,102079,3522,39472,0.0892278070531009,9108.28531617349,90596,0.0388758885602013
2013,E07000148,135118,69,45306,0.0015229770891272,205.7816183286982,90596,0.0007616230297143
2013,E07000149,127682,47,43569,0.0010787486515641,137.73678532901832,90596,0.0005187867013996
2013,E07000245,171679,53,64380,0.0008232370301335,141.3325100963032,90596,0.0005850147909399
2014,E06000031,190493,67,68904,0.0009723673516776,185.22917392313943,93191,0.0007189535470163
2014,E07000009,87045,1728,30307,0.0570165308344606,4963.003926485631,93191,0.0185425631230483
2014,E07000010,97591,14442,43048,0.3354859691507155,32740.411215387478,93191,0.154972046656866
2014,E07000011,173883,9,66652,0.0001350297065354,23.479370461501528,93191,9.657584959921024e-05
2014,E07000012,152932,26,49879,0.0005212614527155,79.71755648669782,93191,0.0002789968988421
