year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000002,138368,30,58636,0.0005116310798826,70.79336926120472,297417,0.000100868477592
2011,E06000003,135164,47,53255,0.0008825462397896,119.28847995493382,297417,0.0001580272815609
2011,E06000004,191824,8,83384,9.594166746618056e-05,18.40391442003262,297417,2.6898260691218052e-05
2011,E06000005,105584,18,43078,0.0004178466966897,44.11792562328799,297417,6.052108655524062e-05
2011,E06000008,147657,8,62348,0.0001283120549175,18.946173092962084,297417,2.6898260691218052e-05
2011,E06000010,256123,624,103054,0.0060550779203136,1550.8447221844858,297417,0.002098064333915
2011,E06000011,334673,1730,132701,0.013036827152772,4363.074053699671,297417,0.0058167488744759
2011,E06000012,159735,335,56574,0.0059214480149892,945.8624986743026,297417,0.0011263646664447
2011,E06000013,167516,486,64098,0.0075821398483572,1270.1297388374053,297417,0.0016340693369914
2011,E06000014,197783,3219,66439,0.0484504583151462,9582.676996944563,297417,0.0108231876456288
2011,E06000047,512994,8,231893,3.449866964505181e-05,17.69761053589371,297417,2.6898260691218052e-05
2011,E07000033,76029,20,30344,0.0006591088847877,50.11138940152914,297417,6.724565172804513e-05
2011,E07000034,103788,45,43118,0.0010436476645484,108.31810380815436,297417,0.0001513027163881
2011,E07000035,71104,17,26106,0.0006511912970198,46.30230598329886,297417,5.7158803968838366e-05
2011,E07000038,99100,38,39210,0.0009691405253761,96.0418260647794,297417,0.0001277667382832
2011,E07000117,87032,8,39033,0.0002049547818512,17.837624574078344,297417,2.6898260691218052e-05
2011,E07000118,107591,8,43171,0.0001853095828218,19.937643325380463,297417,2.6898260691218052e-05
2011,E07000120,80549,16,35237,0.0004540681669835,36.57473678235945,297417,5.379652138243611e-05
2011,E07000122,89576,479,38338,0.0124941311492513,1119.174291825343,297417,0.0016105333588866
2011,E07000124,57292,21,20821,0.0010085970894769,57.78454445031458,297417,7.06079343144474e-05
2011,E07000125,68053,13,29887,0.0004349717268377,29.601130926489777,297417,4.370967362322934e-05
2011,E07000137,136683,57,58716,0.0009707745759247,132.68838136112814,297417,0.0001916501074249
2011,E07000142,89352,54,35278,0.0015306990192187,136.7710187652361,297417,0.0001815632596657
2011,E07000163,55459,1226,22684,0.0540469053077058,2997.38732146006,297417,0.0041221584509291
2011,E07000164,89602,582,34953,0.0166509312505364,1491.9567419105658,297417,0.0019568484652861
2011,E07000165,158683,5357,60099,0.0891362585067971,14144.408908634086,297417,0.0180117478153568
2011,E07000166,53287,171,20252,0.0084436105076041,449.9346731187043,297417,0.0005749503222747
2011,E07000167,51893,699,18828,0.0371255576800509,1926.556564690886,297417,0.0023502355278951
