year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000035,264885,147,99212,0.0014816756037576,392.4736423013345,140817,0.0010439080508745
2011,E06000043,272952,663,87037,0.0076174500499787,2079.1982260417985,140817,0.0047082383519035
2011,E07000061,99308,35286,40047,0.8811146902389692,87501.73765825154,140817,0.2505805407017618
2011,E07000062,90173,31996,36006,0.8886296728323058,80130.40348830751,140817,0.2272168843250459
2011,E07000063,97584,9456,35106,0.2693556656981712,26284.803281490345,140817,0.0671509831909499
2011,E07000064,90729,30860,36720,0.8404139433551199,76249.91666666667,140817,0.2191496765305325
2011,E07000065,149415,29821,56293,0.5297461496100758,79152.02094398948,140817,0.21177130602129
2011,E07000105,118405,383,38958,0.0098311001591457,1164.051414343652,140817,0.0027198420645234
2011,E07000106,150600,21,52154,0.0004026536794876,60.63964413084327,140817,0.0001491297215535
2011,E07000110,155764,94,47534,0.0019775318719232,308.02827449825384,140817,0.0006675330393347
2011,E07000111,115351,59,33141,0.0017802721704233,205.356175130503,140817,0.0004189835034122
2011,E07000112,108199,152,39104,0.003887070376432,420.5771276595744,140817,0.0010794151274348
2011,E07000115,121087,82,37881,0.0021646735830627,262.1138301523191,140817,0.0005823160555898
2011,E07000116,115246,1406,38118,0.03688546093709,4250.901831155884,140817,0.0099845899287728
2011,E07000215,83178,43,29248,0.0014701859956236,122.28713074398247,140817,0.000305360858419
2011,E07000223,61334,29,24872,0.0011659697651978,71.51358957864265,140817,0.00020594104405
2011,E07000227,131540,28,45394,0.0006168216063796,81.13671410318545,140817,0.000198839628738
2011,E07000228,140188,274,44892,0.0061035373785975,855.6426980308296,140817,0.0019457877955076
2011,E07000229,104998,8,39714,0.0002014402981316,21.150828423226063,140817,5.681132249657357e-05
2011,E09000008,364815,9,136880,6.57510227936879e-05,23.98695938047925,140817,6.391273780864527e-05
2012,E06000035,268130,142,99850,0.0014221331997996,381.3165748622934,140160,0.0010131278538812
2012,E06000043,275724,664,88647,0.0074903832052974,2065.2784188974247,140160,0.0047374429223744
2012,E07000061,99901,35557,40516,0.877603909566591,87673.508169612,140160,0.2536886415525114
2012,E07000062,90377,31436,35671,0.8812761066412492,79647.09068991618,140160,0.2242865296803653
2012,E07000063,98695,9584,36356,0.2636153592254373,26017.517878754537,140160,0.0683789954337899
2012,E07000064,91065,30235,36343,0.8319346228984948,75760.12643425143,140160,0.2157177511415525
2012,E07000065,151050,30248,57145,0.5293201504943564,79953.80873217253,140160,0.215810502283105
2012,E07000105,120128,347,40317,0.0086067911798992,1033.916610858943,140160,0.0024757420091324
2012,E07000106,153223,20,53795,0.0003717817641044,56.96551724137931,140160,0.0001426940639269
2012,E07000110,157368,85,50236,0.0016920136953579,266.2688112110837,140160,0.0006064497716894
2012,E07000111,116306,41,34701,0.0011815221463358,137.41811475173628,140160,0.0002925228310502
2012,E07000112,108611,147,40817,0.0036014405762304,391.15606242497,140160,0.001048801369863
2012,E07000115,122030,39,38784,0.0010055693069306,122.70962252475248,140160,0.0002782534246575
2012,E07000116,115796,1224,37771,0.0324058139842736,3752.463636122952,140160,0.0087328767123287
2012,E07000215,83642,35,29912,0.0011700989569403,97.86941695640546,140160,0.0002497146118721
2012,E07000223,61970,47,24817,0.0018938630777289,117.36269492686463,140160,0.0003353310502283
2012,E07000226,108234,8,38928,0.0002055076037813,22.24290998766954,140160,5.7077625570776254e-05
2012,E07000227,132267,36,46463,0.0007748100639218,102.48180272474872,140160,0.0002568493150684
2012,E07000228,141260,257,46583,0.0055170341111564,779.3362385419573,140160,0.0018336187214611
2012,E07000229,105774,8,39406,0.0002030147693244,21.47368421052632,140160,5.7077625570776254e-05
2013,E06000035,270689,108,102030,0.0010585122022934,286.5276095266098,141304,0.0007643095736851
2013,E06000043,277991,594,90245,0.0065820821098121,1829.7595877887973,141304,0.004203702655268
2013,E07000061,100363,36285,41544,0.8734113229347198,87658.18060369728,141304,0.2567867859367038
2013,E07000062,90906,32021,36302,0.8820726130791692,80185.69296457495,141304,0.2266107116571364
2013,E07000063,99626,9432,37939,0.2486096101636838,24767.98102216716,141304,0.0667497027684991
2013,E07000064,91232,30103,36599,0.8225088117161671,75039.12391048936,141304,0.2130371397837287
2013,E07000065,152777,30707,58801,0.5222190098807843,79783.05367255658,141304,0.2173116118439676
2013,E07000105,121684,339,43223,0.007843046526155,954.373273488652,141304,0.0023990828285115
2013,E07000106,154941,20,56422,0.0003544716599907,54.92219347063202,141304,0.0001415388099416
2013,E07000110,159230,72,54507,0.0013209312565358,210.33188397820464,141304,0.00050953971579
2013,E07000111,116889,31,39544,0.0007839368804369,91.63359801739834,141304,0.0002193851554096
2013,E07000112,108767,129,42958,0.003002933097444,326.6200242096932,141304,0.0009129253241238
2013,E07000115,123171,19,41736,0.000455242476519,56.07267107533065,141304,0.0001344618694446
2013,E07000116,116094,1023,39419,0.0259519521043151,3012.8659275983664,141304,0.0072397101285172
2013,E07000215,84616,25,31043,0.0008053345359662,68.1441870953194,141304,0.0001769235124271
2013,E07000223,62605,34,25716,0.0013221340799502,82.77220407528387,141304,0.0002406159769008
2013,E07000224,153013,41,64199,0.0006386392311406,97.72010467452763,141304,0.0002901545603804
2013,E07000226,108953,25,40132,0.0006229442838632,67.87164855975283,141304,0.0001769235124271
2013,E07000227,133173,28,47879,0.0005848075356628,77.88057394682428,141304,0.0001981543339183
2013,E07000228,142983,268,48945,0.0054755337623863,782.9082439472878,141304,0.0018966200532185
2014,E06000035,273212,79,103273,0.0007649627685842,208.9970079304368,142799,0.0005532251626411
2014,E06000043,280650,531,92198,0.0057593440204776,1616.3598993470575,142799,0.003718513434968
2014,E07000061,101340,36983,42515,0.8698812183935082,88153.76267199812,142799,0.2589864074678394
2014,E07000062,91360,33158,37710,0.879289313179528,80331.87165208168,142799,0.2322005056057815
2014,E07000063,100428,9111,39466,0.230856940151016,23184.50078548624,142799,0.0638029678078978
2014,E07000064,92370,30363,37281,0.8144363080389474,75229.48177355758,142799,0.2126275394085392
2014,E07000065,155005,30755,60578,0.5076925616560467,78694.88551949552,142799,0.2153726566712652
2014,E07000105,123159,311,45942,0.0067694049018327,833.713138304819,142799,0.0021778863997647
2014,E07000106,157044,12,58403,0.0002054688971456,32.26765748334846,142799,8.403420192018152e-05
2014,E07000110,161510,69,58753,0.0011744081153302,189.67865470699368,142799,0.000483196661041
