year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,female,0-4,2852,0.0327695560253699,0.0001326464748292,0.0023601816443594,7.734210462488732e-05
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,male,0-4,3032,0.0348377608236051,0.0001410182719783,0.0023601816443594,8.222344362645804e-05
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,female,0-4,3125,0.0348865767616325,0.0072170024596094,0.1184721558317399,0.00413308795854
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,male,0-4,3257,0.0363601857640439,0.0075218486435033,0.1184721558317399,0.0043076695939088
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,female,0-4,1364,0.0238078614815332,0.0003270279229488,0.0042722275334608,0.0001017126013342
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,male,0-4,1466,0.0255882147594777,0.0003514830902075,0.0042722275334608,0.0001093186756275
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,female,0-4,1202,0.0216736688364377,0.0145430661858322,0.2273691443594646,0.0049279235384712
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,male,0-4,1316,0.0237292414215907,0.0159223586527081,0.2273691443594646,0.0053952973183262
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,female,0-4,4239,0.0267136366214402,6.222914070120355e-05,0.0020913001912045,5.586623337418786e-05
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,male,0-4,4477,0.0282134822255692,6.572301555066956e-05,0.0020913001912045,5.900286077288018e-05
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,female,0-4,20155,0.0385288129761142,0.0080408677334254,0.6384440726577438,0.0245984922711389
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,male,0-4,20923,0.0399969413991187,0.0083472624949868,0.6384440726577438,0.0255358101607064
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,female,0-4,6416,0.031424793064603,1.5261592567238467e-05,0.0005825764818355,1.8307345385987063e-05
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,male,0-4,6470,0.0316892785423911,1.5390041133109868e-05,0.0005825764818355,1.8461428405133462e-05
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,female,0-4,13997,0.0330921814785918,3.943226747359661e-06,0.0002838193116634,9.3922001686969e-06
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,male,0-4,14401,0.0340473319620776,4.05704139377913e-06,0.0002838193116634,9.663290321454887e-06
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,female,0-4,23618,0.0314620152581049,4.588795816476655e-05,0.0061245219885277,0.0001926898042516
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,male,0-4,24513,0.0326542628512967,4.762687435400637e-05,0.0061245219885277,0.0001999917508519
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,female,5-9,2505,0.0287825167754389,0.000116507510325,0.0023601816443594,6.79319677718593e-05
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,male,5-9,2664,0.0306094310138799,0.0001239025978068,0.0023601816443594,7.224381722324678e-05
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,female,5-9,2732,0.0304992408680896,0.0063093922302889,0.1184721558317399,0.003613310816874
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,male,5-9,2755,0.0307560060730552,0.0063625093683917,0.1184721558317399,0.0036437303442489
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,female,5-9,1525,0.0266180269496613,0.0003656287261708,0.0042722275334608,0.0001137182676207
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,male,5-9,1581,0.0275954758081407,0.0003790550925089,0.0042722275334608,0.0001178941515464
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,female,5-9,1263,0.0227735804828792,0.0152811086461781,0.2273691443594646,0.0051780095083936
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,male,5-9,1425,0.0256946573144124,0.0172411558359492,0.2273691443594646,0.0058421722481876
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,female,5-9,4324,0.027249295765772,6.347695314744141e-05,0.0020913001912045,5.698645744514941e-05
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,male,5-9,4410,0.02779125678239,6.47394457401056e-05,0.0020913001912045,5.811986062282814e-05
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,female,5-9,18494,0.0353536029362568,0.0073782092712463,0.6384440726577438,0.0225712982417485
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,male,5-9,19154,0.0366152757997763,0.0076415172694631,0.6384440726577438,0.0233768058030957
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,female,5-9,5984,0.029308909242298,1.42340040402673e-05,0.0005825764818355,1.7074681232815868e-05
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,male,5-9,6028,0.0295244159279032,1.4338665834681031e-05,0.0005825764818355,1.7200230359527746e-05
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,female,5-9,12908,0.0305175307941461,3.6364342969863914e-06,0.0002838193116634,8.661464583663614e-06
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,male,5-9,13239,0.0313000922051209,3.729683425612242e-06,0.0002838193116634,8.883570624660876e-06
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,female,5-9,19936,0.0265571486233203,3.873411524992743e-05,0.0061245219885277,0.0001626498406961
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,male,5-9,20909,0.0278533015933489,4.062457944225183e-05,0.0061245219885277,0.0001705881580615
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,female,10-14,2397,0.0275415938964978,0.0001114844320356,0.0023601816443594,6.500316437091686e-05
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,male,10-14,2631,0.0302302601342035,0.0001223677683294,0.0023601816443594,7.134890507295881e-05
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,female,10-14,2568,0.0286683933196391,0.0059306439412086,0.1184721558317399,0.0033964063608099
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,male,10-14,2765,0.0308676431186925,0.0063856037762624,0.1184721558317399,0.0036569562257162
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,female,10-14,1848,0.0322558123298191,0.0004430700891565,0.0042722275334608,0.0001378041695495
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,male,10-14,1949,0.0340187111638623,0.0004672854998734,0.0042722275334608,0.0001453356744871
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,female,10-14,1614,0.0291025802845345,0.0195278775573487,0.2273691443594646,0.0066170287779472
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,male,10-14,1715,0.0309237454696262,0.0207498822867739,0.2273691443594646,0.0070311055478187
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,female,10-14,4528,0.0285348777121682,6.647170301841228e-05,0.0020913001912045,5.96749952154571e-05
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,male,10-14,4805,0.0302804963354612,7.053810357850509e-05,0.0020913001912045,6.332560777612001e-05
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,female,10-14,17838,0.0340995765749405,0.0071164970790792,0.6384440726577438,0.0217706725444096
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,male,10-14,18377,0.0351299427468147,0.0073315319442896,0.6384440726577438,0.0224285037195097
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,female,10-14,6132,0.0300337953666062,1.4586048257840756e-05,0.0005825764818355,1.749698284084674e-05
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,male,10-14,6410,0.0313954057892932,1.524732050436387e-05,0.0005825764818355,1.8290225050526357e-05
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,female,10-14,12949,0.0306144643828167,3.647984793281435e-06,0.0002838193116634,8.688976208077173e-06
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,male,10-14,13129,0.0310400264794193,3.6986942892109017e-06,0.0002838193116634,8.809758949404988e-06
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,female,10-14,19595,0.0261028956297132,3.807157846721147e-05,0.0061245219885277,0.0001598677582484
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,male,10-14,20367,0.0271312924363546,3.95715151131256e-05,0.0061245219885277,0.0001661661971036
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,female,15-19,2786,0.0320112142660171,0.0001295768158745,0.0023601816443594,7.555228032431138e-05
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,male,15-19,2787,0.0320227042926739,0.0001296233258586,0.0023601816443594,7.55793988743201e-05
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,female,15-19,2763,0.030845315709565,0.0063809848946883,0.1184721558317399,0.0036543110494228
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,male,15-19,2736,0.0305438956863445,0.0063186299934372,0.1184721558317399,0.003618601169461
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,female,15-19,1717,0.0299692801787335,0.0004116619821871,0.0042722275334608,0.0001280355839375
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,male,15-19,1905,0.0332507156321999,0.0004567362120363,0.0042722275334608,0.0001420546228311
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,female,15-19,1629,0.0293730503615283,0.0197093634082535,0.2273691443594646,0.0066785253279281
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,male,15-19,1641,0.0295894264231233,0.0198545520889773,0.2273691443594646,0.0067277225679128
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,female,15-19,4630,0.0291776686853664,6.796907795389772e-05,0.0020913001912045,6.101926410061095e-05
2011,E07000165,158683,66944,140,60099,0.0023294896753689,369.650410156575,male,15-19,5204,0.0327949433776775,7.639548200260988e-05,0.0020913001912045,6.858407135628065e-05
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,female,15-19,17457,0.0333712472400906,0.0069644965528358,0.6384440726577438,0.0213056749976319
2011,E08000032,523115,66944,42740,204794,0.208697520435169,109172.80340244345,male,15-19,18074,0.0345507202049262,0.0072106496360174,0.6384440726577438,0.0220587025208913
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,female,15-19,6283,0.0307733751285693,1.4945228506851514e-05,0.0005825764818355,1.792784461660797e-05
2011,E08000033,204170,66944,39,80304,0.0004856545128511,99.15608188882248,male,15-19,6511,0.0318900915903413,1.5487566896086297e-05,0.0005825764818355,1.857841736411499e-05
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,female,15-19,13383,0.031640541882403,3.770251022355815e-06,0.0002838193116634,8.980196817723129e-06
2011,E08000034,422970,66944,19,159451,0.0001191588638515,50.40062464330735,male,15-19,14010,0.033122916518902,3.946889099843456e-06,0.0002838193116634,9.400923366681687e-06
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,female,15-19,25644,0.0341608908154307,4.982432039873289e-05,0.0061245219885277,0.0002092191269468
2011,E08000035,750683,66944,410,281107,0.0014585193538403,1094.8856840989374,male,15-19,25274,0.0336680063355637,4.910543884563933e-05,0.0061245219885277,0.000206200445112
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,female,20-24,2863,0.0328959463185954,0.0001331580846549,0.0023601816443594,7.76404086749833e-05
2011,E07000117,87032,66944,158,39033,0.0040478569415622,352.2930853380473,male,20-24,2645,0.0303911205073995,0.0001230189081077,0.0023601816443594,7.172856477308098e-05
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,female,20-24,2895,0.0323189247119764,0.0066858310785822,0.1184721558317399,0.0038288926847915
2011,E07000122,89576,66944,7931,38338,0.206870467943033,18530.629036465125,male,20-24,2743,0.0306220416182906,0.0063347960789468,0.1184721558317399,0.0036278592864881
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,female,20-24,1295,0.0226035048523354,0.000310484721568,0.0042722275334608,9.656731578286218e-05
2011,E07000124,57292,66944,286,20821,0.0137361317900196,786.9704625138082,male,20-24,1430,0.0249598547790267,0.0003428518547044,0.0042722275334608,0.0001066341788181
2011,E07000163,55459,66944,15221,22684,0.6710015870216893,37213.07701463587,female,20-24,1189,0.0214392614363764,0.0143857784483814,0.2273691443594646,0.0048746265284877
