year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ltla_frac_tp,ag_ltla_frac_tp
2011,E06000026,256589,174295,25,91998,0.00027174503793560734,69.72678753885954,female,0-4,7528,0.029338747958797918,7.972659177046763e-06,0.00014343498092314754,4.2082027537792135e-06
2011,E06000026,256589,174295,25,91998,0.00027174503793560734,69.72678753885954,male,0-4,7848,0.030585878584039067,8.311560736113575e-06,0.00014343498092314754,4.387084911219351e-06
2011,E06000030,209709,174295,9,70118,0.00012835505861547676,26.917210987193016,female,0-4,6918,0.03298856987539877,4.2342498199975605e-06,5.1636593132333117e-05,1.7034173606735072e-06
2011,E06000030,209709,174295,9,70118,0.00012835505861547676,26.917210987193016,male,0-4,7244,0.034543104969266936,4.433782263090824e-06,5.1636593132333117e-05,1.7836882568255108e-06
2011,E06000036,113696,174295,94,39743,0.0023651963867850944,268.9133683919181,female,0-4,3997,0.035155150576977205,8.314883512155241e-05,0.0005393155282710346,1.8959718604870232e-05
2011,E06000036,113696,174295,94,39743,0.0023651963867850944,268.9133683919181,male,0-4,4081,0.03589396284829721,8.489627123619097e-05,0.0005393155282710346,1.9358171535270305e-05
2011,E06000037,154148,174295,197,48005,0.004103739193833975,632.5831892511196,female,0-4,4913,0.031871967200352916,0.00013079424098467915,0.0011302676496744025,3.602385345804253e-05
2011,E06000037,154148,174295,197,48005,0.004103739193833975,632.5831892511196,male,0-4,5185,0.03363650517684304,0.00013803544463781022,0.0011302676496744025,3.801825364949125e-05
2011,E06000038,155339,174295,33,47360,0.0006967905405405406,108.23874577702705,female,0-4,5887,0.0378977590946253,2.640680004481915e-05,0.00018933417481855477,7.175340945653259e-06
2011,E06000038,155339,174295,33,47360,0.0006967905405405406,108.23874577702705,male,0-4,6089,0.03919814084035561,2.7312893744335625e-05,0.00018933417481855477,7.42154765043022e-06
2011,E06000041,154943,174295,62,45390,0.0013659396342806786,211.6427847543512,female,0-4,4845,0.031269563645985946,4.2712336330714446e-05,0.00035571875268940585,1.1123170177292112e-05
2011,E06000041,154943,174295,62,45390,0.0013659396342806786,211.6427847543512,male,0-4,5233,0.033773710332186666,4.613284953944864e-05,0.00035571875268940585,1.2013942113058744e-05
2011,E06000044,205433,174295,2294,68264,0.033604828313606006,6903.540694949021,female,0-4,6630,0.032273295916430175,0.0010845385683858377,0.01316159384950802,0.0004247680130370397
2011,E06000044,205433,174295,2294,68264,0.033604828313606006,6903.540694949021,male,0-4,6958,0.033869923527378755,0.0011381929651325276,0.01316159384950802,0.00044578217718125516
2011,E06000045,235870,174295,66766,71309,0.936291351722784,220843.04113085306,female,0-4,7491,0.03175901979904185,0.02973569557703555,0.3830631974525948,0.012165711672181232
2011,E06000045,235870,174295,66766,71309,0.936291351722784,220843.04113085306,male,0-4,8024,0.034018739135964725,0.03185145124951719,0.3830631974525948,0.013031326986728368
2011,E06000046,138392,174295,3798,7500,0.5064,70081.7088,female,0-4,3114,0.022501300653216948,0.011394658650789062,0.021790642301844573,0.0004903177938605121
2011,E06000046,138392,174295,3798,7500,0.5064,70081.7088,male,0-4,3308,0.023903115787039717,0.01210453783455691,0.021790642301844573,0.0005208642460149566
2011,E06000054,474319,174295,3350,159574,0.02099339491395841,9957.566082193842,female,0-4,14036,0.029591899122742286,0.0006212344245377483,0.01922028744370177,0.000568764807144133
2011,E06000054,474319,174295,3350,159574,0.02099339491395841,9957.566082193842,male,0-4,14478,0.030523761434814962,0.0006407973780605245,0.01922028744370177,0.0005866754686401224
2011,E06000058,379441,174295,4070,170379,0.023887920459681064,9064.056427141844,female,0-4,10221,0.0269369941571944,0.0006434687738499532,0.02335121489428842,0.0006290115391708379
2011,E06000058,379441,174295,4070,170379,0.023887920459681064,9064.056427141844,male,0-4,10754,0.028341692120777667,0.0006770240870739065,0.02335121489428842,0.0006618129431800403
2011,E06000059,365897,174295,3962,153828,0.02575603921262709,9424.057479782614,female,0-4,8486,0.023192319149924704,0.0005973422814572228,0.022731575776700427,0.0005271979601939338
2011,E06000059,365897,174295,3962,153828,0.02575603921262709,9424.057479782614,male,0-4,8776,0.02398489192313684,0.0006177558168829352,0.022731575776700427,0.000545214388246755
2011,E06000060,506550,174295,9,163754,5.496048951475995e-05,27.840235963701648,female,0-4,15662,0.030918961603000686,1.6993212649889847e-06,5.1636593132333117e-05,1.596549840368377e-06
2011,E06000060,506550,174295,9,163754,5.496048951475995e-05,27.840235963701648,male,0-4,16256,0.032091600039482776,1.763770047481863e-06,5.1636593132333117e-05,1.6571008942043374e-06
2011,E07000040,133272,174295,22,51603,0.00042633180241458834,56.81809197139701,female,0-4,2842,0.021324809412329667,9.091444432906087e-06,0.00012622278321236982,2.6916767954975914e-06
2011,E07000040,133272,174295,22,51603,0.00042633180241458834,56.81809197139701,male,0-4,3059,0.02295305840686716,9.785618761526997e-06,0.00012622278321236982,2.8971989153508563e-06
2011,E07000084,168550,174295,1920,60158,0.03191595465274776,5379.434156720636,female,0-4,5568,0.033034707801839217,0.001054334236170273,0.011015806534897732,0.0003639039500819375
2011,E07000084,168550,174295,1920,60158,0.03191595465274776,5379.434156720636,male,0-4,5860,0.03476713141501038,0.0011096261896475935,0.011015806534897732,0.00038298799344111957
