year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,female,0-4,6052,0.0382389364874769,2.2791371930921827e-05,0.0002668779450398,1.020512879028616e-05
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,male,0-4,6045,0.0381947077109712,2.276501046305725e-05,0.0002668779450398,1.01933251053007e-05
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,female,0-4,8465,0.0319572644732619,0.0250763318877096,0.6492640006671948,0.0207487013822896
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,male,0-4,8819,0.0332936934896275,0.0261250054244194,0.6492640006671948,0.0216163966320629
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,female,0-4,3845,0.0324732908238672,6.168241493316328e-05,0.0006171552479045,2.0041061848681667e-05
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,male,0-4,3901,0.0329462438241628,6.258078040423146e-05,0.0006171552479045,2.033294727482632e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,female,0-4,3670,0.0243691899070385,8.877835031516888e-05,0.0015845877986739,3.86151209902616e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,male,0-4,3853,0.0255843293492695,9.32051726878326e-05,0.0015845877986739,4.054061612410843e-05
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,female,0-4,3402,0.0348551288881603,0.0016511842191536,0.0133689170593386,0.0004659753271983
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,male,0-4,3382,0.0346502192533092,0.001641477080887,0.0133689170593386,0.0004632359072853
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,female,0-4,3039,0.027202420379885,5.430031265790367e-06,6.67194862599558e-05,1.8149315127732836e-06
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,male,0-4,3200,0.0286435489357131,5.717703208466329e-06,6.67194862599558e-05,1.911082869652684e-06
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,female,0-4,3262,0.0320539276379144,0.0026766209911864,0.0248696885033985,0.0007971711956654
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,male,0-4,3401,0.0334198062221174,0.0027906768825951,0.0248696885033985,0.0008311401705879
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,female,0-4,4663,0.0299363139107881,0.0017243578804169,0.0228347441724698,0.0006835880696195
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,male,0-4,5001,0.0321062633214349,0.0018493488655297,0.0228347441724698,0.0007331383092789
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,female,0-4,3413,0.0295879532903919,0.0006169178879231,0.0057628956257036,0.0001705122865907
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,male,0-4,3631,0.0314778372099071,0.0006563225464544,0.0057628956257036,0.0001814034903635
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,female,0-4,4218,0.0309409935154484,0.0187079595312577,0.2581460322755515,0.0079872947106765
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,male,0-4,4549,0.0333690325988087,0.0201760331692013,0.2581460322755515,0.008614083366256
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,female,0-4,3932,0.0292555170309965,1.7253981469111226e-05,0.0002585380092573,7.563663132987727e-06
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,male,0-4,4201,0.0312569753426288,1.843437847195734e-05,0.0002585380092573,8.081116180488667e-06
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,female,0-4,3493,0.0288470273439758,0.0015451180929998,0.0169217297026812,0.0004881415994406
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,male,0-4,3960,0.0327037584546648,0.0017516941449411,0.0169217297026812,0.0005534041608316
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,female,0-4,3565,0.0309338285059785,9.49487888976202e-05,0.0009757724865518,3.0184378759847265e-05
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,male,0-4,3729,0.0323568713881609,9.931669952292446e-05,0.0009757724865518,3.1572944851464364e-05
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,female,0-4,7472,0.0320998049610351,0.0005356702528849,0.0047537633960218,0.0001525948778432
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,male,0-4,7805,0.033530377103972,0.000559543137549,0.0047537633960218,0.0001593954793316
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,female,0-4,9886,0.0318334331549424,1.6362376029863565e-05,0.0001584587798673,5.044286976722461e-06
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,male,0-4,10303,0.0331761948002601,1.7052555152304707e-05,0.0001584587798673,5.257059348692244e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,female,0-4,10288,0.0402688241487691,2.2277371444135765e-05,0.0001501188440849,6.045109333871361e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,male,0-4,10807,0.0423002704680937,2.340120073841128e-05,0.0001501188440849,6.350067707148892e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,female,5-9,5035,0.0318131271008668,1.8961427242596065e-05,0.0002668779450398,8.490221985970062e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,male,5-9,5238,0.0330957616195314,1.972590981066896e-05,0.0002668779450398,8.832528850548399e-06
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,female,5-9,7996,0.030186684787738,0.0236869875693001,0.6492640006671948,0.0195991277321663
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,male,5-9,8140,0.0307303169299884,0.0241135666350804,0.6492640006671948,0.0199520885117351
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,female,5-9,3630,0.0306574891263037,5.8233333213883673e-05,0.0006171552479045,1.892043030187632e-05
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,male,5-9,3788,0.0319918922342806,6.076800722154031e-05,0.0006171552479045,1.974396418278444e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,female,5-9,3666,0.0243426294820717,8.86815891704112e-05,0.0015845877986739,3.857303366493162e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,male,5-9,3911,0.0259694555112881,9.460820928681893e-05,0.0015845877986739,4.115088234139322e-05
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,female,5-9,2888,0.0295889512724888,0.0014017107657012,0.0133689170593386,0.0003955722354347
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,male,5-9,3119,0.0319556575550182,0.0015138282126808,0.0133689170593386,0.0004272125354296
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,female,5-9,2901,0.0259671673320324,5.183455314925256e-06,6.67194862599558e-05,1.7325160640195114e-06
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,male,5-9,2987,0.0267369627096797,5.337118588652789e-06,6.67194862599558e-05,1.7838764161414272e-06
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,female,5-9,2987,0.0293516498634121,0.0024509708463133,0.0248696885033985,0.0007299663891638
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,male,5-9,3273,0.0321620187488945,0.0026856469969814,0.0248696885033985,0.0007998593879254
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,female,5-9,4268,0.0274004262859197,0.0015782885339093,0.0228347441724698,0.0006256817244555
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,male,5-9,4528,0.0290696181402634,0.0016744354455345,0.0228347441724698,0.0006637972934243
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,female,5-9,3426,0.0297006527901795,0.0006192677070098,0.0057628956257036,0.000171161762045
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,male,5-9,3508,0.0304115265580705,0.0006340896427876,0.0057628956257036,0.0001752584533724
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,female,5-9,3904,0.0286376573457351,0.017315285445716,0.2581460322755515,0.0073926976174683
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,male,5-9,4112,0.0301634341715325,0.0182378211456927,0.2581460322755515,0.0077865708511859
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,female,5-9,3494,0.0259966369548072,1.533199675815733e-05,0.0002585380092573,6.721118765681363e-06
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,male,5-9,3836,0.0285412419458043,1.6832724546162428e-05,0.0002585380092573,7.378995874400032e-06
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,female,5-9,3769,0.0311263802059676,0.0016672058667381,0.0169217297026812,0.0005267121924682
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,male,5-9,3943,0.0325633635320059,0.001744174245834,0.0169217297026812,0.0005510284358987
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,female,5-9,3405,0.0295454939867761,9.068741267781116e-05,0.0009757724865518,2.882968013387937e-05
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,male,5-9,3594,0.0311854641375839,9.572116333746058e-05,0.0009757724865518,3.0429917885803947e-05
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,female,5-9,6893,0.0296124137575502,0.0004941615435138,0.0047537633960218,0.0001407704085884
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,male,5-9,7180,0.0308453693281895,0.0005147366723385,0.0047537633960218,0.0001466315876491
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,female,5-9,9029,0.0290738486704405,1.4943950351369424e-05,0.0001584587798673,4.607006586367297e-06
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,male,5-9,9238,0.029746839519053,1.52898674654946e-05,0.0001584587798673,4.713647895100354e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,female,5-9,8052,0.0315167741102147,1.7435594368991174e-05,0.0001501188440849,4.731261698710362e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,male,5-9,8406,0.0329023848944939,1.820213689341031e-05,0.0001501188440849,4.939267987997925e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,female,10-14,4850,0.0306442237217883,1.8264731306174963e-05,0.0002668779450398,8.17826745421148e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,male,10-14,5067,0.0320153157934642,1.908193680997701e-05,0.0002668779450398,8.544181688760735e-06
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,female,10-14,8078,0.030496253090964,0.023929900648425,0.6492640006671948,0.0198001192871985
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,male,10-14,8599,0.0324631443834116,0.0254732874072551,0.6492640006671948,0.0210771509966106
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,female,10-14,3881,0.0327773320383429,6.225993559313568e-05,0.0006171552479045,2.0228702479774658e-05
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,male,10-14,3968,0.0335120983066593,6.365561052140233e-05,0.0006171552479045,2.068216733824938e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,female,10-14,4056,0.0269322709163346,9.811580078428474e-05,0.0015845877986739,4.267654788460519e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,male,10-14,4294,0.0285126162018592,0.0001038730888973,0.0015845877986739,4.518074374173932e-05
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,female,10-14,2882,0.0295274783820335,0.0013987986242212,0.0133689170593386,0.0003947504094608
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,male,10-14,2988,0.0306134994467439,0.0014502464570344,0.0133689170593386,0.0004092693349996
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,female,10-14,3223,0.0288494244436885,5.758799200277181e-06,6.67194862599558e-05,1.9248187777783128e-06
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,male,10-14,3335,0.0298519486564385,5.958918812573502e-06,6.67194862599558e-05,1.9917066782161567e-06
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,female,10-14,3130,0.0307568343061533,0.0025683089216473,0.0248696885033985,0.0007649128885446
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,male,10-14,3357,0.032987441778197,0.0027545728594154,0.0248696885033985,0.0008203874015477
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,female,10-14,4545,0.0291787576076628,0.0016807219743716,0.0228347441724698,0.0006662894652414
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,male,10-14,4858,0.0311882078015459,0.0017964680641358,0.0228347441724698,0.0007121747463461
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,female,10-14,3528,0.0305849104038976,0.0006377047490749,0.0057628956257036,0.0001762576463791
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,male,10-14,3550,0.0307756326343074,0.0006416813659909,0.0057628956257036,0.0001773567586865
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,female,10-14,4310,0.0316158563422434,0.0191160041677858,0.2581460322755515,0.0081615078717439
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,male,10-14,4472,0.0328042017546433,0.0198345175494984,0.2581460322755515,0.0084682745249278
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,female,10-14,4039,0.030051636136367,1.7723507414481244e-05,0.0002585380092573,7.769490181621931e-06
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,male,10-14,4451,0.0331170667103168,1.953140170880317e-05,0.0002585380092573,8.562020499727462e-06
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,female,10-14,4045,0.0334057330679594,0.0017892936404764,0.0169217297026812,0.0005652827854959
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,male,10-14,4079,0.0336865229132772,0.0018043334386906,0.0169217297026812,0.0005700342353616
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,female,10-14,3910,0.0339274248130086,0.0001041373813715,0.0009757724865518,3.310544767209055e-05
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,male,10-14,3708,0.0321746524825156,9.875739389407452e-05,0.0009757724865518,3.139514065680608e-05
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,female,10-14,7371,0.0316659077044687,0.0005284295281068,0.0047537633960218,0.0001505322329473
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,male,10-14,7613,0.0327055427152517,0.0005457785914364,0.0047537633960218,0.0001554744118067
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,female,10-14,8972,0.028890305711728,1.4849609320244376e-05,0.0001584587798673,4.577922593076464e-06
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,male,10-14,9540,0.0307192951950385,1.5789709419876434e-05,0.0001584587798673,4.867742034992138e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,female,10-14,7280,0.0284950466371539,1.5763925360935885e-05,0.0001501188440849,4.277643463314882e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,male,10-14,7597,0.0297358336953926,1.645034903393268e-05,0.0001501188440849,4.463908982253182e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,female,15-19,4864,0.0307326812747997,1.8317454241904125e-05,0.0002668779450398,8.2018748241824e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,male,15-19,5125,0.0323817827987969,1.9300360400854984e-05,0.0002668779450398,8.641983650068832e-06
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,female,15-19,9148,0.0345357419257413,0.0270996200955425,0.6492640006671948,0.0224228139687166
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,male,15-19,9710,0.0366574173698019,0.028764463393935,0.6492640006671948,0.0238003414556447
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,female,15-19,3674,0.0310290950551074,5.893919179829439e-05,0.0006171552479045,1.9149768850989973e-05
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,male,15-19,4041,0.0341286263249018,6.482669408190192e-05,0.0006171552479045,2.106266084018794e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,female,15-19,6290,0.0417662682602921,0.0001521569001314,0.0015845877986739,6.618231908140205e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,male,15-19,6140,0.0407702523240371,0.000148528357203,0.0015845877986739,6.46040443815276e-05
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,female,15-19,2974,0.0304700627023482,0.0014434514602477,0.0133689170593386,0.0004073517410605
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,male,15-19,3105,0.0318122208106225,0.0015070332158941,0.0133689170593386,0.0004252949414905
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,female,15-19,3395,0.0303890151989831,6.066125747732246e-06,6.67194862599558e-05,2.0275394820221443e-06
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,male,15-19,3698,0.0331012012388334,6.607520770283901e-06,6.67194862599558e-05,2.208495141242383e-06
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,female,15-19,3371,0.0331250122830807,0.0027660605031544,0.0248696885033985,0.0008238087371514
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,male,15-19,3417,0.0335770296562702,0.0028038056182968,0.0248696885033985,0.0008350502684208
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,female,15-19,4417,0.0283570016178321,0.0016333881101869,0.0228347441724698,0.0006475248774415
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,male,15-19,4988,0.0320228037287178,0.0018445415199484,0.0228347441724698,0.0007312325308304
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,female,15-19,3461,0.0300040745203769,0.0006255941430125,0.0057628956257036,0.0001729103498067
2011,E07000111,115351,119905,691,33141,0.0208503062671615,2405.1036782233487,male,15-19,3517,0.0304895492886927,0.0006357164406169,0.0057628956257036,0.0001757080902254
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,female,15-19,4238,0.0310877028256213,0.0187966648870247,0.2581460322755515,0.0080251671369955
2011,E07000113,136324,119905,30953,51193,0.6046334459789424,82426.04988963334,male,15-19,4567,0.0335010709779642,0.0202558679893916,0.2581460322755515,0.0086481685499431
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,female,15-19,4107,0.0305575809883781,1.8021897734903308e-05,0.0002585380092573,7.900296156454882e-06
2011,E07000114,134402,119905,31,52563,0.0005897684683142,79.26606167836691,male,15-19,4539,0.0337718188717429,1.9917553888172902e-05,0.0002585380092573,8.731298820099515e-06
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,female,15-19,3930,0.0324560027087961,0.0017384237347521,0.0169217297026812,0.0005492117050677
2011,E07000115,121087,119905,2029,37881,0.053562471951638,6485.7190412079935,male,15-19,4257,0.0351565403387646,0.0018830712058117,0.0169217297026812,0.0005949094728939
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,female,15-19,3785,0.0328427884698818,0.0001008081811998,0.0009757724865518,3.2047089370553126e-05
2011,E07000116,115246,119905,117,38118,0.0030694160239257,353.73791909334176,male,15-19,3636,0.0315499019488745,9.683977459516045e-05,0.0009757724865518,3.078552627512052e-05
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,female,15-19,7820,0.0335948172905908,0.0005606184927141,0.0047537633960218,0.000159701812732
2011,E09000004,232774,119905,570,34157,0.016687648212665,3884.450625054894,male,15-19,8062,0.0346344523013738,0.0005779675560436,0.0047537633960218,0.0001646439915915
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,female,15-19,8942,0.0287937041545109,1.4799956145968036e-05,0.0001584587798673,4.562615228186551e-06
2011,E09000006,310554,119905,19,36965,0.0005139997294738,159.62467198701475,male,15-19,9347,0.0300978251769418,1.547027399869864e-05,0.0001584587798673,4.769264654200368e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,female,15-19,7813,0.0305812911230884,1.691806989629012e-05,0.0001501188440849,4.590828074021865e-06
2011,E09000011,255483,119905,18,32537,0.0005532163383225,141.33736976365367,male,15-19,8187,0.0320451850025246,1.7727919907964573e-05,0.0001501188440849,4.810586131065789e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,female,20-24,4877,0.0308148204311673,1.836641125365264e-05,0.0002668779450398,8.223795953441111e-06
2011,E06000034,158268,119905,32,53689,0.0005960252565702,94.33172530685988,male,20-24,4847,0.0306252685318573,1.8253433534233e-05,0.0002668779450398,8.173208732074856e-06
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,female,20-24,9449,0.0356720841119731,0.0279912888372082,0.6492640006671948,0.0231606000426763
2011,E06000035,264885,119905,77850,99212,0.7846833044389792,207850.83709631895,male,20-24,9915,0.0374313381278668,0.0293717460917472,0.6492640006671948,0.0243028203432253
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,female,20-24,3154,0.0266373886237912,5.0597226709804166e-05,0.0006171552479045,1.643940417964681e-05
2011,E07000105,118405,119905,74,38958,0.0018994814928897,224.90810616561424,male,20-24,3085,0.0260546429627127,4.9490312111523735e-05,0.0006171552479045,1.6079759636718582e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,female,20-24,8436,0.05601593625498,0.0002040692542939,0.0015845877986739,8.87621691209392e-05
2011,E07000106,150600,119905,190,52154,0.0036430571001265,548.6443992790582,male,20-24,8135,0.0540172642762284,0.0001967879781509,0.0015845877986739,8.55950978898578e-05
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,female,20-24,3169,0.0324679316421458,0.0015380960583474,0.0133689170593386,0.0004340610852121
2011,E07000107,97604,119905,1603,33838,0.0473727761688043,4623.772445179975,male,20-24,2964,0.0303676078849227,0.0014385978911144,0.0133689170593386,0.000405982031104
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,female,20-24,2860,0.0256001718612936,5.110197242566782e-06,6.67194862599558e-05,1.7080303147520863e-06
2011,E07000108,111718,119905,8,40077,0.000199615739701,22.300671207924744,male,20-24,2969,0.0265758427469163,5.304956508105166e-06,6.67194862599558e-05,1.773126574999631e-06
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,female,20-24,3212,0.0315626044061867,0.0026355936921186,0.0248696885033985,0.0007849521399378
2011,E07000109,101766,119905,2982,35711,0.0835036823387751,8497.835736887793,male,20-24,3207,0.0315134720830139,0.0026314909622118,0.0248696885033985,0.0007837302343651
2011,E07000110,155764,119905,2738,47534,0.0576008751630411,8972.142718895948,female,20-24,4106,0.0263603913612901,0.0015183816120505,0.0228347441724698,0.0006019327930212
