year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E06000033,174274,72156,39,64508,0.0006045761765982,105.36190860048366,female,0-4,5464,0.0313529270000114,1.8955232730831023e-05,0.000540495592882,1.6946118867460054e-05
2011,E06000033,174274,72156,39,64508,0.0006045761765982,105.36190860048366,male,0-4,5786,0.0332005921709491,2.00722870755103e-05,0.000540495592882,1.794477374947362e-05
2011,E06000034,158268,72156,66,53689,0.0012293020916761,194.5591834453985,female,0-4,6052,0.0382389364874769,4.700720460752627e-05,0.0009146848494927,3.4976575865811266e-05
2011,E06000034,158268,72156,66,53689,0.0012293020916761,194.5591834453985,male,0-4,6045,0.0381947077109712,4.6952834080055566e-05,0.0009146848494927,3.493612047402993e-05
2011,E07000066,174971,72156,25,62378,0.0004007823271025,70.12528455545224,female,0-4,5532,0.0316166679049671,1.267140173817977e-05,0.0003464715338987,1.095427542580212e-05
2011,E07000066,174971,72156,25,62378,0.0004007823271025,70.12528455545224,male,0-4,5900,0.0337198735790502,1.3514329402614e-05,0.0003464715338987,1.1682976321806308e-05
2011,E07000067,147514,72156,8,48494,0.0001649688621272,24.335216727842617,female,0-4,4649,0.0315156527516032,5.199101373630261e-06,0.0001108708908476,3.494168496214118e-06
2011,E07000067,147514,72156,8,48494,0.0001649688621272,24.335216727842617,male,0-4,4883,0.0331019428664398,5.460789848878591e-06,0.0001108708908476,3.670041894388802e-06
2011,E07000068,73841,72156,9,24621,0.00036554161082,26.99195808456196,female,0-4,1958,0.0265164339594534,9.692859982741594e-06,0.0001247297522035,3.3073882370846604e-06
2011,E07000068,73841,72156,9,24621,0.00036554161082,26.99195808456196,male,0-4,1971,0.0266924879132189,9.757215028592278e-06,0.0001247297522035,3.329347403112291e-06
2011,E07000069,87964,72156,17,33361,0.0005095770510476,44.82443571835376,female,0-4,2135,0.0242712928016006,1.236809381095324e-05,0.0002356006430511,5.718332191740273e-06
2011,E07000069,87964,72156,17,33361,0.0005095770510476,44.82443571835376,male,0-4,2044,0.0232367786821881,1.184092915671589e-05,0.0002356006430511,5.47459999996118e-06
2011,E07000070,168491,72156,8,54365,0.0001471534994941,24.794040283270487,female,0-4,4868,0.0288917508947065,4.251522250669591e-06,0.0001108708908476,3.203254159843289e-06
2011,E07000070,168491,72156,8,54365,0.0001471534994941,24.794040283270487,male,0-4,5101,0.0302746140743422,4.455015406874606e-06,0.0001108708908476,3.356573432489855e-06
2011,E07000071,173614,72156,10,59731,0.0001674172540221,29.065979139810143,female,0-4,5132,0.02955982812446,4.948825253965279e-06,0.0001385886135595,4.096655596826322e-06
2011,E07000071,173614,72156,10,59731,0.0001674172540221,29.065979139810143,male,0-4,5588,0.0321863444192288,5.388549399680042e-06,0.0001385886135595,4.460660848609799e-06
2011,E07000072,124880,72156,107,48938,0.0021864399852875,273.0426253627038,female,0-4,3592,0.0287636130685458,6.288991373440682e-05,0.0014828981650867,4.265350904061202e-05
2011,E07000072,124880,72156,107,48938,0.0021864399852875,273.0426253627038,male,0-4,3830,0.0306694426649583,6.705689576914758e-05,0.0014828981650867,4.547966025210024e-05
2011,E07000073,82177,72156,18,34960,0.0005148741418764,42.310812356979405,female,0-4,2967,0.0361049928812198,1.858952722717267e-05,0.0002494595044071,9.006733630771614e-06
2011,E07000073,82177,72156,18,34960,0.0005148741418764,42.310812356979405,male,0-4,3124,0.0380155031213113,1.957319954758592e-05,0.0002494595044071,9.483328568429563e-06
2011,E07000076,138062,72156,12,58059,0.0002066863018653,28.535524208133104,female,0-4,3361,0.0243441352435862,5.031599285606617e-06,0.0001663063362714,4.04858394205658e-06
2011,E07000076,138062,72156,12,58059,0.0002066863018653,28.535524208133104,male,0-4,3388,0.0245396995552722,5.072019749965848e-06,0.0001663063362714,4.081107526238528e-06
2011,E07000095,93702,72156,19,36221,0.0005245575770961,49.15209408906435,female,0-4,3029,0.0323258841860365,1.695678748611841e-05,0.000263318365763,8.511998995713385e-06
2011,E07000095,93702,72156,19,36221,0.0005245575770961,49.15209408906435,male,0-4,3101,0.0330942776034663,1.735985407542199e-05,0.000263318365763,8.71433109465408e-06
2011,E07000178,150245,72156,8,41750,0.000191616766467,28.78946107784431,female,0-4,4618,0.0307364637758328,5.889621801357185e-06,0.0001108708908476,3.4077791203318157e-06
2011,E07000178,150245,72156,8,41750,0.000191616766467,28.78946107784431,male,0-4,4558,0.0303371160437951,5.813100080248169e-06,0.0001108708908476,3.3635030815228266e-06
2011,E08000006,234487,72156,9,101808,8.84016973125884e-05,20.72904879773692,female,0-4,7872,0.033571157462887,2.9677473004673856e-06,0.0001247297522035,4.187322151532563e-06
2011,E08000006,234487,72156,9,101808,8.84016973125884e-05,20.72904879773692,male,0-4,8474,0.0361384639660194,3.194701552865934e-06,0.0001247297522035,4.5075416554988495e-06
