year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E06000007,202709,284046,30,80775,0.00037140204271123484,75.2865366759517,female,0-4,6123,0.03020586160456615,1.1218518701788727e-05,0.00010561669588728586,3.1902432991029077e-06
2011,E06000007,202709,284046,30,80775,0.00037140204271123484,75.2865366759517,male,0-4,6263,0.030896506815188275,1.1475025743802514e-05,0.00010561669588728586,3.2631869642791957e-06
2011,E06000008,147657,284046,186,62348,0.0029832552768332588,440.4985244113684,female,0-4,5554,0.037614200478135136,0.00011221276206026072,0.0006548235145011724,2.463066295224413e-05
2011,E06000008,147657,284046,186,62348,0.0029832552768332588,440.4985244113684,male,0-4,5707,0.03865038569116263,0.00011530396706480156,0.0006548235145011724,2.5309181395112938e-05
2011,E06000009,142080,284046,19,66169,0.00028714352642476084,40.79735223443002,female,0-4,4039,0.0284276463963964,8.162814634217406e-06,6.689057406194771e-05,1.901541586685014e-06
2011,E06000009,142080,284046,19,66169,0.00028714352642476084,40.79735223443002,male,0-4,4173,0.029370777027027024,8.433628489375894e-06,6.689057406194771e-05,1.964628135983304e-06
2011,E06000049,370736,284046,158,152423,0.0010365889662321305,384.3008469850351,female,0-4,9752,0.02630443226446852,2.7266884248348513e-05,0.0005562479316730389,1.4631786040944164e-05
2011,E06000049,370736,284046,158,152423,0.0010365889662321305,384.3008469850351,male,0-4,10430,0.028133226878425614,2.916259256668119e-05,0.0005562479316730389,1.5649049262412595e-05
2011,E07000037,90982,284046,588,37615,0.01563206167752227,1422.2362355443308,female,0-4,2426,0.026664614978787013,0.0004168229059557827,0.0020700872393908027,5.519807921085586e-05
2011,E07000037,90982,284046,588,37615,0.01563206167752227,1422.2362355443308,male,0-4,2584,0.028401222219779736,0.0004439696574566127,0.0020700872393908027,5.8793007700268555e-05
2011,E07000117,87032,284046,201,39033,0.0051494888940127595,448.17031742371836,female,0-4,2852,0.03276955602536998,0.0001687464648143716,0.0007076318624448152,2.318878196172228e-05
2011,E07000117,87032,284046,201,39033,0.0051494888940127595,448.17031742371836,male,0-4,3032,0.03483776082360511,0.00017939666245342728,0.0007076318624448152,2.4652309575014705e-05
2011,E07000118,107591,284046,10,43171,0.0002316369785272521,24.92205415672558,female,0-4,3074,0.028571163015493863,6.61813787391857e-06,3.5205565295761955e-05,1.0058639451178282e-06
2011,E07000118,107591,284046,10,43171,0.0002316369785272521,24.92205415672558,male,0-4,3148,0.029258952886393845,6.7774554414754925e-06,3.5205565295761955e-05,1.0300779763275612e-06
2011,E07000119,76098,284046,19,34161,0.0005561898070899564,42.3249319399315,female,0-4,1843,0.02421877053273411,1.3470233310557304e-05,6.689057406194771e-05,1.6200074640091676e-06
2011,E07000119,76098,284046,19,34161,0.0005561898070899564,42.3249319399315,male,0-4,1854,0.024363320980840496,1.3550630796404362e-05,6.689057406194771e-05,1.6296765264639157e-06
