year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,female,0-4,5554,0.037614200478135136,0.032008992024899215,0.3010001758675661,0.011321880959036565
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,male,0-4,5707,0.03865038569116263,0.03289076656213536,0.3010001758675661,0.011633772890389209
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,female,0-4,4039,0.0284276463963964,2.878466213118769e-05,0.0003801008685588504,1.0805373086354144e-05
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,male,0-4,4173,0.029370777027027024,2.973963730464131e-05,0.0003801008685588504,1.1163857858221304e-05
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,female,0-4,1830,0.026500231696014828,2.2240721637263384e-05,0.00015317497688192478,4.059172377402722e-06
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,male,0-4,1906,0.02760078776645042,2.3164380022198914e-05,0.00015317497688192478,4.227750028048955e-06
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,female,0-4,2136,0.02059529663590871,4.580563403418654e-05,0.0005276026981488519,1.0866134074281412e-05
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,male,0-4,2343,0.022591189146972897,5.024466317514001e-05,0.0005276026981488519,1.1919172348333964e-05
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,female,0-4,2852,0.03276955602536998,0.028471138613183008,0.19239344411098944,0.006304647745708957
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,male,0-4,3032,0.03483776082360511,0.03026805479494069,0.19239344411098944,0.006702556789968288
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,female,0-4,3074,0.028571163015493863,0.00035605581761681906,0.0030521532430546486,8.720356785558264e-05
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,male,0-4,3148,0.029258952886393845,0.0003646271027513814,0.0030521532430546486,8.930280794059017e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,female,0-4,1843,0.02421877053273411,6.026157007354583e-05,0.0004822175198134669,1.167871545922652e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,male,0-4,1854,0.024363320980840496,6.0621243036545825e-05,0.0004822175198134669,1.1748420217800305e-05
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,female,0-4,2665,0.03308545109188196,0.028768202060452688,0.1738195598772331,0.005750898547130644
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,male,0-4,2753,0.0341779537921017,0.02971814644368715,0.1738195598772331,0.005940796885647528
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,female,0-4,3491,0.02532958940089825,6.495923194531342e-05,0.0008169332100369322,2.0692582778193268e-05
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,male,0-4,3736,0.02710723173925977,6.951810098759407e-05,0.0008169332100369322,2.21447978399685e-05
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,female,0-4,3125,0.03488657676163258,0.02295499987972621,0.14311081358605313,0.004992646383589532
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,male,0-4,3257,0.036360185764043935,0.023924619074645846,0.14311081358605313,0.005203535766832355
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,female,0-4,4489,0.03205192282976566,0.00018819854335829097,0.0018721386063346363,6.000564213686279e-05
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,male,0-4,4856,0.03467234066859925,0.00020358479094405456,0.0018721386063346363,6.491142753767115e-05
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,female,0-4,1364,0.0238078614815332,0.0155086703459985,0.07694489672035355,0.0018318934428290558
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,male,0-4,1466,0.025588214759477763,0.0166684096240717,0.07694489672035355,0.001968882541926243
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,female,0-4,2150,0.0315930230849485,0.01642600413949258,0.08815503576919367,0.0027850840801105963
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,male,0-4,2180,0.03203385596520359,0.01665520419725294,0.08815503576919367,0.0028239457184377212
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,female,0-4,3115,0.0285306051419203,0.00031885834749053183,0.002757149583874646,7.866314609473738e-05
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,male,0-4,3283,0.030069334408001393,0.00033605520218665027,0.002757149583874646,8.29056528504086e-05
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,female,0-4,2864,0.02589113789019771,4.088289576851052e-06,4.538517833538512e-05,1.1750739104526699e-06
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,male,0-4,3101,0.02803366571141868,4.42660124923712e-06,4.538517833538512e-05,1.272312917707308e-06
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,female,0-4,2349,0.021812205177729083,5.478453525522835e-05,0.0006637582331550074,1.447803076998396e-05
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,male,0-4,2632,0.02444006982877094,6.138480067763347e-05,0.0006637582331550074,1.6222297567730003e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,female,0-4,1202,0.021673668836437728,0.00011656619635185163,0.0006921239696146232,1.5000865711188027e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,male,0-4,1316,0.02372924142159073,0.00012762155940019694,0.0006921239696146232,1.6423576768655116e-05
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,female,0-4,9257,0.03338309964802954,0.0002834872591019924,0.005361124190867367,0.00017897094308918704
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,male,0-4,9640,0.034764295193583754,0.0002952162879705312,0.005361124190867367,0.000186375703940776
2011,E08000002,185422,176269,611,77718,0.007861756607220978,1457.742633624128,female,0-4,6024,0.032488054276191614,0.0002554131753616031,0.0034662929953650392,0.00011261311497060214
2011,E08000002,185422,176269,611,77718,0.007861756607220978,1457.742633624128,male,0-4,6211,0.03349656459319822,0.00026334183800978044,0.0034662929953650392,0.00011610890721819555
2011,E08000005,211929,176269,122,91478,0.0013336539933098668,282.6399571481668,female,0-4,7225,0.03409160615111665,4.546640668178394e-05,0.0006921239696146232,2.359561777984916e-05
2011,E08000005,211929,176269,122,91478,0.0013336539933098668,282.6399571481668,male,0-4,7598,0.035851629555181216,4.7813668922933474e-05,0.0006921239696146232,2.481377216488497e-05
2011,E08000006,234487,176269,51,101808,0.000500942951438001,117.4646098538425,female,0-4,7872,0.03357115746288706,1.681723470264852e-05,0.0002893305118880801,9.713160173412455e-06
2011,E08000006,234487,176269,51,101808,0.000500942951438001,117.4646098538425,male,0-4,8474,0.03613846396601944,1.8103308799573625e-05,0.0002893305118880801,1.0455960278137344e-05
2011,E08000010,318122,176269,87,134578,0.0006464652469200017,205.65481728068482,female,0-4,9474,0.02978102740458063,1.925239923463356e-05,0.0004935638143973132,1.4698837482475732e-05
2011,E08000010,318122,176269,87,134578,0.0006464652469200017,205.65481728068482,male,0-4,10145,0.031890281087130094,2.0615958437339816e-05,0.0004935638143973132,1.5739888775566425e-05
2011,E08000032,523115,176269,22,204794,0.00010742502221744778,56.19564049728021,female,0-4,20155,0.03852881297611424,4.1389585899709625e-06,0.00012480924042230907,4.808751881922024e-06
2011,E08000032,523115,176269,22,204794,0.00010742502221744778,56.19564049728021,male,0-4,20923,0.03999694139911874,4.296672318430287e-06,0.00012480924042230907,4.991987875239618e-06
2011,E08000033,204170,176269,477,80304,0.0059399282725642565,1212.755155409444,female,0-4,6416,0.031424793064603024,0.00018666101678391664,0.002706091258247338,8.503835780435381e-05
2011,E08000033,204170,176269,477,80304,0.0059399282725642565,1212.755155409444,male,0-4,6470,0.03168927854239115,0.00018823204155111296,0.002706091258247338,8.575407964372962e-05
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,female,5-9,5161,0.034952626695652765,0.029744041742978906,0.3010001758675661,0.010520746782424869
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,male,5-9,5357,0.03628002736070759,0.0308736352678043,0.3010001758675661,0.010920294616053093
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,female,5-9,3647,0.025668637387387387,2.5991003414815925e-05,0.0003801008685588504,9.756671365668126e-06
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,male,5-9,3862,0.02718186936936937,2.752323970058105e-05,0.0003801008685588504,1.0331852156350509e-05
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,female,5-9,1777,0.025732738646895275,2.1596591447768868e-05,0.00015317497688192478,3.9416116473467966e-06
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,male,5-9,1875,0.027151876737720116,2.2787624628343634e-05,0.00015317497688192478,4.158988091601149e-06
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,female,5-9,2313,0.02230192936276069,4.960132561848008e-05,0.0005276026981488519,1.176655810571765e-05
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,male,5-9,2395,0.02309257277294071,5.135978160668387e-05,0.0005276026981488519,1.2183703702202238e-05
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,female,5-9,2505,0.02878251677543892,0.025007083529461224,0.19239344411098944,0.005537567532609025
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,male,5-9,2664,0.03060943101387995,0.026594359490013854,0.19239344411098944,0.0058890538550381
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,female,5-9,2873,0.026702977014806072,0.00033277435394050785,0.0030521532430546486,8.150157789495413e-05
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,male,5-9,3083,0.028654813134927643,0.0003570982712142658,0.0030521532430546486,8.745888083889438e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,female,5-9,1769,0.02324634024547294,5.7841951958818534e-05,0.0004822175198134669,1.120979253791194e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,male,5-9,1805,0.023719414439275676,5.9019063474091284e-05,0.0004822175198134669,1.1437917202335249e-05
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,female,5-9,2351,0.02918720282064333,0.025378627783911544,0.1738195598772331,0.005073306748331761
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,male,5-9,2653,0.0329364734509429,0.028638664190011626,0.1738195598772331,0.005725003319151068
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,female,5-9,3066,0.022245924120067043,5.705098972911227e-05,0.0008169332100369322,1.8173434201644383e-05
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,male,5-9,3395,0.02463304383158109,6.317289958588915e-05,0.0008169332100369322,2.012355157031399e-05
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,female,5-9,2732,0.03049924086808967,0.02006817909485184,0.14311081358605313,0.004364771174389314
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,male,5-9,2755,0.030756006073055283,0.020237127893966627,0.14311081358605313,0.004401517051772532
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,female,5-9,3899,0.027839261998943262,0.0001634631589561097,0.0018721386063346363,5.211895716008645e-05
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,male,5-9,4150,0.029631427877818563,0.00017398617842212242,0.0018721386063346363,5.547414009088452e-05
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,female,5-9,1525,0.026618026949661384,0.01733923920648659,0.07694489672035355,0.0020481213345412827
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,male,5-9,1581,0.027595475808140757,0.017975958810134626,0.07694489672035355,0.002123331036006405
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,female,5-9,1904,0.027978193466856715,0.014546563665857616,0.08815503576919367,0.0024664186458281745
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,male,5-9,2066,0.030358691020234224,0.015784243977763568,0.08815503576919367,0.0026762714927946467
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,female,5-9,2932,0.02685448933422482,0.00030012605933940265,0.002757149583874646,7.404184409302408e-05
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,male,5-9,2962,0.027129262417453587,0.00030319692624942383,0.002757149583874646,7.479943458510823e-05
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,female,5-9,2860,0.025854977083088496,4.082579675207405e-06,4.538517833538512e-05,1.1734327457732667e-06
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,male,5-9,3094,0.027970384298977552,4.4166089213607385e-06,4.538517833538512e-05,1.2694408795183522e-06
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,female,5-9,2514,0.023344352412435463,5.863274654390978e-05,0.0006637582331550074,1.5495006111425998e-05
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,male,5-9,2696,0.02503435724102069,6.287744020778868e-05,0.0006637582331550074,1.6616760730471158e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,female,5-9,1263,0.022773580482879245,0.00012248178535140486,0.0006921239696146232,1.5762140926148486e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,male,5-9,1425,0.02569465731441245,0.00013819203810431664,0.0006921239696146232,1.7783888218338556e-05
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,female,5-9,8183,0.02950998211297675,0.000250596979716064,0.005361124190867367,0.00015820667897794294
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,male,5-9,8784,0.031677341180543536,0.0002690020615698284,0.005361124190867367,0.000169826160105371
2011,E08000002,185422,176269,611,77718,0.007861756607220978,1457.742633624128,female,5-9,5375,0.028987930234815718,0.0002278960520532232,0.0034662929953650392,0.00010048065952307214
2011,E08000002,185422,176269,611,77718,0.007861756607220978,1457.742633624128,male,5-9,5844,0.031517295682281496,0.00024778130757191366,0.0034662929953650392,0.00010924818125634114
2011,E08000005,211929,176269,122,91478,0.0013336539933098668,282.6399571481668,female,5-9,6371,0.03006195471124764,4.0092245947355765e-05,0.0006921239696146232,2.080659942912373e-05
2011,E08000005,211929,176269,122,91478,0.0013336539933098668,282.6399571481668,male,5-9,6831,0.032232492957547106,4.2986992947164864e-05,0.0006921239696146232,2.2308880976352884e-05
2011,E08000006,234487,176269,51,101808,0.000500942951438001,117.4646098538425,female,5-9,6432,0.02743009207333456,1.3740911281432327e-05,0.0002893305118880801,7.936362580715057e-06
2011,E08000006,234487,176269,51,101808,0.000500942951438001,117.4646098538425,male,5-9,6706,0.02859860034884663,1.4326267265747077e-05,0.0002893305118880801,8.274447678214422e-06
2011,E08000010,318122,176269,87,134578,0.0006464652469200017,205.65481728068482,female,5-9,8838,0.02778179440591974,1.7959964580503628e-05,0.0004935638143973132,1.3712088417787684e-05
2011,E08000010,318122,176269,87,134578,0.0006464652469200017,205.65481728068482,male,5-9,9334,0.02934094466902635,1.8967901040328226e-05,0.0004935638143973132,1.4481628568865154e-05
2011,E08000032,523115,176269,22,204794,0.00010742502221744778,56.19564049728021,female,5-9,18494,0.03535360293625685,3.7978615808942183e-06,0.00012480924042230907,4.4124563286661335e-06
2011,E08000032,523115,176269,22,204794,0.00010742502221744778,56.19564049728021,male,5-9,19154,0.03661527579977634,3.9333968162889515e-06,0.00012480924042230907,4.5699247604234395e-06
2011,E08000033,204170,176269,477,80304,0.0059399282725642565,1212.755155409444,female,5-9,5984,0.029308909242298082,0.0001740928186463462,0.002706091258247338,7.931258308934745e-05
2011,E08000033,204170,176269,477,80304,0.0059399282725642565,1212.755155409444,male,5-9,6028,0.029524415927903218,0.00017537291290109876,0.002706091258247338,7.989576384735736e-05
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,female,10-14,4973,0.03367940564957977,0.028660554076309644,0.3010001758675661,0.010137507023638607
2011,E06000008,147657,176269,53057,62348,0.8509815872201193,125653.38822416116,male,10-14,5310,0.03596172209918934,0.030602763351136982,0.3010001758675661,0.010824484676356529
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,female,10-14,3978,0.02799831081081081,2.8349934626854326e-05,0.0003801008685588504,1.064218225736984e-05
2011,E06000009,142080,176269,67,66169,0.0010125587510767882,143.86434735299008,male,10-14,4012,0.028237612612612605,2.8592241760417187e-05,0.0003801008685588504,1.0733141080082402e-05
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,female,10-14,1978,0.02864341983317887,2.403942480792731e-05,0.00015317497688192478,4.387455170766439e-06
2011,E07000027,69056,176269,27,32171,0.0008392651767119455,57.9562960430201,male,10-14,2037,0.029497798887859132,2.475647539623252e-05,0.00015317497688192478,4.518324662715488e-06
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,female,10-14,2566,0.02474135354295026,5.5026805679645434e-05,0.0005276026981488519,1.3053604885115214e-05
2011,E07000031,103713,176269,93,41815,0.0022240822671290208,230.6662441707521,male,10-14,2773,0.026737246054014445,5.946583482059893e-05,0.0005276026981488519,1.4106643159167771e-05
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,female,10-14,2397,0.02754159389649784,0.02392893382040661,0.19239344411098944,0.0052988221060534255
2011,E07000117,87032,176269,33913,39033,0.8688289396151974,75615.92027258985,male,10-14,2631,0.03023026013420351,0.02626492485669161,0.19239344411098944,0.005816103863590556
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,female,10-14,2989,0.02778113410973037,0.00034621042252982185,0.0030521532430546486,8.479227856874969e-05
2011,E07000118,107591,176269,538,43171,0.012462069444766162,1340.8065136318362,male,10-14,3094,0.028757052169791155,0.0003583723811667008,0.0030521532430546486,8.777093004071982e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,female,10-14,1899,0.024954663723093903,6.209263243063675e-05,0.0004822175198134669,1.203357604832944e-05
2011,E07000119,76098,176269,85,34161,0.0024882175580340157,189.3483797312725,male,10-14,2098,0.02756971273883676,6.85994433067277e-05,0.0004822175198134669,1.3294598498891607e-05
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,female,10-14,2487,0.0308756160846193,0.026846723648910255,0.1738195598772331,0.005366785998766946
2011,E07000120,80549,176269,30639,35237,0.8695121605130971,70038.33501716945,male,10-14,2531,0.03142186743472917,0.027321695840527484,0.1738195598772331,0.005461735168025388
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,female,10-14,3709,0.026911328297889326,6.9015695011506e-05,0.0008169332100369322,2.1984757812752452e-05
2011,E07000121,137823,176269,144,56150,0.002564559216384684,353.4552448797863,male,10-14,3870,0.028079493263098318,7.201152323929044e-05,0.0008169332100369322,2.2939070567633332e-05
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,female,10-14,2568,0.028668393319639187,0.018863500701163813,0.14311081358605313,0.004102757092178535
2011,E07000122,89576,176269,25226,38338,0.6579894621524336,58940.06406176639,male,10-14,2765,0.030867643118692507,0.02031058389358175,0.14311081358605313,0.004417493520200019
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,female,10-14,3823,0.02729661416310852,0.00016027690605006602,0.0018721386063346363,5.1103045196976284e-05
2011,E07000123,140054,176269,330,56202,0.005871677164513718,822.3518735988043,male,10-14,4071,0.029067359732674537,0.00017067415237505067,0.0018721386063346363,5.441812633975684e-05
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,female,10-14,1848,0.032255812329819174,0.02101174692038506,0.07694489672035355,0.002481920148349043
2011,E07000124,57292,176269,13563,20821,0.6514096345036261,37320.560779981744,male,10-14,1949,0.03401871116386232,0.022160116205535974,0.07694489672035355,0.0026175662170629245
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,female,10-14,2030,0.029829691563928118,0.015509203908451131,0.08815503576919367,0.0026296375268020982
2011,E07000125,68053,176269,15539,29887,0.5199250510255295,35382.45949744036,male,10-14,1987,0.029197831102229142,0.015180683825661285,0.08815503576919367,0.002573935845199886
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,female,10-14,3079,0.028200877442045774,0.00031517330719850635,0.002757149583874646,7.775403750423641e-05
2011,E07000126,109181,176269,486,43486,0.011176010670100722,1220.208020972267,male,10-14,3244,0.029712129399804,0.0003320630752036228,0.002757149583874646,8.192078521069922e-05
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,female,10-14,3145,0.02843143458962004,4.489410167317234e-06,4.538517833538512e-05,1.2903657291807423e-06
2011,E07000127,110617,176269,8,50664,0.00015790304752881732,17.466761408495184,male,10-14,3499,0.03163166601878554,4.994736462779968e-06,4.538517833538512e-05,1.435608803307923e-06
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,female,10-14,2756,0.02559150169000483,6.42767897673092e-05,0.0006637582331550074,1.698656994554099e-05
2011,E07000128,107692,176269,117,46583,0.002511645879398064,270.4841680441363,male,10-14,2973,0.02760650744716413,6.933777067424175e-05,0.0006637582331550074,1.832404660671022e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,female,10-14,1614,0.02910258028453452,0.00015652066631604704,0.0006921239696146232,2.01425933925603e-05
2011,E07000163,55459,176269,122,22684,0.005378240169282313,298.2718215482278,male,10-14,1715,0.030923745469626205,0.00016631533006940564,0.0006921239696146232,2.140306546978991e-05
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,female,10-14,8455,0.030490883388148406,0.00025892673389946483,0.005361124190867367,0.00016346541253311838
2011,E08000001,277296,176269,945,111282,0.008491939397207096,2354.7808270879386,male,10-14,9192,0.03314869309330102,0.0002814966928449297,0.005361124190867367,0.00017771426043813407
2011,E08000002,185422,176269,611,77718,0.007861756607220978,1457.742633624128,female,10-14,5503,0.029678247457151793,0.00023332315803700228,0.0034662929953650392,0.00010287350127543554
