year,ltla,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ag_ltla_frac_tp,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000007,0-4,11596,0.055215366594607976,8.544448674525642e-06,1.3910722365493537e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,10-14,12601,0.06000076185397164,9.28497738424436e-06,1.5116334298687828e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,15-19,11334,0.0539678307160475,8.351395418857678e-06,1.3596423533158308e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,20-24,10619,0.05056329578028132,7.82455161045083e-06,1.2738699620487744e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,25-29,12693,0.06043882788766463,9.352767077074336e-06,1.5226698774164318e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,30-34,13457,0.06407668060224556,9.915716265358019e-06,1.6143203766164757e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,35-39,13805,0.06573371299056252,1.0172138146932262e-05,1.6560669390793227e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,40-44,12843,0.061153065986077115,9.463293750166682e-06,1.540664085374556e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,45-49,15194,0.07234755778186217,1.1195615139767386e-05,1.822693304771549e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,5-9,13020,0.061995866942203846,9.593715224415649e-06,1.561897250765142e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,50-54,16101,0.07666631748359634,1.186393308973244e-05,1.9314982822250035e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,55-59,15040,0.07161427333415868,1.108214108872591e-05,1.8042192512678753e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,60-64,12066,0.057453312636300435,8.890765583548327e-06,1.4474540881514747e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,65-69,10704,0.05096803070271506,7.887183391869825e-06,1.2840666798917113e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,70-74,10839,0.05161084499128629,7.986657397652936e-06,1.3002614670540224e-05,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,75-79,7888,0.0375594008018513,5.8122293156828455e-06,9.462554158245345e-06,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,80-84,5615,0.026736312817240752,4.137381796090159e-06,6.735831845657658e-06,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,85-89,2975,0.014165722285180989,2.192112349664866e-06,3.5688512450278787e-06,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000007,90+,1624,0.007732817812145857,1.1966354473464679e-06,1.948172914932865e-06,210014,15,96932,0.00015474765815210665,32.49917467915652,59539,0.0002519357060078268
2019,E06000021,0-4,16665,0.06500243783520236,0.0002855141501541795,0.0005426058819277375,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,10-14,15587,0.06079765967820576,0.00026704524803199494,0.0005075066235588145,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,15-19,14328,0.0558868844466114,0.00024547535213975897,0.00046651407598323567,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,20-24,17502,0.0682671867381765,0.000299854104770384,0.0005698582745574114,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,25-29,18817,0.07339639200390052,0.00032238342414948667,0.0006126741602300772,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,30-34,18325,0.07147732813261823,0.0003139542035148718,0.0005966548326628137,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,35-39,16626,0.06485031691857629,0.0002848459802258259,0.0005413360571815519,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,40-44,14093,0.05497025841053145,0.00024144920000737186,0.00045886256789724603,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,45-49,16067,0.06266991711360312,0.00027526887791942407,0.0005231352358195594,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,5-9,17457,0.068091662603608,0.00029908313946843757,0.0005683930921579667,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,50-54,16856,0.06574744027303754,0.00028878646954688566,0.000548824767223159,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,55-59,15959,0.06224865919063871,0.0002734185611947525,0.0005196187980608918,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,60-64,14037,0.05475182837640176,0.0002404897765205051,0.0004570392298001593,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,65-69,12424,0.04846026328620186,0.00021285495358629018,0.00040452058068228086,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,70-74,12158,0.04742272062408581,0.0002082976920236732,0.000395859724721118,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,75-79,8519,0.033228668941979525,0.00014595229793960124,0.00027737530801934566,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,80-84,5924,0.023106777181862506,0.00010149329886068763,0.00019288312298469348,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,85-89,3440,0.013417844953681129,5.8936014193241966e-05,0.00011200505453533855,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000021,90+,1591,0.006205753291077521,2.7257906564374412e-05,5.1802337722594075e-05,256375,497,113151,0.004392360650811747,1126.0914618518616,59539,0.008347469725725995
2019,E06000049,0-4,20307,0.05286188800266561,0.014913459918327782,0.04298274613253579,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,10-14,22415,0.0583492992357192,0.016461575026804412,0.04744463754177325,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,15-19,19366,0.05041233678335659,0.014222389559183327,0.040990981513896095,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,20-24,16826,0.043800370686603224,0.012357013669462909,0.03561469869631392,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,25-29,19463,0.050664841000437326,0.014293626354971863,0.04119629625141793,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,30-34,20094,0.052307419979591416,0.014757032727575635,0.04253190036869916,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,35-39,21967,0.05718309419188238,0.016132563846255298,0.04649637978497136,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,40-44,22275,0.05798486015952019,0.016358759032882815,0.047148306992772664,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,45-49,27550,0.07171640392344697,0.02023271880385731,0.05831361874975923,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,5-9,22080,0.057477248589100145,0.016215551041349162,0.04673556087095042,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,50-54,30245,0.0787318561402778,0.02221192668684807,0.06401798181802061,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,55-59,29022,0.07554822049605364,0.021313755539947257,0.061429322807822595,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,60-64,24262,0.06315729190528747,0.017818011746612922,0.05135408414180249,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,65-69,22815,0.05939055373914492,0.01675533500943755,0.04829129625320352,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,70-74,24076,0.06267310856119453,0.017681413354688515,0.050960387840987414,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,75-79,16942,0.04410233449259668,0.012442204064426518,0.035860229722628714,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,80-84,12343,0.03213051083945938,0.009064698664102026,0.02612577118795928,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,85-89,7485,0.019484474895353925,0.0054969836750225765,0.015843101137638763,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000049,90+,4619,0.012023886378308587,0.0033921933994561495,0.009776791470240938,384152,48412,171600,0.2821212121212121,108377.42787878787,59539,0.8131140932833941
2019,E06000050,0-4,18284,0.05329509052062109,0.00019503689543140583,0.0005200699976902676,343071,581,158762,0.0036595658910822493,1255.4909298194782,59539,0.009758309679369824
2019,E06000050,10-14,19511,0.05687160966680366,0.0002081254029075782,0.0005549707790929126,343071,581,158762,0.0036595658910822493,1255.4909298194782,59539,0.009758309679369824
