year,ltla,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ag_ltla_frac_tp,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000035,0-4,18326,0.06578928473987278,5.5949612830144665e-06,4.905336625013296e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,10-14,17640,0.06332658424158875,5.385524229639592e-06,4.7217143984085206e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,15-19,16089,0.05775858355231982,4.912001095843051e-06,4.306556856915798e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,20-24,16329,0.058620169732477495,4.9852735343415485e-06,4.370797869139043e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,25-29,19880,0.07136805525639368,6.06940032229224e-06,5.321297179158808e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,30-34,19818,0.07114547882651961,6.050471609013461e-06,5.3047015843344705e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,35-39,18705,0.06714987291603843,5.710670675476679e-06,5.00678389014917e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,40-44,17258,0.06195522623817114,5.268898931696151e-06,4.619464120619854e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,45-49,18344,0.06585390370338459,5.6004567159018536e-06,4.910154700930039e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,5-9,19107,0.06859302976780252,5.833402009961661e-06,5.114387585623107e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,50-54,19471,0.06989976880770832,5.944531875017717e-06,5.211819787495028e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,55-59,17916,0.06431740834877009,5.469787533912866e-06,4.795591562465253e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,60-64,14814,0.0531814069702322,4.5227412663197815e-06,3.9652764794798085e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,65-69,12719,0.0456604776059392,3.883133938593311e-06,3.4045059769477306e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,70-74,12757,0.045796895417797495,3.894735408022239e-06,3.414677470549745e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,75-79,8337,0.029929349933227073,2.5453013323415696e-06,2.231572162104979e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,80-84,5952,0.021367337267910222,1.8171564747627473e-06,1.5931771031364802e-06,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,85-89,3321,0.011922198767931763,1.0139073677229643e-06,8.889350066391551e-07,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000035,90+,1773,0.0063649679059147885,5.41300139407653e-07,4.7458047779922375e-07,278556,9,105828,8.504365574328155e-05,23.689420569225536,120706,7.456133083690951e-05
2019,E06000036,0-4,7267,0.059298729487796714,0.0006182881214316252,0.00022942112795388024,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,10-14,8248,0.06730369076859052,0.0007017531891520634,0.00026039155956565353,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,15-19,7207,0.0588091294094607,0.0006131832243233417,0.00022752691195316015,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,20-24,6405,0.05226480836236934,0.0005449477663092831,0.00020220755807686845,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,25-29,7250,0.059160009465601515,0.0006168417339176115,0.0002288844334203429,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,30-34,8627,0.070396331263413,0.0007339991225527222,0.00027235669063686873,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,35-39,9420,0.07686721229875397,0.0008014688460005381,0.00029739191211305244,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,40-44,8668,0.07073089131694262,0.0007374874689100495,0.0002736510715706941,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,45-49,9127,0.07447633191621311,0.0007765399317884196,0.0002881418239762027,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,5-9,8236,0.06720577075292332,0.0007007322097304068,0.00026001271636550956,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,50-54,9128,0.07448449191751871,0.0007766250134068909,0.00028817339424288136,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,55-59,8366,0.06826657092265134,0.0007117928201316882,0.0002641168510337364,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,60-64,6589,0.05376624860259977,0.0005606027841080197,0.00020801648714574336,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,65-69,5294,0.04319904691184751,0.0004504220881875636,0.0001671329917968683,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,70-74,4890,0.039902406384385025,0.00041604911432512005,0.00015437860405868644,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,75-79,3132,0.025557124089139852,0.0002664756290524082,9.887807523758813e-05,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,80-84,2458,0.020057283209165312,0.00020913061820268818,7.75997154961659e-05,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,85-89,1388,0.011326081812173091,0.00011809328643829585,4.381953014999116e-05,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000036,90+,849,0.0069278411084545775,7.223429408221409e-05,2.6803156410189122e-05,122549,467,44789,0.01042666726205095,1277.7776462970814,120706,0.003868904611204083
2019,E06000039,0-4,12654,0.08462006566848781,0.00042291702065546766,0.00022643680687721874,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,10-14,11788,0.07882893425795277,0.00039397390860491965,0.0002109401832992457,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,15-19,8778,0.05870040591417624,0.00029337487018442354,0.00015707778495086346,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,20-24,7689,0.05141802472933482,0.0002569787396728221,0.00013759069132913978,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,25-29,9076,0.0606931970923973,0.00030333450920412715,0.00016241034133219833,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,30-34,11680,0.0781067146363156,0.00039036437500046333,0.0002090075789731243,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,35-39,14109,0.09434996890443295,0.00047154545949328226,0.00025247328182635367,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,40-44,12522,0.08373735279759796,0.0004185053684722433,0.00022407473492307042,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,45-49,10106,0.06758103237282581,0.000337758764876257,0.00018084166036835567,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,5-9,13065,0.08736851256194036,0.000436653301316871,0.00023379144000718055,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,50-54,9089,0.06078013093574251,0.0003037689901009599,0.0001626429696307129,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,55-59,7498,0.050140765954032065,0.0002505952126501262,0.0001341728447894252,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,60-64,6281,0.04200242077317623,0.00020992111638509504,0.00011239525715155767,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,65-69,4968,0.03322210259530958,0.0001660385458049916,8.889979900158232e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,70-74,3570,0.023873370826339613,0.00011931513859175119,6.388330966901145e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,75-79,2682,0.017935120603989593,8.963675117733241e-05,4.799300743201365e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,80-84,1982,0.013254067500785748,6.624162596326354e-05,3.54668682812271e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,85-89,1275,0.008526203866549863,4.2612549497054e-05,2.281546773893266e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000039,90+,727,0.004861608008613138,2.4297508615182948e-05,1.3009290232316897e-05,149539,323,64628,0.0049978337562666345,747.3710620783563,120706,0.0026759233178135305
2019,E06000040,0-4,8615,0.05689397841793134,0.001420838440499744,0.0006980595996632837,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,10-14,10215,0.06746047469984547,0.0016847202170290057,0.0008277050273430578,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,15-19,9226,0.0609290591855873,0.001521608293911856,0.0007475679473584974,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,20-24,6325,0.04177068061444175,0.001043157647842238,0.000512504581296607,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,25-29,7336,0.04844738545257625,0.0012098979453866654,0.0005944242859117642,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,30-34,8820,0.058247810754051596,0.0014546482931175556,0.0007146704200847548,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,35-39,10437,0.06892657605896105,0.001721333813522441,0.0008456933304336264,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,40-44,10788,0.07124460118080596,0.0017792228782485481,0.0008741342961308768,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,45-49,11499,0.07594008796608157,0.0018964853426937382,0.0009317454830560765,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,5-9,9755,0.06442260701879515,0.001608854206276843,0.0007904319668851228,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,50-54,11643,0.07689107263145384,0.0019202347025813718,0.0009434135715472562,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,55-59,10282,0.06790294673165062,0.0016957702664211684,0.0008331339296271483,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,60-64,8027,0.0530107910343279,0.0013238618876252404,0.0006504149049909666,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,65-69,7040,0.046492583640422136,0.0011610798167287519,0.0005704398817910059,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,70-74,7405,0.04890306560473379,0.0012212778469994899,0.0006000152449804545,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,75-79,5350,0.03533172194265034,0.0008823546902697192,0.00043350189880424466,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,80-84,4188,0.027657804017910206,0.0006907105500653429,0.00033934690695180866,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,85-89,2636,0.017408302624453517,0.00043474522683195887,0.00021359084210242782,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000040,90+,1835,0.012118450423320258,0.0003026394124569971,0.00014868709987024092,151422,1481,59303,0.02497344147850868,3781.528455558741,120706,0.01226948121882922
2019,E06000041,0-4,9901,0.05786031942683161,7.286763697273113e-05,3.067834609147203e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,10-14,11878,0.06941368287565963,8.741761357055858e-05,3.680410007822491e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,15-19,9996,0.05841548863656286,7.356680125032021e-05,3.0972704527861277e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,20-24,7630,0.044588853371045886,5.6153930926364874e-05,2.3641630206840888e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,25-29,8044,0.04700822234819044,5.920081525185832e-05,2.492441328752662e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,30-34,9917,0.0579538216095232,7.298539095632509e-05,3.07279222491797e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,35-39,11806,0.06899292305354753,8.688772064438581e-05,3.658100736854044e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,40-44,12826,0.07495368720013558,9.439453709850009e-05,3.974148742240383e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,45-49,13093,0.07651400487380128,9.635955669972415e-05,4.056878955415042e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,5-9,12350,0.07217199726506116,9.08913560865801e-05,3.8266596730600916e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,50-54,12619,0.0737440027115633,9.287109493575339e-05,3.9100095882060966e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,55-59,11591,0.06773648747362945,8.530540148984209e-05,3.591482774934374e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,60-64,9321,0.05447086530426194,6.859905506745044e-05,2.888121037456932e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,65-69,7813,0.0456582845855808,5.750074211372067e-05,2.420865751062226e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,70-74,8017,0.0468504374148984,5.900210540454353e-05,2.4840753521394945e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,75-79,5755,0.03363156633687668,4.235463597394886e-05,1.7831924225474353e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,80-84,4275,0.024982614437905785,3.1462392491508496e-05,1.3246129637515702e-05,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,85-89,2694,0.015743430010694313,1.9826826987631315e-05,8.347385554027437e-06,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000041,90+,1593,0.009309311064230157,1.1723880991572642e-05,4.935926201769009e-06,171119,64,50819,0.0012593714949133198,215.5023908380724,120706,0.0005302139081735787
2019,E06000060,0-4,32239,0.05926580914861584,1.4431299951651853e-05,2.6022632552455046e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,10-14,36562,0.06721289475764422,1.6366425411219176e-05,2.95120658637942e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,15-19,30681,0.05640169640772612,1.3733884854264419e-05,2.476504821309201e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,20-24,24920,0.045811097241958705,1.1155060479393413e-05,2.0114892000594923e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,25-29,28192,0.05182610166313401,1.261972171087717e-05,2.2755980548987646e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,30-34,31094,0.057160925266511384,1.3918758047602675e-05,2.5098412996247934e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,35-39,35294,0.06488189671178532,1.5798824420534153e-05,2.8488563333426858e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,40-44,36527,0.0671485533289336,1.6350758191444745e-05,2.9483814610984376e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,45-49,39605,0.07280692240239864,1.77285782618931e-05,3.19683105009455e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,5-9,36999,0.06801624345325961,1.656204184097419e-05,2.9864802934591154e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,50-54,40708,0.07483459657005037,1.8222319502212958e-05,3.285862855378083e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,55-59,37394,0.0687423824344223,1.673885760699989e-05,3.018363850201632e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,60-64,30898,0.05680061326573194,1.3831021616865875e-05,2.494020598051292e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,65-69,26547,0.04880205451373505,1.1883362381479006e-05,2.1428171666925902e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
2019,E06000060,70-74,26739,0.04915501320837615,1.1969308272813018e-05,2.158314996805408e-05,543973,53,217658,0.0002435012726387268,132.45811778110613,120706,0.00043908339270624485
