year,ltla,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ag_ltla_frac_tp,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000043,0-4,13331,0.045829107722983306,0.00029486083441640986,0.0002094283723463121,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,10-14,14284,0.04910531653402547,0.00031593970135803756,0.0002243998852745272,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,15-19,17669,0.06074221771490451,0.0003908105981024339,0.00027757781944242655,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,20-24,34025,0.11697062412981077,0.0007525796932726988,0.000534528570181027,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,25-29,28692,0.0986369183698025,0.0006346220884461504,0.0004507477953162094,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,30-34,21685,0.07454836103614831,0.0004796382262635847,0.00034066868609480003,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,35-39,19920,0.06848067105557179,0.00044059919147662477,0.00031294075291715077,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,40-44,18415,0.06330680509479691,0.0004073109493495003,0.00028929738779966526,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,45-49,19915,0.06846348213211406,0.00044048859931008946,0.0003128622035313784,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,5-9,14438,0.04963473537652337,0.0003193459400873247,0.00022681920635631643,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,50-54,20281,0.06972171132921945,0.00044858394590047325,0.0003186120185699165,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,55-59,16931,0.05820513261254449,0.000374487194321824,0.0002659839301024237,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,60-64,12460,0.042834797256647815,0.00027559567900596106,0.000195745069344764,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,65-69,10487,0.03605204806022999,0.00023195601009113275,0.00016474948171898396,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,70-74,10094,0.03470099867645289,0.00022326346580145835,0.00015857549999727513,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,75-79,6971,0.023964797084758578,0.0001541875985835116,0.00010951355364384832,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,80-84,5249,0.018044931845918488,0.0001160996564287552,8.246114518384159e-05,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,85-89,3622,0.012451656152775152,8.011296543816943e-05,5.690117505351005e-05,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E06000043,90+,2416,0.00830568781477216,5.343813486985569e-05,3.795506320521267e-05,290885,610,94810,0.006433920472523996,1871.5309566501426,133486,0.004569767616079589
2019,E07000061,0-4,5274,0.05083618487637957,2.0758933076276163e-05,6.474200612037615e-06,103745,17,41631,0.0004083495472124138,42.36422377555189,133486,0.00012735417946451314
2019,E07000061,10-14,5522,0.05322666152585667,2.173508313371198e-05,6.7786378042608465e-06,103745,17,41631,0.0004083495472124138,42.36422377555189,133486,0.00012735417946451314
2019,E07000061,15-19,5396,0.05201214516362235,2.1239135927111524e-05,6.62396406950227e-06,103745,17,41631,0.0004083495472124138,42.36422377555189,133486,0.00012735417946451314
2019,E07000061,20-24,5752,0.05544363583787172,2.2640383590204874e-05,7.060978748661426e-06,103745,17,41631,0.0004083495472124138,42.36422377555189,133486,0.00012735417946451314
2019,E07000061,25-29,5446,0.05249409610101692,2.1435940374175197e-05,6.685342535676309e-06,103745,17,41631,0.0004083495472124138,42.36422377555189,133486,0.00012735417946451314
