year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000023,463377,17,177457,9.579785525507588e-05,44.39052277453129,170087,9.994884970632676e-05
2019,E06000024,215052,8,94559,8.460326357089225e-05,18.19410103744752,170087,4.70347528029773e-05
2019,E06000025,285093,8,112776,7.093707881109456e-05,20.223664609491387,170087,4.70347528029773e-05
2019,E06000026,262100,336,96753,0.003472760534557068,910.2105361074077,170087,0.0019754596177250466
2019,E06000027,136264,17,61536,0.00027626105044201767,37.6444357774311,170087,9.994884970632676e-05
2019,E06000040,151422,11,59303,0.00018548808660607389,28.08697705006492,170087,6.467278510409379e-05
2019,E06000052,569578,168704,228104,0.7395924665941851,421255.5979377828,170087,0.9918688671091852
2019,E06000053,2224,653,729,0.8957475994513031,1992.1426611796976,170087,0.003839211697543022
2019,E06000054,500024,8,186767,4.283411951790199e-05,21.418087777819427,170087,4.70347528029773e-05
2019,E06000059,378508,8,175827,4.549926916798899e-05,17.221837374237175,170087,4.70347528029773e-05
2019,E07000040,146284,21,57383,0.0003659620445079553,53.53439171880174,170087,0.00012346622610781541
2019,E07000041,131405,19,46190,0.0004113444468499674,54.052717038319976,170087,0.00011170753790707106
2019,E07000042,82311,9,30233,0.0002976879568683227,24.50299341778851,170087,5.291409690334946e-05
2019,E07000044,87004,46,31677,0.0014521577169555196,126.34353000599803,170087,0.0002704498286171195
2019,E07000045,134163,44,57597,0.0007639286768408077,102.49096307099329,170087,0.0002586911404163752
2019,E07000046,68267,76,29983,0.002534769702831605,173.04112330320515,170087,0.00044683015162828437
2019,E07000047,55796,81,21145,0.0038306928351856226,213.73733743201703,170087,0.00047622687213014523
2019,E07000189,168345,12,55650,0.00021563342318059296,36.30080862533693,170087,7.055212920446594e-05
2019,E07000246,155115,9,8001,0.001124859392575928,174.4825646794151,170087,5.291409690334946e-05
