year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000023,463377,8,177457,4.508134364944746e-05,20.889657776250022,285294,2.8041248676803577e-05
2019,E06000032,213052,186,95080,0.0019562473706352546,416.7824148085823,285294,0.0006519590317356832
2019,E06000033,183125,436,73575,0.005925925925925926,1085.1851851851852,285294,0.001528248052885795
2019,E06000034,174341,688,70655,0.009737456655579927,1697.6379307904608,285294,0.002411547386205108
2019,E06000035,278556,3479,105828,0.032874097592319615,9157.277128926182,285294,0.012194438018324956
2019,E06000036,122549,242,44789,0.005403112371341177,662.1460179954901,285294,0.0008482477724733082
2019,E06000037,158450,134,53069,0.002525014603629237,400.0885639450527,285294,0.00046969091533646
2019,E06000038,161780,200,49797,0.0040163062031849306,649.758017551258,285294,0.0007010312169200895
2019,E06000039,149539,171,64628,0.002645911988611747,395.66703286501206,285294,0.0005993816904666764
2019,E06000040,151422,230,59303,0.0038783872653997283,587.2731565013572,285294,0.0008061858994581028
2019,E06000041,171119,238,50819,0.004683287746708908,801.3995159290815,285294,0.0008342271481349067
2019,E06000042,269457,174,97063,0.00179265013444876,483.0421272781596,285294,0.0006098971587204777
2019,E06000043,290885,1106,94810,0.011665436135428751,3393.300390254193,285294,0.0038767026295680952
2019,E06000044,214905,50,71540,0.0006989097008666482,150.19918926474702,285294,0.00017525780423002237
2019,E06000045,252520,10,87002,0.00011493988643939222,29.024620123675323,285294,3.5051560846004465e-05
2019,E06000046,141771,9,57047,0.0001577646502007117,22.366452223605094,285294,3.154640476140402e-05
2019,E06000052,569578,8,228104,3.507172167081682e-05,19.976081085820503,285294,2.8041248676803577e-05
2019,E06000054,500024,58,186767,0.0003105473665047893,155.2811363891908,285294,0.00020329905290682594
2019,E06000055,173292,102,77823,0.0013106665124706064,227.12802127905638,285294,0.0003575259206292456
2019,E06000056,288648,219,118104,0.001854297906929486,535.2393822393823,285294,0.0007676291825274977
2019,E06000058,395331,59,190344,0.0003099651157903585,122.53881919051823,285294,0.00020680420899142645
2019,E06000059,378508,82,175827,0.0004663675089718871,176.52383308593102,285294,0.0002874227989372367
2019,E06000060,543973,488,217658,0.002242049453730164,1219.6143674939585,285294,0.0017105161692850185
2019,E07000008,124798,12,39693,0.00030232030836671456,37.72896984354925,285294,4.206187301520537e-05
2019,E07000010,101850,9,45564,0.00019752436133789835,20.117856202264946,285294,3.154640476140402e-05
2019,E07000012,159086,8,55382,0.00014445126575421616,22.980174063775234,285294,2.8041248676803577e-05
2019,E07000044,87004,8,31677,0.00025254916816617735,21.972787827130094,285294,2.8041248676803577e-05
2019,E07000045,134163,8,57597,0.00013889612306196503,18.634720558362414,285294,2.8041248676803577e-05
2019,E07000061,103745,556,41631,0.013355432250006006,1385.5593187768732,285294,0.0019488667830378488
2019,E07000062,92661,583,39750,0.014666666666666666,1359.0279999999998,285294,0.002043505997322061
2019,E07000063,103268,466,39848,0.011694438867697249,1207.6613129893594,285294,0.0016334027354238086
2019,E07000064,96080,614,41554,0.014775954180103,1419.6736776242965,285294,0.0021521658359446747
2019,E07000065,161475,1179,64443,0.018295237651878404,2954.223499837065,285294,0.004132579023743928
2019,E07000066,187199,603,82259,0.00733050486876816,1372.2631809285303,285294,0.0021136091190140697
2019,E07000067,152604,167,53449,0.0031244737974517765,476.80719938633086,285294,0.0005853610661282747
2019,E07000068,77021,225,30501,0.00737680731779286,568.1690764237237,285294,0.0007886601190351006
2019,E07000069,90376,233,39013,0.005972368184963986,539.7587470843052,285294,0.0008167013677119043
2019,E07000070,178388,333,59417,0.005604456636989414,999.7678105592676,285294,0.0011672169761719488
2019,E07000071,194706,230,70232,0.0032748604624672512,637.6349812051486,285294,0.0008061858994581028
2019,E07000072,131689,469,52683,0.008902302450505856,1172.3353074046656,285294,0.0016439182036776098
2019,E07000073,87067,121,35794,0.003380454824830977,294.3260602335587,285294,0.0004241238862366541
2019,E07000074,64926,54,21872,0.0024689100219458674,160.29645208485738,285294,0.00018927842856842416
2019,E07000075,87368,183,33634,0.005440922875661533,475.36254980079684,285294,0.0006414435634818817
2019,E07000076,146561,101,65703,0.0015372205226549776,225.29657702083614,285294,0.0003540207645446452
2019,E07000077,91284,107,30768,0.0034776391055642225,317.4528081123245,285294,0.0003750517010522478
2019,E07000082,119964,9,40283,0.0002234193083931187,26.802273912072092,285294,3.154640476140402e-05
2019,E07000083,95019,9,33613,0.0002677535477345074,25.441674352185164,285294,3.154640476140402e-05
2019,E07000084,176582,154,71563,0.0021519500300434587,379.99564020513395,285294,0.0005397940370284688
2019,E07000085,122308,152,49171,0.003091252974314128,378.0849687824123,285294,0.000532783724859268
2019,E07000086,133584,10,50156,0.0001993779408246272,26.633702847117,285294,3.5051560846004465e-05
2019,E07000087,116233,9,40704,0.00022110849056603774,25.700103183962263,285294,3.154640476140402e-05
2019,E07000088,84838,22,30061,0.000731845247995742,62.08828714946276,285294,7.711343386120984e-05
2019,E07000089,97073,238,38816,0.006131492168178071,595.2023392415499,285294,0.0008342271481349067
2019,E07000090,126220,14,48667,0.0002876692625392977,36.30961431771016,285294,4.907218518440626e-05
2019,E07000091,180086,44,71998,0.0006111280868913026,110.0556126559071,285294,0.00015422686772241967
2019,E07000092,94599,270,42352,0.006375141669814885,603.0820268228182,285294,0.0009463921428421207
2019,E07000093,126160,38,49584,0.000766376250403356,96.68602775088742,285294,0.000133195931214817
2019,E07000094,124859,52,45380,0.0011458792419568092,143.07333627148526,285294,0.00018226811639922332
2019,E07000095,97279,224,41940,0.0053409632808774435,519.563567000477,285294,0.0007851549629505003
2019,E07000096,154763,250,63235,0.0039535067604965606,611.8565667747292,285294,0.0008762890211501119
2019,E07000098,104919,286,45436,0.006294568183818998,660.4197992781054,285294,0.001002474640195728
2019,E07000099,133570,148,50007,0.002959585658007879,395.3118563401124,285294,0.0005187631005208661
2019,E07000102,93323,259,40685,0.006365982548850928,594.0925894064151,285294,0.000907835425911516
2019,E07000103,96577,227,40909,0.005548901219780488,535.8962331027402,285294,0.0007956704312043015
2019,E07000105,130032,1394,49999,0.027880557611152226,3625.364667293346,285294,0.004886187581933025
2019,E07000106,165394,1314,57153,0.022990919111857647,3802.560075586584,285294,0.004605775095164986
2019,E07000107,112606,2626,50130,0.0523838021145023,5898.730420905646,285294,0.009204539878160773
2019,E07000108,118131,1212,46319,0.026166368013126363,3091.059219758631,285294,0.004248249174535743
2019,E07000109,106939,2244,47011,0.04773350917870287,5104.5737380613045,285294,0.007865570253843403
2019,E07000110,171826,2021,70675,0.02859568447117085,4913.482079943403,285294,0.007083920446977505
2019,E07000111,120750,2509,50505,0.04967824967824968,5998.648648648647,285294,0.008794436616262523
2019,E07000112,112996,1205,46141,0.02611560217593897,2950.9585834724,285294,0.004223713081943539
2019,E07000113,150082,1779,56753,0.031346360544817015,4704.524483287227,285294,0.006235672674504196
2019,E07000114,141922,1468,61567,0.023843942371725112,3383.9799892799715,285294,0.005145569132193457
2019,E07000115,132153,1755,53803,0.03261899894057952,4310.698566994405,285294,0.006151548928473786
2019,E07000116,118724,1489,45591,0.03265995481564344,3877.5204755324517,285294,0.005219177409970066
2019,E07000143,139968,25,56583,0.00044182881784281497,61.84189597582314,285294,8.76289021150112e-05
2019,E07000145,99336,9,47292,0.00019030702867292563,18.904339000253746,285294,3.154640476140402e-05
2019,E07000152,94527,16,38951,0.00041077250904983186,38.82909296295345,285294,5.6082497353607154e-05
2019,E07000153,101776,17,43748,0.0003885891926488069,39.549053671024964,285294,5.9587653438207606e-05
2019,E07000154,224610,9,93538,9.621758002095404e-05,21.611430648506488,285294,3.154640476140402e-05
2019,E07000155,94490,16,33343,0.0004798608403562967,45.342050805266474,285294,5.6082497353607154e-05
2019,E07000178,152457,25,52833,0.00047318910529403965,72.14099142581341,285294,8.76289021150112e-05
2019,E07000179,142057,61,50463,0.0012088064522521452,171.71941818758302,285294,0.00021381452116062726
2019,E07000200,92036,46,37238,0.001235297276975133,113.69182018368332,285294,0.00016123717989162056
2019,E07000202,136913,93,57490,0.0016176726387197773,221.48041398504085,285294,0.0003259795158678416
2019,E07000203,103895,45,41464,0.0010852787960640557,112.75504051707506,285294,0.00015773202380702013
2019,E07000207,136795,766,52566,0.014572156907506753,1993.3982041623865,285294,0.0026849495608039426
2019,E07000208,80627,465,33132,0.014034770010865628,1131.581401666063,285294,0.001629897579339208
2019,E07000209,148998,453,58079,0.007799721069577644,1162.1428399249298,285294,0.0015878357063240027
2019,E07000210,87245,426,35427,0.012024726903209416,1049.0972986705058,285294,0.0014931964920397904
2019,E07000211,148748,865,60137,0.014383823602773666,2139.5649932653773,285294,0.003031960013179387
2019,E07000212,89424,260,32431,0.008017020751749869,716.9140637044803,285294,0.0009113405819961164
2019,E07000213,99844,354,41972,0.008434194224721242,842.1036881730678,285294,0.0012408252539485582
2019,E07000214,89305,275,38862,0.007076321342185169,631.9508774638465,285294,0.000963917923265123
2019,E07000215,88129,669,35241,0.01898357027326126,1673.0030646122416,285294,0.0023449494205977
2019,E07000216,126328,417,54037,0.00771693469289561,974.8649258841164,285294,0.0014616500872783864
2019,E07000217,100793,391,40303,0.00970151105376771,977.8444036424088,285294,0.0013705160290787748
2019,E07000221,130098,9,54059,0.00016648476664385208,21.659335170831863,285294,3.154640476140402e-05
2019,E07000223,64301,221,27761,0.007960808328230252,511.8879363135334,285294,0.0007746394946966987
2019,E07000224,160758,306,71618,0.0042726688821246046,686.8657041525872,285294,0.0010725777618877366
2019,E07000225,121129,179,52204,0.0034288560263581336,415.3339016167344,285294,0.0006274229391434801
2019,E07000226,112409,526,42291,0.01243763448487858,1398.1020548107165,285294,0.0018437121004998352
2019,E07000227,143791,548,55435,0.009885451429602236,1421.4389465139354,285294,0.001920825534361045
2019,E07000228,151022,702,57861,0.012132524498366777,1832.2781147923472,285294,0.002460619571389514
2019,E07000229,110570,340,46496,0.007312456985547144,808.5383688919478,285294,0.001191753068764152
2019,E07000240,148452,397,56413,0.007037384999911369,1044.7138780068424,285294,0.0013915469655863776
2019,E07000241,123043,213,43859,0.004856471875783762,597.5548690120614,285294,0.0007465982460198952
2019,E07000242,149748,230,53493,0.0042996279887088035,643.8606920531657,285294,0.0008061858994581028
2019,E07000243,87845,53,35105,0.0015097564449508614,132.62455490670843,285294,0.00018577327248382367
2019,E07000244,249461,77,106892,0.00072035325375145,179.70004303409047,285294,0.0002698970185142344
2019,E07000245,179045,8,72151,0.00011087857410153704,19.852254300009697,285294,2.8041248676803577e-05
2019,E09000001,9721,278,2723,0.1020932794711715,992.4487697392584,285294,0.0009744333915189244
2019,E09000002,212906,1347,80319,0.016770627124341686,3570.567138535091,285294,0.004721445245956802
2019,E09000003,395869,2133,145771,0.014632540079988475,5792.569008924957,285294,0.007476497928452754
2019,E09000004,248287,12012,113257,0.10605966960099596,26333.23718622249,285294,0.04210393488822057
2019,E09000005,329771,2004,146575,0.013672181477059526,4508.688957871397,285294,0.007024332793539296
2019,E09000006,332336,12262,127953,0.0958320633357561,31848.444600751835,285294,0.04298022390937068
2019,E09000007,270029,1915,79468,0.024097750037751043,6507.091344943877,285294,0.006712373902009856
2019,E09000008,386710,5982,164384,0.036390402958925434,14072.532728246057,285294,0.020967843698079875
2019,E09000009,341806,1774,156514,0.011334449314438324,3874.182782370906,285294,0.0062181468940811935
2019,E09000010,333794,1359,141486,0.0096051906195666,3206.154997667613,285294,0.004763507118972008
2019,E09000011,287942,17056,119189,0.14310045390094722,41204.63089714655,285294,0.059783942178945226
2019,E09000012,281120,2020,108287,0.01865413207494897,5244.049608909657,285294,0.007080415290892903
