year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E06000019,192801,65654,83057,0.79046919585345,152403.251429741,72322,0.90780122231133
2019,E06000020,179854,31,71654,0.0004326346051860328,77.81106428112876,72322,0.00042863858853460913
2019,E06000051,323136,4018,132880,0.030237808549066825,9770.924503311258,72322,0.055557091894582564
2019,E07000079,89862,8,34146,0.00023428805716628595,21.05359339307679,72322,0.00011061640994441526
2019,E07000080,86791,758,29702,0.025520166992121743,2214.9208134132377,72322,0.010480904842233343
2019,E07000081,129128,68,47108,0.0014434915513288613,186.39517703999317,72322,0.0009402394845275297
2019,E07000082,119964,126,40283,0.003127870317503661,375.23183476900925,72322,0.0017422084566245403
2019,E07000083,95019,66,33613,0.0019635260167197217,186.57227858269127,72322,0.000912585382041426
2019,E07000235,78698,1328,30245,0.043908083980823284,3455.4783931228303,72322,0.01836232405077293
2019,E07000237,101222,170,37516,0.004531399936027295,458.6773643245549,72322,0.002350598711318825
2019,E07000238,129433,58,51142,0.0011340972195064722,146.78960541238118,72322,0.0008019689720970105
2019,E07000239,101291,37,40495,0.0009136930485245092,92.54888257809608,72322,0.0005116008959929206
